year,demand_mw,demandMW,annualEnergyGWh
2023,60,60,480
2024,60,60,480
2025,70,70,560
2026,75,75,600
2027,125,125,1000
2028,140,140,1120
2029,140,140,1120
2030,140,140,1120
2031,150,150,1200
2032,150,150,1200
2033,150,150,1200
2034,155,155,1240
2035,170,170,1360
2036,170,170,1360
2037,170,170,1360
2038,170,170,1360
2039,165,165,1320
2040,165,165,1320
2041,165,165,1320
2042,177,177,1416
2043,177,177,1416
2044,177,177,1416
