date,year,month,meanDailyCapFactor,monthlyEnergyMWh,meanDailyEnergyMWh
978300000000,2001,1,0.09130092592592591,8151.346666666665,262.9466666666666
980978400000,2001,2,0.09508655753968254,7667.78,273.8492857142857
983397600000,2001,3,0.2652877090800478,23684.886666666665,764.0286021505376
986076000000,2001,4,0.5111233796296297,44161.06,1472.0353333333333
988668000000,2001,5,0.6129174133811229,54721.26666666668,1765.2021505376347
991346400000,2001,6,0.6498486882716049,56146.926666666666,1871.5642222222223
993938400000,2001,7,0.6281948178016725,56085.23333333334,1809.2010752688172
996616800000,2001,8,0.4909260752688173,43829.88000000001,1413.867096774194
999295200000,2001,9,0.4649213734567902,40169.206666666665,1338.9735555555555
1001887200000,2001,10,0.5215132168458781,46560.7,1501.9580645161288
1004565600000,2001,11,0.3175484567901235,27436.18666666667,914.5395555555556
1007157600000,2001,12,0.15728838112305857,14042.70666666667,452.9905376344087
1009836000000,2002,1,0.16849768518518518,15043.473333333337,485.2733333333334
1012514400000,2002,2,0.21420535714285713,17273.520000000004,616.9114285714287
1014933600000,2002,3,0.3742917413381122,33416.76666666667,1077.9602150537635
1017612000000,2002,4,0.47313495370370373,40878.86,1362.6286666666667
1020204000000,2002,5,0.5040396505376343,45000.659999999996,1451.634193548387
1022882400000,2002,6,0.5881314043209878,50814.55333333333,1693.8184444444444
1025474400000,2002,7,0.37387858422939074,33379.880000000005,1076.7703225806454
1028152800000,2002,8,0.5702217741935484,50909.4,1642.2387096774194
1030831200000,2002,9,0.5519208333333333,47685.96000000001,1589.5320000000002
1033423200000,2002,10,0.541127090800478,48311.82666666667,1558.4460215053764
1036101600000,2002,11,0.48843549382716056,42200.826666666675,1406.6942222222226
1038693600000,2002,12,0.22321363500597372,19928.513333333336,642.8552688172044
1041372000000,2003,1,0.13140389784946238,11731.740000000002,378.44322580645166
1044050400000,2003,2,0.11243518518518517,9066.773333333338,323.8133333333335
1046469600000,2003,3,0.19673275089605732,17564.3,566.5903225806452
1049148000000,2003,4,0.5251800925925926,45375.56,1512.5186666666666
1051740000000,2003,5,0.5220816158900837,46611.44666666666,1503.5950537634408
1054418400000,2003,6,0.6250883487654321,54007.63333333333,1800.2544444444443
1057010400000,2003,7,0.7053540173237753,62974.00666666667,2031.4195698924732
1059688800000,2003,8,0.5458863500597372,48736.733333333315,1572.1526881720424
1062367200000,2003,9,0.5137631172839506,44389.133333333324,1479.6377777777775
1064959200000,2003,10,0.46869825268817206,41845.380000000005,1349.8509677419356
1067637600000,2003,11,0.41166597222222223,35567.93999999999,1185.5979999999995
1070229600000,2003,12,0.19027419354838707,16987.68,547.9896774193548
1072908000000,2004,1,0.12719563918757468,11356.026666666665,366.323440860215
1075586400000,2004,2,0.17599952107279696,14699.479999999998,506.8786206896551
1078092000000,2004,3,0.26900791517323774,24017.026666666665,774.7427956989246
1080770400000,2004,4,0.5217739969135802,45081.27333333334,1502.7091111111113
1083362400000,2004,5,0.69326284348865,61894.50666666667,1996.596989247312
1086040800000,2004,6,0.6056293981481481,52326.37999999999,1744.2126666666663
1088632800000,2004,7,0.5645992383512544,50407.42000000001,1626.0458064516133
1091311200000,2004,8,0.5095014187574671,45488.28666666666,1467.364086021505
1093989600000,2004,9,0.5434674382716049,46955.58666666667,1565.1862222222223
1096581600000,2004,10,0.5589096475507765,49899.45333333333,1609.6597849462364
1099260000000,2004,11,0.31046666666666667,26824.320000000003,894.1440000000001
1101852000000,2004,12,0.09438440860215051,8426.64,271.82709677419354
1104530400000,2005,1,0.10432235663082436,9313.900000000001,300.44838709677424
1107208800000,2005,2,0.26658308531746033,21497.259999999995,767.7592857142855
1109628000000,2005,3,0.34410745221027483,30721.91333333333,991.0294623655913
1112306400000,2005,4,0.5265716049382717,45495.78666666666,1516.526222222222
1114898400000,2005,5,0.6021988500597372,53764.31333333333,1734.332688172043
1117576800000,2005,6,0.5734380401234568,49545.04666666667,1651.5015555555556
1120168800000,2005,7,0.7165175477897252,63970.68666666667,2063.5705376344085
1122847200000,2005,8,0.4309085274790919,38471.513333333336,1241.016559139785
1125525600000,2005,9,0.564708024691358,48790.77333333333,1626.3591111111111
1128117600000,2005,10,0.523411439665472,46730.17333333333,1507.4249462365592
1130796000000,2005,11,0.38060092592592587,32883.920000000006,1096.130666666667
1133388000000,2005,12,0.3072430555555556,27430.660000000003,884.8600000000001
1136066400000,2006,1,0.10128248207885306,9042.500000000002,291.6935483870968
1138744800000,2006,2,0.12462285052910056,10049.586666666662,358.9138095238094
1141164000000,2006,3,0.32778128733572276,29264.313333333335,944.0101075268818
1143842400000,2006,4,0.5394932870370369,46612.22,1553.7406666666668
1146434400000,2006,5,0.451492159498208,40309.22,1300.2974193548387
1149112800000,2006,6,0.6196302469135804,53536.05333333332,1784.5351111111108
1151704800000,2006,7,0.6082307347670252,54302.840000000004,1751.7045161290323
1154383200000,2006,8,0.5463225059737157,48775.673333333325,1573.4088172043007
1157061600000,2006,9,0.6269534722222225,54168.77999999999,1805.6259999999997
1159653600000,2006,10,0.5176208930704899,46213.19333333334,1490.748172043011
1162332000000,2006,11,0.41449945987654324,35812.75333333334,1193.7584444444446
1164924000000,2006,12,0.14207377538829152,12684.346666666666,409.1724731182796
1167602400000,2007,1,0.1620440561529271,14467.293333333337,466.6868817204302
1170280800000,2007,2,0.09188144841269841,7409.320000000001,264.61857142857144
1172700000000,2007,3,0.24707862903225802,22059.179999999997,711.5864516129031
1175378400000,2007,4,0.4735368827160494,40913.58666666666,1363.786222222222
