year,yearlySpecificYield,yearlyEnergyMWh
2001,0,422657.18000000005
2002,0,444844.24
2003,0,434858.32666666666
2004,0,437376.4
2005,0,468615.94666666654
2006,0,440771.48
2007,0,440127.46666666673
2008,0,452035.4533333333
2009,0,449779.2266666666
2010,0,441693.8333333333
2011,0,424703.85333333333
2012,0,425058.3266666668
2013,0,458599.73999999993
2014,0,443455.8933333333
2015,0,450822.2133333332
2016,0,444847.04666666663
2017,0,484844.13999999996
2018,0,437160.8133333334
2019,0,453786.9333333333
2020,0,463016.05333333334
2021,0,433009.46
