site1Scale,date,datetime,year,month,meanDailyCapFactor,stdevDailyCapFactor,specificYield,coefVarDailyCapFactor
0,754704000000,1993-12-31T22:00:00.000+00:00,1993,12,0,,0,NaN
0,757382400000,1994-01-01T00:00:00.000+00:00,1994,1,0.30478976935483876,0.055074555192420244,226.7635884,0.18069686298525983
0,760060800000,1994-02-01T00:00:00.000+00:00,1994,2,0.2619685839285714,0.05715564460670825,176.04288839999998,0.21817747666373752
0,762480000000,1994-03-01T00:00:00.000+00:00,1994,3,0.38395732315334274,0.0559747658651471,285.6642484260869,0.14578382150766325
0,765154800000,1994-04-01T00:00:00.000+01:00,1994,4,0.34083547666666664,0.06533982037981814,245.40154320000002,0.19170486892630537
0,767746800000,1994-05-01T00:00:00.000+01:00,1994,5,0.3589007981182796,0.035277166525593276,267.02219379999997,0.09829224875105268
0,770425200000,1994-06-01T00:00:00.000+01:00,1994,6,0.3745904077777778,0.021474786113397492,269.70509360000005,0.057328713355994966
0,773017200000,1994-07-01T00:00:00.000+01:00,1994,7,0.36600900053763435,0.015478435991261304,272.3106963999999,0.042289768744825595
0,775695600000,1994-08-01T00:00:00.000+01:00,1994,8,0.3943498174731183,0.028558250452157014,293.39626419999996,0.07241857149865107
0,778374000000,1994-09-01T00:00:00.000+01:00,1994,9,0.3958843136111112,0.038873317405677676,285.0367058,0.09819362896976029
0,780966000000,1994-10-01T00:00:00.000+01:00,1994,10,0.34223222080645166,0.09588705319702194,254.62077227999998,0.2801812552046365
0,783648000000,1994-11-01T00:00:00.000+00:00,1994,11,0.3396045272222222,0.08199890751697662,244.5152596,0.2414541060087817
0,786240000000,1994-12-01T00:00:00.000+00:00,1994,12,0.3102355553763441,0.07528987700036355,230.8152532,0.24268616441796956
0,788918400000,1995-01-01T00:00:00.000+00:00,1995,1,0.2990744491935483,0.07221531631170346,222.51139020000002,0.24146267428204396
0,791596800000,1995-02-01T00:00:00.000+00:00,1995,2,0.2587085833333333,0.0759234333518208,173.85216799999998,0.29347087125438426
0,794016000000,1995-03-01T00:00:00.000+00:00,1995,3,0.3273597381252922,0.07501203351216942,243.5556451652174,0.22914251441470684
0,796690800000,1995-04-01T00:00:00.000+01:00,1995,4,0.37769293027777784,0.05986537083500923,271.9389098,0.15850275722921442
0,799282800000,1995-05-01T00:00:00.000+01:00,1995,5,0.376273235483871,0.023415003969223528,279.9472872,0.062228725726699255
0,801961200000,1995-06-01T00:00:00.000+01:00,1995,6,0.3736395161111111,0.009771094732509547,269.0204516,0.026151127788110788
0,804553200000,1995-07-01T00:00:00.000+01:00,1995,7,0.36230438037634405,0.0306705600569483,269.55445899999995,0.0846541243169327
0,807231600000,1995-08-01T00:00:00.000+01:00,1995,8,0.37418797150537636,0.0432044810735999,278.39585079999995,0.11546197195967091
0,809910000000,1995-09-01T00:00:00.000+01:00,1995,9,0.39220059944444446,0.03356787502963535,282.3844316,0.08558853575742753
0,812502000000,1995-10-01T00:00:00.000+01:00,1995,10,0.35541903107526873,0.07961636903225106,264.43175912000004,0.22400705103320798
0,815184000000,1995-11-01T00:00:00.000+00:00,1995,11,0.30077404,0.08191705928009163,216.55730879999993,0.27235415423515813
0,817776000000,1995-12-01T00:00:00.000+00:00,1995,12,0.31299780403225813,0.07207932553459157,232.8703662,0.2302870007585195
0,820454400000,1996-01-01T00:00:00.000+00:00,1996,1,0.29237745537634413,0.06389368517297062,217.5288268,0.21853150438951446
0,823132800000,1996-02-01T00:00:00.000+00:00,1996,2,0.2526148727011494,0.06566083544940782,175.8199514,0.2599246621836334
0,825638400000,1996-03-01T00:00:00.000+00:00,1996,3,0.30048164024076673,0.07047299462446159,223.5583403391304,0.23453344626311856
0,828313200000,1996-04-01T00:00:00.000+01:00,1996,4,0.35425963416666667,0.060724126763762695,255.0669366,0.17141136304339472
0,830905200000,1996-05-01T00:00:00.000+01:00,1996,5,0.30568283198924734,0.10421990798894996,227.42802700000001,0.3409413191795344
0,833583600000,1996-06-01T00:00:00.000+01:00,1996,6,0.37116512055555556,0.02333262960894081,267.2388868,0.06286320647267934
0,836175600000,1996-07-01T00:00:00.000+01:00,1996,7,0.37234681236559136,0.028783849830787227,277.0260284,0.07730387067883798
0,838854000000,1996-08-01T00:00:00.000+01:00,1996,8,0.40258293951612906,0.017649240766952536,299.521707,0.04384001167104956
0,841532400000,1996-09-01T00:00:00.000+01:00,1996,9,0.4026667075,0.03641977156366231,289.9200294,0.09044644338683577
