date,month,meanDailyWeatherImpact,p90DailyCapFactor,p10DailyCapFactor,maxDailyCapFactor,meanDailyCapFactor,maxDailySpecificYield,p90DailySpecificYield,p10DailySpecificYield,meanDailySpecificYield,medianDailySpecificYield,p90DailyEnergyMWh,p10DailyEnergyMWh,meanDailyEnergyMWh,medianDailyEnergyMWh,coefVarDailyEnergy,meanMonthlyEnergyMWh,medianMonthlyEnergyMWh,p90MonthlyEnergyMWh,p10MonthlyEnergyMWh,maxMonthlySpecificYield,meanMonthlySpecificYield,medianMonthlySpecificYield,p90MonthlySpecificYield,p10MonthlySpecificYield
978307200000,1,-0.869332515583368,0.32191666666666663,0.01887962962962963,0.9617986111111111,0.12567580502929965,23.083166666666667,7.725999999999999,0.45311111111111113,3.016219320703192,1.5830555555555554,1236.16,72.49777777777777,482.5950913125109,253.28888888888892,1.2161972972902606,14960.447830687832,12996.75555555556,22520.64888888889,7451.333333333336,715.5781666666667,93.50279894179893,81.22972222222221,140.75405555555557,46.570833333333326
980985600000,2,-0.8362587447843298,0.37264120370370396,0.02414953703703704,0.9730671296296295,0.15933123321466472,23.353611111111107,8.943388888888895,0.5795888888888889,3.8239495971519544,2.3356666666666666,1430.9422222222233,92.73422222222221,611.8319355443138,373.7066666666666,1.043300016235693,17276.968465608465,14938.15111111111,25836.04444444445,10223.706666666665,653.901111111111,107.98105291005294,93.36344444444445,161.47527777777776,63.898166666666654
983404800000,3,-0.6894008198605369,0.6538078703703704,0.03708796296296296,0.9710439814814813,0.30160546452750747,23.30505555555555,15.691388888888888,0.8901111111111111,7.238531148660181,5.802833333333334,2510.6222222222223,142.41777777777776,1158.1649837856287,928.4533333333331,0.7962340596551856,35903.114497354494,32391.235555555555,52178.86222222222,23311.67111111111,722.4567222222221,224.39446560846568,202.4452222222222,326.11788888888884,145.69794444444443
986079600000,4,-0.4804873488651223,0.8589861111111111,0.16313449074074074,0.9999120370370368,0.5194669532627865,23.997888888888884,20.615666666666666,3.915227777777778,12.467206878306872,12.746694444444444,3298.506666666667,626.4364444444444,1994.7531005290998,2039.4711111111108,0.4843745997634822,59842.593015873026,60108.36444444444,67224.3466666667,53119.21777777777,719.9366666666665,374.0162063492063,375.67727777777776,420.15216666666663,331.99511111111116
988671600000,5,-0.4240218277530807,0.8730810185185186,0.2180648148148148,1.0000810185185183,0.5760248371451326,24.00194444444444,20.953944444444446,5.233555555555555,13.824596091483198,14.342722222222221,3352.6311111111117,837.3688888888888,2211.935374637311,2294.8355555555554,0.4095946652000502,68569.99661375661,71685.75111111111,80254.69333333334,57300.59555555557,744.0602777777776,428.5624788359789,448.0359444444444,501.59183333333345,358.1287222222223
991350000000,6,-0.4053724844901284,0.8888388888888891,0.2515219907407408,1.0002685185185183,0.5947871840094062,24.00644444444444,21.33213333333334,6.036527777777779,14.274892416225734,14.649694444444444,3413.1413333333344,965.8444444444444,2283.982786596122,2343.9511111111115,0.39069208757149554,68519.4835978836,69387.54666666666,76534.56,59853.31555555556,720.1933333333332,428.24677248677256,433.6721666666668,478.34100000000007,374.0832222222222
993942000000,7,-0.37517288841380975,0.9310277777777779,0.23797222222222217,1.0003726851851849,0.625059975393981,24.008944444444438,22.34466666666667,5.711333333333332,15.001439409455543,15.465500000000002,3575.146666666667,913.813333333333,2400.230305512888,2474.48,0.3919062012871638,74407.13947089948,74780.31111111114,84708.19555555558,67209.89333333334,744.2772777777776,465.0446216931218,467.3769444444445,529.4262222222222,420.06183333333337
996620400000,8,-0.44401171380338067,0.8678587962962964,0.2634236111111111,1.0000763888888888,0.5560307575240369,24.00183333333333,20.828611111111112,6.322166666666667,13.34473818057689,13.13588888888889,3332.577777777778,1011.5466666666666,2135.158108892301,2101.742222222222,0.40503645902418434,66189.90137566139,67268.47111111112,78827.41333333333,55391.63555555554,744.0568333333332,413.6868835978836,420.42794444444434,492.6713333333334,346.1977222222223
999298800000,9,-0.4696297337037395,0.8802671296296299,0.250054861111111,1.000300925925926,0.53052986845973,24.00722222222222,21.126411111111118,6.001316666666665,12.732716843033502,11.957499999999998,3380.2257777777786,960.2106666666666,2037.23469488536,1913.2,0.43751799559987536,61117.04084656085,62607.44888888888,68486.00000000001,51944.23111111111,720.2166666666667,381.98150529100525,391.2965555555555,428.0375,324.65144444444445
1001890800000,10,-0.49141495300035015,0.8394907407407408,0.23125000000000004,1.000444444444444,0.5088110847983166,24.01066666666666,20.14777777777778,5.550000000000001,12.211466035159576,11.660277777777775,3223.6444444444446,888,1953.834565625533,1865.6444444444446,0.445637375040904,60568.871534391525,61674.52444444443,66532.60444444446,55653.58222222223,744.3306666666664,378.55544708994705,385.4657777777779,415.8287777777777,347.8348888888888
1004572800000,11,-0.6218440895003365,0.7476456018518519,0.10637962962962964,1.0003148148148149,0.3782749595825986,24.007555555555555,17.943494444444447,2.5531111111111113,9.078599029982362,7.725472222222223,2870.9591111111113,408.4977777777778,1452.5758447971773,1236.0755555555556,0.6313380653728778,43577.27534391534,46105.17333333334,50547.671111111085,35690.43555555555,720.2266666666667,272.3579708994709,288.1573333333333,315.92294444444445,223.06522222222225
1007164800000,12,-0.7818089594879275,0.4814583333333333,0.0260300925925926,0.8797060185185185,0.1919439715252889,21.112944444444445,11.555,0.6247222222222224,4.606655316606926,2.788111111111111,1848.8,99.95555555555556,737.0648506571094,446.0977777777778,0.9793077055185987,22849.010370370368,22369.280000000006,32281.066666666655,15076.16,654.5012777777778,142.80631481481478,139.80800000000002,201.75666666666666,94.226
