date,year,month,day,capFactor,energyMWh,specificYield,weatherImpact
978307200000,2001,1,1,0.06625,254.4,1.59,-0.9311186362356406
978393600000,2001,1,2,0.10246064814814815,393.4488888888889,2.4590555555555556,-0.8934697482773643
978480000000,2001,1,3,0.42357175925925933,1626.5155555555557,10.165722222222223,-0.5596045218136352
978566400000,2001,1,4,0.5318287037037037,2042.2222222222222,12.76388888888889,-0.4470477524506795
978652800000,2001,1,5,0.27752546296296293,1065.697777777778,6.660611111111111,-0.7114515868947309
978739200000,2001,1,6,0.056002314814814796,215.0488888888889,1.3440555555555551,-0.9417733461372766
978825600000,2001,1,7,0.027423611111111117,105.30666666666667,0.6581666666666668,-0.9714871587520487
978912000000,2001,1,8,0.01042824074074074,40.044444444444444,0.25027777777777777,-0.9891575631111656
978998400000,2001,1,9,0.006923611111111112,26.58666666666667,0.16616666666666668,-0.9928013920678128
979084800000,2001,1,10,0.028349537037037038,108.86222222222221,0.6803888888888889,-0.9705244562535951
979171200000,2001,1,11,0.011569444444444445,44.42666666666666,0.2776666666666667,-0.9879710322818216
979257600000,2001,1,12,0.12249537037037038,470.38222222222225,2.939888888888889,-0.8726392729670731
979344000000,2001,1,13,0.04303703703703704,165.26222222222216,1.032888888888889,-0.9552535878718739
979430400000,2001,1,14,0.03816666666666667,146.56000000000003,0.916,-0.9603174030137401
979516800000,2001,1,15,0.0542361111111111,208.26666666666668,1.3016666666666665,-0.9436097011530769
979603200000,2001,1,16,0.015983796296296298,61.377777777777794,0.3836111111111111,-0.9833813481204436
979689600000,2001,1,17,0.0334074074074074,128.28444444444446,0.8017777777777776,-0.965265693855792
979776000000,2001,1,18,0.023819444444444445,91.46666666666667,0.5716666666666667,-0.9752344782272797
979862400000,2001,1,19,0.006243055555555555,23.97333333333333,0.14983333333333332,-0.9935089784041762
979948800000,2001,1,20,0.006136574074074075,23.564444444444447,0.14727777777777779,-0.9936196891914983
980035200000,2001,1,21,0.003930555555555555,15.093333333333334,0.09433333333333332,-0.9959133278940642
980121600000,2001,1,22,0.09963194444444441,382.58666666666676,2.391166666666666,-0.8964108044101401
980208000000,2001,1,23,0.02656712962962963,102.01777777777777,0.6376111111111111,-0.9723776585631184
980294400000,2001,1,24,0.010016203703703704,38.46222222222223,0.2403888888888889,-0.9895859657229775
980380800000,2001,1,25,0.14116203703703703,542.0622222222223,3.387888888888889,-0.8532311905982475
980467200000,2001,1,26,0.2712777777777778,1041.7066666666667,6.510666666666667,-0.7179474220030468
980553600000,2001,1,27,0.1137939814814815,436.96888888888884,2.731055555555556,-0.8816862696962915
980640000000,2001,1,28,0.05251388888888889,201.65333333333328,1.2603333333333333,-0.9454003278002008
980726400000,2001,1,29,0.08167361111111111,313.62666666666667,1.9601666666666668,-0.9150824193676488
980812800000,2001,1,30,0.06292824074074074,241.64444444444447,1.5102777777777778,-0.9345723314488431
980899200000,2001,1,31,0.08097453703703703,310.94222222222226,1.9433888888888886,-0.9158092597539813
980985600000,2001,2,1,0.08923842592592592,342.6755555555556,2.141722222222222,-0.9082916037253339
981072000000,2001,2,2,0.07727777777777778,296.74666666666667,1.8546666666666667,-0.9205833026060686
981158400000,2001,2,3,0.07338657407407408,281.80444444444447,1.761277777777778,-0.9245822083189609
981244800000,2001,2,4,0.07836342592592593,300.9155555555555,1.8807222222222224,-0.9194676055332865
981331200000,2001,2,5,0.06495601851851851,249.43111111111108,1.5589444444444442,-0.9332461075493916
981417600000,2001,2,6,0.046562499999999986,178.8,1.1174999999999997,-0.9521487278912374
981504000000,2001,2,7,0.04821990740740739,185.16444444444446,1.1572777777777774,-0.950445446219357
981590400000,2001,2,8,0.04507175925925927,173.0755555555555,1.0817222222222225,-0.9536807298419231
981676800000,2001,2,9,0.06352083333333333,243.92000000000002,1.5245,-0.9347210162596791
981763200000,2001,2,10,0.042083333333333334,161.6,1.01,-0.9567518703983443
981849600000,2001,2,11,0.11821759259259258,453.9555555555556,2.837222222222222,-0.8785103422026096
981936000000,2001,2,12,0.06138194444444444,235.70666666666668,1.4731666666666665,-0.9369191060150107
982022400000,2001,2,13,0.03683564814814814,141.44888888888892,0.8840555555555554,-0.96214480273096
982108800000,2001,2,14,0.022854166666666672,87.75999999999999,0.5485000000000001,-0.9765132682311801
982195200000,2001,2,15,0.035097222222222224,134.77333333333334,0.8423333333333334,-0.9639313453784212
982281600000,2001,2,16,0.09028935185185184,346.71111111111117,2.1669444444444443,-0.9072115899278008
982368000000,2001,2,17,0.0691574074074074,265.5644444444445,1.6597777777777778,-0.9289284312442758
982454400000,2001,2,18,0.07193287037037037,276.22222222222223,1.7263888888888888,-0.9260761481093812
982540800000,2001,2,19,0.10059490740740741,386.2844444444445,2.414277777777778,-0.89662079383393
982627200000,2001,2,20,0.0847013888888889,325.25333333333333,2.0328333333333335,-0.9129542183578556
982713600000,2001,2,21,0.16317592592592592,626.5955555555556,3.9162222222222223,-0.8323076374103457
982800000000,2001,2,22,0.10568518518518517,405.831111111111,2.5364444444444443,-0.8913896256824426
982886400000,2001,2,23,0.031013888888888886,119.09333333333333,0.7443333333333333,-0.9681276985476907
982972800000,2001,2,24,0.12067824074074074,463.4044444444445,2.8962777777777777,-0.8759815874299716
983059200000,2001,2,25,0.21670601851851856,832.1511111111109,5.2009444444444455,-0.777295921401639
983145600000,2001,2,26,0.31382175925925926,1205.0755555555559,7.531722222222222,-0.6774921794155079
983232000000,2001,2,27,0.2899675925925926,1113.4755555555555,6.9592222222222215,-0.702006589511496
