exceedance,energyMWh,specificYield,normalisedSpecificYield
0,484844.13999999996,4040.3678333333323,1.093331145867885
0.09999999999999998,463016.05333333334,3858.4671111111115,1.0441084678184607
0.19999999999999996,453786.9333333333,3781.5577777777776,1.02329665735716
0.30000000000000004,450822.2133333332,3756.8517777777784,1.0166111672225833
0.4,444847.04666666663,3707.0587222222216,1.003137072602365
0.5,443455.8933333333,3695.465777777778,1
0.6,440771.48,3673.095666666666,0.993946605798481
0.7,437376.4,3644.8033333333337,0.9862906471089257
0.8,434858.32666666666,3623.8193888888886,0.9806123522182979
0.9,425058.3266666668,3542.152722222222,0.9585131983964011
1,422657.18000000005,3522.143166666667,0.9530985749744012
