duration_years,stDev,p50,p75,p90,p99
5,9009.485512975809,591274.5244444446,587705.0373299208,582235.7226990575,572822.64549365
10,6370.668301227155,591274.5244444446,589484.8924918863,585617.5030279601,578961.4523041839
15,5201.628886176617,591274.5244444446,590273.397594913,587115.6873205014,581681.0446620566
18,4748.415794549009,591274.5244444446,590579.0851798706,587696.5032676021,582735.375974252
20,4504.742756487904,591274.5244444446,590743.4401464419,588008.7828310103,583302.2442283066
25,4029.1644098626944,591274.5244444446,591064.2128666558,588618.2610056669,584408.604903918
