datetime,dayOfWeek,priceMean,priceMax,priceMin,value,volumeMWh,powerMW,powerMaxMW,powerMinMW,priceOffMean,priceOffCoefVar,powerOffMeanMW,valueOff,priceStandardMean,priceStandardCoefVar,powerStandardMeanMW,valueStandard,priceMorningMean,priceMorningCoefVar,powerMorningMeanMW,valueMorning,priceEveningMean,priceEveningCoefVar,powerEveningMeanMW,valueEvening
2016-01-01,5,45.983,60.08,35.09,336.88,7873.8,328.08,502.9,53,39.453,0.044680,481.44,152.31,49.057,0.12074,257.00,132.15,42.743,0.15861,362.10,45.885,60.050,0.00099259,54.500,6.5454
2016-01-02,6,54.114,118.49,40.03,345.98,7319.5,304.98,486,40,46.753,0.10352,366.44,282.04,71.991,0.41776,155.71,63.943,,,,,,,,
2016-01-03,7,54.959,118.47,44.06,351.71,7198.7,299.95,486,40,54.959,0.33112,299.95,351.71,,,,,,,,,,,,
2016-01-04,1,80.165,177.66,46.7,225.94,4457.0,185.71,486,0,46.991,0.0056583,478.50,179.88,97.033,0.40345,38.545,30.730,74.313,0.13301,49.667,10.844,128.86,0.92869,28.000,4.4834
2016-01-05,2,84.503,181.4,42.06,179.07,3750.4,156.27,436,0,42.221,0.0035548,403.75,136.37,102.52,0.35751,29.855,24.712,80.030,0.00012495,49.667,11.925,161.24,0.35634,21.500,6.0660
2016-01-06,3,70.436,118.23,41.83,208.87,4230.0,176.25,446,27,42.035,0.0080424,419.75,141.10,83.257,0.20010,56.000,45.639,80.027,0.00014429,51.000,12.244,99.140,0.33735,51.500,9.8869
2016-01-07,4,78.834,174.44,48.08,208.43,3657.7,152.40,390,27,48.456,0.012611,359.34,139.23,89.022,0.34461,48.518,44.101,80.037,0.000072135,53.667,12.886,142.50,0.56428,44.150,12.210
2016-01-08,5,78.455,174.24,47.32,222.86,3996.1,166.50,440,27,47.689,0.010502,400.25,152.60,88.795,0.34333,49.127,44.562,80.033,0.000072139,53.667,12.886,142.28,0.56466,46.350,12.810
2016-01-09,6,68.765,115.35,48.01,305.03,5905.4,246.06,524.9,25,51.218,0.073719,333.71,279.01,111.38,0.025599,33.186,26.024,,,,,,,,
2016-01-10,7,68.162,115.66,50.18,264.91,4702.0,195.92,400,30.9,68.162,0.35904,195.92,264.91,,,,,,,,,,,,
2016-01-11,1,102.80,177.63,50.08,213.51,3760.0,156.67,440,0,51.428,0.014293,422.13,173.60,120.76,0.28579,24.182,25.605,126.74,0.27731,22.333,5.7962,173.61,0.044912,25.000,8.5112
2016-01-12,2,92.450,165.81,48.08,186.67,3240.9,135.04,352.4,1.1,48.209,0.0042546,346.73,133.72,107.66,0.21817,28.455,33.138,114.63,0.18879,26.367,8.4154,152.49,0.16433,37.500,11.397
2016-01-13,3,91.827,165.81,48.1,197.42,3399.2,141.63,372,18,48.394,0.013823,361.27,139.84,107.49,0.21894,29.273,34.159,109.78,0.13553,37.333,12.019,152.49,0.17159,37.500,11.397
2016-01-14,4,89.490,165.37,48.13,196.42,3392.2,141.34,371,18,48.532,0.012786,360.38,139.91,103.24,0.23265,29.291,33.314,106.58,0.15138,37.333,11.830,152.08,0.17635,37.500,11.366
2016-01-15,5,91.109,174.31,48.04,183.99,3050.3,127.10,330,17,48.084,0.00098766,311.76,119.93,104.21,0.24955,30.791,35.513,112.02,0.21338,43.000,14.491,159.77,0.18356,44.250,14.060
2016-01-16,6,68.312,115.38,46.93,245.13,4731.9,197.16,400,21,50.574,0.084166,264.35,218.46,111.39,0.027397,34.000,26.671,,,,,,,,
2016-01-17,7,65.192,112.01,48.31,220.33,4165.0,173.54,363,26.2,65.192,0.36382,173.54,220.33,,,,,,,,,,,,
2016-01-18,1,101.89,177.32,48.21,167.94,3107.6,129.48,370,0,48.686,0.0044420,351.25,136.84,120.07,0.28707,19.491,20.069,129.09,0.40915,10.667,2.2723,173.89,0.037522,25.600,8.7568
2016-01-19,2,91.734,144.58,51,136.42,2279.2,94.967,260,2,51.519,0.0046820,243.75,100.47,104.11,0.13684,18.018,18.713,119.41,0.18383,21.000,7.5449,142.99,0.018831,34.000,9.6915
2016-01-20,3,93.331,160.96,51.13,142.23,2314.4,96.433,260,1.8,51.653,0.0047385,243.75,100.73,105.05,0.14380,18.855,20.013,122.55,0.21856,26.000,9.6021,151.76,0.10611,39.500,11.888
2016-01-21,4,90.414,149.67,50.48,129.01,2219.7,92.487,260,2.5,51.052,0.0052243,242.50,99.053,102.68,0.13852,13.927,14.016,120.91,0.20738,25.833,9.3363,134.65,0.12024,24.500,6.6081
2016-01-22,5,97.941,150.1,50.82,176.69,2634.0,109.75,280,2.7,51.333,0.012279,256.25,105.26,114.59,0.20256,33.345,41.947,126.43,0.16761,43.767,16.591,150.09,0.00011186,42.950,12.892
2016-01-23,6,70.087,115.29,50.27,170.04,3068.1,127.84,296,13,53.339,0.055123,168.67,147.64,110.76,0.023966,28.671,22.400,,,,,,,,
2016-01-24,7,56.765,69.35,51.06,180.29,3395.9,141.50,316,0,56.765,0.10187,141.50,180.29,,,,,,,,,,,,
2016-01-25,1,101.77,176.93,51.22,150.38,2645.6,110.23,316,0,51.561,0.0042065,299.75,123.67,119.02,0.30580,15.155,15.498,126.81,0.41180,8.4000,1.9721,170.17,0.075445,27.850,9.2462
2016-01-26,2,90.873,140.42,50.84,133.00,2282.3,95.096,277,2.8,51.248,0.0070669,250.25,102.60,103.70,0.14369,14.227,14.411,116.73,0.16073,18.933,6.5975,140.02,0.0047855,33.500,9.3908
2016-01-27,3,104.04,170.68,50.08,255.60,3390.6,141.28,302,9.8,50.796,0.019824,279.79,113.74,124.78,0.15820,82.673,107.61,132.39,0.16099,47.700,18.413,160.38,0.10997,49.900,15.844
2016-01-28,4,96.972,156.82,49.83,201.66,2860.0,119.17,263,3.7,50.099,0.0069575,241.09,96.587,113.17,0.16901,64.964,75.783,128.98,0.19085,45.767,17.680,147.38,0.058277,39.700,11.610
2016-01-29,5,97.265,156.8,50.15,198.26,2731.9,113.83,240,3.2,50.574,0.010531,220.63,89.326,113.60,0.16619,68.345,79.907,128.98,0.19074,45.633,17.641,146.63,0.049779,39.100,11.384
2016-01-30,6,77.901,120.06,49.05,267.30,4159.0,173.29,313,31.3,63.486,0.26660,225.88,230.66,112.91,0.043186,45.571,36.642,,,,,,,,
2016-01-31,7,78.785,110.05,49.41,310.73,4296.8,179.03,263,101.8,78.785,0.30659,179.03,310.73,,,,,,,,,,,,
2016-02-01,1,105.70,187.81,50.58,231.75,3499.4,145.81,323,0,50.630,0.0011565,315.88,127.94,124.65,0.27742,64.655,71.759,140.31,0.22258,68.067,22.606,169.81,0.072218,28.500,9.4430
2016-02-02,2,97.675,158.57,51.82,215.31,3108.2,129.51,289.8,2.6,52.018,0.0016010,279.21,116.19,114.05,0.16583,60.918,71.809,129.80,0.19530,45.333,17.591,142.07,0.00016343,34.200,9.7176
2016-02-03,3,97.547,159.46,51.55,221.32,3218.4,134.10,305.5,3,51.945,0.0031431,291.86,121.29,113.74,0.16767,61.464,72.255,130.08,0.19885,45.833,17.841,142.07,0.00016308,34.950,9.9307
2016-02-04,4,97.662,145.09,51.67,234.82,3392.0,141.33,313,1.9,52.013,0.010606,305.25,127.00,115.74,0.15357,68.836,82.612,121.48,0.094190,39.633,14.486,145.09,0.000058208,36.950,10.722
2016-02-05,5,95.190,147.12,50.03,215.52,3122.5,130.10,368.8,3.6,50.591,0.012633,278.25,112.80,110.17,0.16408,58.391,68.367,125.94,0.15031,51.867,20.052,145.08,0.0000,49.300,14.305
2016-02-06,6,77.272,120.02,49.98,268.76,4150.9,172.95,402,50,61.923,0.23898,216.91,215.06,114.55,0.045180,66.214,53.701,,,,,,,,
2016-02-07,7,75.023,109.37,50.36,286.94,4212.0,175.50,283,100,75.023,0.29627,175.50,286.94,,,,,,,,,,,,
2016-02-08,1,96.733,171.76,50.36,195.97,3114.1,129.75,398.4,0,50.619,0.011167,291.68,118.29,112.47,0.19001,54.545,58.736,138.14,0.25050,56.267,17.518,132.56,0.12761,5.9500,1.4291
2016-02-09,2,93.715,145.08,50.41,217.12,3214.8,133.95,369,2.7,50.654,0.011324,289.88,117.59,109.36,0.12771,60.427,70.031,116.93,0.10159,44.233,15.223,145.08,0.0000,49.200,14.276
2016-02-10,3,90.520,129.97,50.57,220.19,3464.1,144.34,389,3.5,50.919,0.0095351,331.96,135.31,106.80,0.080613,58.300,65.560,116.71,0.098418,44.500,15.290,120.09,0.0000,16.800,4.0350
2016-02-11,4,91.435,139.69,50.24,199.84,3091.1,128.80,355,0,50.480,0.0099111,289.38,116.96,108.19,0.077997,56.155,64.014,120.09,0.14136,44.333,15.822,120.10,0.0000,12.700,3.0505
2016-02-12,5,93.852,142.06,50.63,235.20,3608.5,150.35,415.1,0,51.213,0.011939,345.23,141.63,110.24,0.11709,58.891,68.613,115.35,0.075586,37.500,12.689,142.06,0.000061301,43.200,12.274
2016-02-13,6,79.773,120.08,51.01,340.46,5124.6,213.53,414.8,45,65.206,0.26172,274.51,287.23,115.15,0.039504,65.429,53.237,,,,,,,,
2016-02-14,7,77.443,108.57,51.02,316.92,4639.2,193.30,320,100,77.443,0.29408,193.30,316.92,,,,,,,,,,,,
2016-02-15,1,97.649,171.44,51.14,229.97,3662.4,152.60,397.1,0,51.439,0.0058501,352.14,144.96,113.47,0.17899,59.709,65.134,138.17,0.24791,57.833,18.016,134.66,0.10650,7.5000,1.8639
2016-02-16,2,90.591,125.65,50.77,221.77,3666.4,152.77,392.2,0,51.231,0.0086802,379.15,155.40,107.07,0.085983,45.255,50.912,115.46,0.076454,36.933,12.506,120.09,0.0000,12.300,2.9542
2016-02-17,3,89.828,120.09,50.99,228.47,3703.3,154.30,378.5,3.2,51.166,0.0069335,371.44,152.05,106.02,0.087958,52.645,59.126,113.40,0.051092,39.900,13.336,120.09,0.000062355,16.500,3.9628
2016-02-18,4,90.308,120.09,50.92,271.36,4411.9,183.83,466,3.2,51.400,0.0067411,447.63,184.06,106.89,0.084356,61.655,70.010,113.40,0.051092,39.900,13.336,120.09,0.000062355,16.500,3.9628
2016-02-19,5,91.225,125.43,51.83,268.77,4295.3,178.97,465,0.9,52.058,0.0032949,432.56,180.11,107.93,0.078779,60.991,70.026,115.18,0.077070,45.300,15.274,120.09,0.0000,14.000,3.3625
2016-02-20,6,77.268,120.03,50.07,273.58,4339.0,180.79,341.2,29.7,62.356,0.22256,234.54,233.15,113.48,0.041660,50.257,40.423,,,,,,,,
2016-02-21,7,76.267,110.02,50.17,299.70,4503.5,187.65,335,93.9,76.267,0.30555,187.65,299.70,,,,,,,,,,,,
2016-02-22,1,98.382,173.73,50.98,206.35,3288.9,137.04,335,0,51.444,0.0072962,317.69,130.78,114.92,0.17797,54.691,60.357,139.54,0.25366,45.300,14.019,133.46,0.13550,4.9500,1.1889
2016-02-23,2,92.527,135.05,52.06,283.99,4094.1,170.59,405,25,52.442,0.0070916,368.00,154.40,108.18,0.13025,70.764,83.093,113.67,0.055287,54.567,18.407,135.05,0.0000,104.00,28.090
2016-02-24,3,93.468,135.09,51.83,254.72,3642.8,151.78,335,29.3,52.119,0.0077697,321.86,134.19,109.47,0.13115,65.773,76.869,117.33,0.053516,46.667,16.050,135.07,0.00012053,102.20,27.608
2016-02-25,4,95.432,136.07,51.82,301.14,4089.8,170.41,360,23.4,52.281,0.013122,337.41,141.18,113.35,0.081510,92.355,112.54,117.71,0.057400,55.800,19.223,136.07,0.0000,103.60,28.194
2016-02-26,5,108.25,236.74,52.63,419.97,5013.9,208.91,436,0.7,53.004,0.0079046,425.63,180.43,122.49,0.31113,98.564,137.45,121.55,0.098367,58.233,21.264,230.99,0.018441,175.00,80.829
2016-02-27,6,84.170,124.4,51.35,326.58,4804.8,200.20,350,50,68.855,0.28365,261.72,283.43,121.36,0.018745,50.800,43.150,,,,,,,,
2016-02-28,7,83.425,117.96,51.72,392.61,5471.1,227.96,400,100,83.425,0.30800,227.96,392.61,,,,,,,,,,,,
2016-02-29,1,111.84,179.91,52.05,257.74,3591.2,149.63,324.9,2.1,52.330,0.0073750,308.45,129.11,129.81,0.25041,78.873,94.649,159.94,0.21626,68.067,24.756,178.96,0.0084000,25.900,9.2249
2016-03-01,2,101.46,152.73,51.47,258.36,3679.3,153.30,350,40,51.880,0.0075964,337.82,140.16,119.22,0.17442,64.245,81.138,134.41,0.13707,56.667,21.787,152.73,0.0000,50.000,15.273
