datetime,year,priceDailyMean,priceMean,value,volumeGWh,priceMonthlyMean
2016-01-01,2016,82.483,56.887,83.696,1471.3,82.545
2017-01-01,2017,48.027,43.994,63.458,1442.4,48.018
2018-01-01,2018,49.620,48.142,84.792,1761.3,49.603
2019-01-01,2019,70.517,60.684,113.48,1870.1,70.363
2020-01-01,2020,64.974,56.378,60.423,1071.8,64.993
2021-01-01,2021,95.223,79.989,86.591,1082.5,95.208
2022-01-01,2022,96.655,84.765,109.76,1294.9,96.716
2023-01-01,2023,92.898,67.040,70.507,1051.7,93.059
2024-01-01,2024,121.36,102.59,101.63,990.63,120.93
