month,hour,priceMean,powerMeanMW,priceDeviation,powerDeviationMW,priceCoefVar,powerCoefVar
1,0,33.729,144.90,8.6175,36.353,0.25549,0.25088
1,1,30.141,165.48,6.2937,37.826,0.20881,0.22858
1,2,28.484,179.73,4.7891,44.871,0.16813,0.24966
1,3,28.354,183.01,4.4992,48.216,0.15868,0.26346
1,4,28.386,182.29,4.7383,48.101,0.16692,0.26387
1,5,27.650,199.57,2.9301,47.079,0.10597,0.23590
1,6,62.763,155.46,25.531,65.739,0.40678,0.42287
1,7,65.195,142.09,22.611,41.297,0.34682,0.29064
1,8,65.781,147.65,21.732,45.025,0.33037,0.30494
1,9,66.074,146.50,21.622,46.764,0.32724,0.31921
1,10,62.564,135.17,19.155,43.068,0.30617,0.31862
1,11,62.533,133.52,19.449,41.358,0.31102,0.30975
1,12,60.529,141.87,21.727,54.301,0.35895,0.38275
1,13,60.095,137.48,22.664,56.952,0.37714,0.41426
1,14,60.033,137.87,22.821,57.566,0.38014,0.41754
1,15,59.535,140.55,23.329,58.217,0.39185,0.41421
1,16,59.251,157.72,23.309,75.597,0.39339,0.47931
1,17,62.648,156.87,25.659,90.734,0.40957,0.57840
1,18,61.696,128.07,20.451,65.081,0.33148,0.50817
1,19,187.18,88.161,105.82,54.453,0.56534,0.61765
1,20,186.03,82.787,107.47,41.956,0.57770,0.50679
1,21,61.344,125.70,21.376,24.117,0.34846,0.19186
1,22,40.919,108.26,9.8175,26.092,0.23993,0.24101
1,23,33.427,144.06,8.7818,39.598,0.26272,0.27487
2,0,47.435,181.07,9.0575,39.644,0.19095,0.21894
2,1,46.562,190.30,9.6264,44.392,0.20674,0.23327
2,2,45.875,192.84,9.8484,46.215,0.21468,0.23965
2,3,45.049,195.68,9.9100,48.053,0.21998,0.24557
2,4,45.755,199.39,10.236,63.079,0.22371,0.31636
2,5,55.204,148.35,21.937,95.906,0.39738,0.64648
2,6,84.913,138.71,55.262,89.209,0.65081,0.64313
2,7,75.709,143.87,32.520,72.889,0.42954,0.50663
2,8,112.11,135.83,74.311,80.538,0.66284,0.59293
2,9,131.38,124.12,81.528,82.444,0.62055,0.66423
2,10,89.568,104.16,34.851,86.222,0.38910,0.82778
2,11,89.515,102.44,35.195,85.410,0.39317,0.83376
2,12,87.034,99.364,36.242,76.136,0.41641,0.76623
2,13,84.022,100.96,35.027,74.388,0.41688,0.73681
2,14,83.285,101.84,35.663,75.350,0.42820,0.73989
2,15,83.323,102.92,35.995,78.767,0.43199,0.76532
2,16,84.630,108.71,33.541,76.859,0.39633,0.70701
2,17,98.762,114.60,67.377,61.477,0.68222,0.53645
2,18,92.290,109.36,58.342,39.959,0.63216,0.36539
2,19,259.05,51.989,90.763,46.108,0.35037,0.88688
2,20,270.84,39.893,87.489,32.171,0.32303,0.80643
2,21,145.72,90.257,102.04,52.026,0.70025,0.57642
2,22,54.643,155.12,7.7454,64.277,0.14175,0.41437
2,23,49.615,171.15,7.8502,40.157,0.15822,0.23463
3,0,61.353,123.69,15.049,44.315,0.24529,0.35827
3,1,59.283,131.35,14.377,47.501,0.24251,0.36164
3,2,58.422,135.73,14.557,51.080,0.24917,0.37634
3,3,58.304,136.50,14.548,50.059,0.24952,0.36673
3,4,60.708,130.99,15.570,45.108,0.25647,0.34436
3,5,69.265,101.06,20.851,42.108,0.30103,0.41666
3,6,86.245,121.55,45.056,48.017,0.52242,0.39504
3,7,81.444,116.62,39.196,46.463,0.48126,0.39841
3,8,105.01,103.58,56.822,48.223,0.54111,0.46556
3,9,128.92,90.739,69.868,45.890,0.54195,0.50574
3,10,101.74,70.042,31.613,43.708,0.31072,0.62403
3,11,105.45,68.968,35.974,44.200,0.34115,0.64088
3,12,102.23,71.894,37.044,49.610,0.36236,0.69004
3,13,101.21,74.142,37.239,51.216,0.36794,0.69078
3,14,101.47,75.426,37.427,53.525,0.36885,0.70964
3,15,101.60,77.484,38.054,59.029,0.37455,0.76182
3,16,95.818,79.681,33.111,54.298,0.34556,0.68144
3,17,93.839,103.48,57.668,47.269,0.61454,0.45679
3,18,101.86,87.768,58.447,33.454,0.57380,0.38116
3,19,283.61,29.900,75.049,36.214,0.26462,1.2112
3,20,287.84,29.455,73.524,38.345,0.25543,1.3018
3,21,220.75,58.177,112.42,50.281,0.50926,0.86428
3,22,73.185,79.597,25.396,52.050,0.34701,0.65392
3,23,61.020,107.20,15.530,51.045,0.25451,0.47617
4,0,30.922,101.59,9.7526,51.672,0.31539,0.50863
4,1,30.641,102.66,9.7327,53.286,0.31764,0.51905
4,2,30.500,102.69,9.7710,53.345,0.32036,0.51948
4,3,30.521,103.28,9.8756,53.460,0.32357,0.51762
4,4,31.030,109.16,10.009,53.717,0.32256,0.49209
4,5,38.119,130.07,16.147,56.117,0.42359,0.43144
4,6,53.730,154.80,22.628,53.168,0.42114,0.34346
4,7,59.355,178.20,20.873,48.597,0.35166,0.27271
4,8,59.134,198.07,19.815,45.557,0.33509,0.23000
4,9,58.231,191.13,19.212,45.204,0.32993,0.23651
4,10,56.518,166.23,18.114,48.734,0.32050,0.29317
4,11,56.400,163.09,18.192,46.580,0.32255,0.28561
4,12,53.479,158.96,20.614,45.284,0.38546,0.28488
4,13,53.380,151.22,20.726,41.260,0.38827,0.27285
4,14,53.266,147.11,20.939,42.137,0.39310,0.28643
4,15,53.043,148.85,20.636,42.826,0.38904,0.28771
4,16,53.090,167.69,20.576,47.676,0.38757,0.28431
4,17,55.627,178.82,22.211,62.848,0.39928,0.35146
4,18,77.147,139.00,33.390,66.914,0.43281,0.48140
4,19,189.02,71.070,84.853,40.961,0.44891,0.57635
4,20,156.18,79.170,90.742,40.132,0.58101,0.50691
4,21,59.957,127.37,24.052,43.613,0.40115,0.34241
4,22,44.725,89.607,22.150,36.605,0.49525,0.40851
4,23,37.363,94.820,17.496,41.350,0.46827,0.43609
5,0,20.614,126.53,4.7842,40.045,0.23208,0.31649
5,1,20.250,126.84,4.6205,41.276,0.22817,0.32542
5,2,20.145,126.66,4.5925,42.206,0.22797,0.33322
5,3,20.407,127.62,4.4518,42.181,0.21815,0.33052
5,4,22.178,132.41,5.3125,43.377,0.23954,0.32760
5,5,29.558,132.63,8.0581,54.984,0.27262,0.41457
5,6,48.413,139.68,20.185,38.743,0.41693,0.27737
5,7,56.511,213.84,22.126,72.905,0.39153,0.34093
5,8,58.927,222.64,18.460,69.649,0.31327,0.31283
5,9,56.944,212.82,17.034,45.579,0.29914,0.21417
5,10,53.415,152.42,15.103,41.523,0.28275,0.27242
5,11,51.878,143.39,14.942,34.375,0.28802,0.23973
5,12,48.202,136.13,16.329,32.797,0.33876,0.24092
5,13,48.060,133.53,17.260,30.998,0.35913,0.23214
5,14,47.950,130.45,17.377,30.501,0.36240,0.23381
5,15,47.956,131.01,17.451,31.203,0.36390,0.23817
5,16,49.532,142.55,17.837,34.511,0.36011,0.24210
5,17,51.590,152.52,16.690,35.857,0.32351,0.23510
5,18,136.43,92.400,72.543,40.707,0.53172,0.44055
5,19,162.21,95.158,79.483,45.716,0.49000,0.48042
5,20,84.688,103.16,49.893,57.172,0.58914,0.55421
5,21,47.604,128.08,18.848,28.814,0.39593,0.22497
5,22,43.972,119.55,21.135,48.412,0.48065,0.40495
5,23,21.029,128.03,4.8669,37.619,0.23144,0.29383
6,0,19.007,174.65,4.3422,39.338,0.22845,0.22524
6,1,18.109,169.74,4.0080,34.184,0.22133,0.20139
6,2,17.667,165.83,3.9792,37.342,0.22523,0.22518
