month,priceMean,priceWeightedMean,powerMeanMW,priceOffMean,priceOffCoefVar,powerOffMeanMW,priceOffWeightedMean,priceStandardMean,priceStandardCoefVar,powerStandardMeanMW,priceStandardWeightedMean,priceMorningMean,priceMorningCoefVar,powerMorningMeanMW,priceMorningWeightedMean,priceEveningMean,priceEveningCoefVar,powerEveningMeanMW,priceEveningWeightedMean
1,67.488,56.581,147.98,44.813,0.68194,162.66,39.576,75.472,0.45949,139.19,69.553,73.526,0.36478,161.51,71.721,194.15,1.0018,62.241,180.89
2,87.430,74.276,124.11,57.404,0.76832,129.77,51.595,102.94,0.48235,123.46,91.987,93.142,0.47116,141.93,86.662,226.80,0.67246,55.261,213.86
3,93.369,79.697,101.56,68.679,0.67091,111.75,63.468,103.70,0.47874,96.411,91.332,103.65,0.43656,102.08,93.445,210.65,0.67174,51.468,184.80
4,71.000,57.624,118.92,47.144,0.75549,133.27,43.058,82.340,0.66106,107.66,69.587,79.495,0.51430,127.89,68.765,181.03,1.2399,59.156,151.94
5,59.179,49.404,119.00,34.334,0.74220,128.72,31.364,69.818,0.67289,109.69,60.896,69.168,0.59055,136.31,61.615,182.20,1.1656,71.018,172.60
6,87.225,72.090,122.39,50.101,0.88759,130.07,42.326,95.805,0.64809,109.59,80.241,128.60,0.62806,161.70,112.26,211.01,0.56602,90.691,190.44
7,96.152,86.414,149.91,50.749,0.78313,166.69,46.971,103.68,0.64158,135.95,98.316,164.00,0.56927,162.30,171.48,247.04,0.42954,99.429,245.86
8,92.541,84.587,161.25,47.730,0.83558,176.01,48.074,95.934,0.65286,150.18,89.197,161.63,0.49393,179.52,165.73,251.46,0.35971,105.68,248.76
9,110.59,92.744,141.54,68.134,0.87054,163.84,58.919,127.62,0.66402,124.14,115.42,170.22,0.52132,140.83,174.85,254.96,0.51655,72.144,224.58
10,113.72,98.111,137.41,68.556,0.87612,157.41,54.552,138.62,0.59217,119.35,136.77,160.10,0.47077,139.24,173.84,273.09,0.44263,77.377,275.36
11,152.18,119.51,111.91,100.60,0.74472,137.71,69.108,182.73,0.40063,87.603,174.09,199.52,0.28830,103.93,201.93,301.43,0.061768,69.136,302.78
12,100.03,81.418,118.38,64.360,0.84410,136.27,54.541,118.78,0.62819,102.41,100.37,137.60,0.49969,121.37,133.51,213.07,0.64379,69.659,193.49
