month,priceMean,priceWeightedMean,powerMeanMW,priceOffMean,priceOffCoefVar,powerOffMeanMW,priceOffWeightedMean,priceStandardMean,priceStandardCoefVar,powerStandardMeanMW,priceStandardWeightedMean,priceMorningMean,priceMorningCoefVar,powerMorningMeanMW,priceMorningWeightedMean,priceEveningMean,priceEveningCoefVar,powerEveningMeanMW,priceEveningWeightedMean
1,63.259,51.224,155.18,41.293,0.61726,196.51,37.684,75.238,0.41340,121.20,68.107,72.229,0.38659,132.72,68.091,154.07,1.0671,63.496,139.28
2,75.048,61.777,137.35,48.073,0.76389,167.52,43.363,91.953,0.46147,112.65,84.586,85.487,0.47100,126.82,79.213,172.92,0.93174,62.100,153.80
3,75.776,64.634,105.43,52.440,0.77382,123.53,49.718,88.674,0.50590,90.852,79.631,89.531,0.48108,100.91,79.513,161.61,0.88005,57.899,134.21
4,63.467,53.505,122.70,40.386,0.74428,136.85,38.854,77.174,0.59034,110.12,65.905,77.048,0.48923,127.88,68.594,147.62,1.1027,76.829,119.84
5,58.549,49.388,113.41,33.950,0.65306,135.63,33.804,71.764,0.56781,93.420,63.191,73.931,0.50649,110.71,66.169,150.71,0.97953,63.065,147.16
6,81.012,66.905,133.85,46.201,0.77140,163.48,42.159,92.304,0.54189,102.71,81.660,127.11,0.52569,138.33,118.19,179.47,0.54498,88.250,168.10
7,88.230,76.723,165.17,48.113,0.70320,201.30,45.626,98.234,0.54105,132.64,92.535,156.67,0.50083,152.83,166.07,202.67,0.50368,102.69,201.70
8,85.775,73.234,185.60,44.975,0.71819,227.82,44.528,92.308,0.54058,151.52,85.147,156.16,0.43261,164.41,158.87,205.52,0.47910,113.43,192.49
9,89.849,68.705,195.37,54.633,0.87516,243.77,45.429,106.52,0.65245,154.05,92.358,137.05,0.57723,164.61,128.70,202.98,0.68877,102.89,155.00
10,85.066,63.799,222.18,51.287,0.90426,273.64,39.619,104.40,0.64645,183.97,90.727,118.50,0.57107,182.76,112.35,194.54,0.79369,92.577,179.38
11,106.62,71.161,185.45,67.609,0.92892,238.52,44.331,129.42,0.58298,144.67,102.88,141.87,0.50723,139.96,124.90,220.87,0.63025,86.393,197.48
12,79.665,61.647,158.21,50.937,0.83758,199.22,42.131,96.854,0.63114,123.51,84.053,105.43,0.57745,135.49,101.89,171.21,0.84457,69.962,157.29
