month,hour,priceMean,powerMeanMW,priceDeviation,powerDeviationMW,priceCoefVar,powerCoefVar
1,0,38.541,169.48,15.411,55.266,0.39986,0.32609
1,1,36.164,180.52,14.326,54.156,0.39614,0.30000
1,2,34.995,187.31,13.679,55.317,0.39088,0.29532
1,3,34.567,188.31,13.392,55.089,0.38742,0.29254
1,4,35.745,188.74,14.997,57.649,0.41956,0.30544
1,5,40.527,157.61,20.878,63.573,0.51516,0.40336
1,6,58.092,166.35,28.908,79.263,0.49762,0.47648
1,7,68.512,167.84,26.657,73.349,0.38909,0.43702
1,8,70.637,165.66,26.137,70.418,0.37002,0.42508
1,9,71.160,159.83,25.050,67.152,0.35202,0.42015
1,10,59.580,155.75,19.264,62.603,0.32333,0.40195
1,11,59.712,155.50,19.878,62.462,0.33290,0.40168
1,12,59.190,154.58,22.143,63.659,0.37410,0.41182
1,13,59.196,153.16,22.474,63.719,0.37965,0.41603
1,14,59.480,152.65,23.157,62.222,0.38932,0.40761
1,15,59.963,151.22,23.057,62.694,0.38452,0.41459
1,16,65.243,150.55,26.410,68.076,0.40479,0.45218
1,17,70.621,149.39,35.796,72.458,0.50687,0.48503
1,18,96.401,109.23,47.887,62.212,0.49675,0.56955
1,19,161.12,70.541,84.737,38.373,0.52592,0.54398
1,20,180.93,65.074,83.775,36.650,0.46302,0.56320
1,21,102.55,96.561,50.911,42.241,0.49645,0.43745
1,22,56.695,113.04,32.823,51.538,0.57894,0.45593
1,23,40.243,142.72,15.532,54.186,0.38596,0.37967
2,0,46.703,142.11,16.372,96.278,0.35056,0.67749
2,1,44.388,148.43,15.049,100.77,0.33903,0.67891
2,2,43.232,151.52,14.128,105.06,0.32679,0.69337
2,3,43.065,152.13,14.267,105.31,0.33129,0.69224
2,4,46.177,146.30,15.797,101.56,0.34210,0.69419
2,5,57.117,111.17,24.956,84.516,0.43693,0.76024
2,6,73.928,136.13,48.634,78.060,0.65786,0.57342
2,7,84.694,151.32,39.740,77.711,0.46922,0.51355
2,8,91.005,152.32,47.375,83.603,0.52058,0.54886
2,9,105.58,147.52,59.791,82.590,0.56631,0.55986
2,10,83.808,140.01,30.718,80.948,0.36653,0.57816
2,11,82.835,140.63,30.416,81.910,0.36719,0.58245
2,12,81.172,133.48,32.974,80.664,0.40622,0.60432
2,13,80.515,132.34,32.532,76.712,0.40405,0.57966
2,14,80.616,131.65,32.668,77.472,0.40523,0.58847
2,15,81.524,128.67,33.098,76.747,0.40599,0.59646
2,16,86.950,124.44,40.928,66.480,0.47071,0.53423
2,17,99.489,118.89,67.726,55.114,0.68074,0.46357
2,18,106.62,90.032,61.092,49.550,0.57299,0.55036
2,19,213.41,55.229,79.048,29.424,0.37040,0.53276
2,20,209.11,49.240,84.054,29.112,0.40196,0.59123
2,21,136.68,82.508,77.911,41.960,0.57002,0.50856
2,22,69.617,94.232,34.125,63.353,0.49018,0.67231
2,23,50.093,118.27,15.551,74.666,0.31044,0.63132
3,0,63.254,120.68,27.943,61.838,0.44176,0.51241
