datetime,year,month,priceMean,priceWeightedMean,priceMax,priceMin,value,volumeGWh,powerMeanMW,powerMaxMW,powerMinMW,priceOffMean,priceOffCoefVar,powerOffMeanMW,valueOff,priceOffWeightedMean,priceStandardMean,priceStandardCoefVar,powerStandardMeanMW,valueStandard,priceStandardWeightedMean,priceMorningMean,priceMorningCoefVar,powerMorningMeanMW,valueMorning,priceMorningWeightedMean,priceEveningMean,priceEveningCoefVar,powerEveningMeanMW,valueEvening,priceEveningWeightedMean,days,priceDailyP10,priceDailyP90,priceDailyMinMean,priceDailyMaxMean,volumeDailyMaxMWh,volumeDailyMinMWh,powerDailyMaxMW,powerDailyMinMW
2016-01-01,2016,1,81.785,55.839,181.4,35.09,6712.7,120.22,161.58,524.9,0,54.810,0.27793,275.22,5162.5,50.289,103.54,0.27247,47.934,1067.3,83.704,107.58,0.29352,51.421,266.87,82.381,144.88,0.28547,37.350,216.04,137.72,31,56.765,101.77,101.77,97.941,7873.8,2219.7,96.433,109.75
2016-02-01,2016,2,91.385,67.262,236.74,49.98,7636.9,113.54,163.13,466,0,61.866,0.29936,277.89,5236.7,56.760,113.00,0.16206,63.364,1764.4,107.51,124.77,0.16585,48.860,355.30,115.43,141.36,0.20797,42.581,280.42,156.80,29,77.27120000000001,99.8456,105.70,98.382,5471.1,3091.1,227.96,128.80
2016-03-01,2016,3,88.100,64.186,179.85,49.08,5977.8,93.132,125.18,371,0,58.424,0.24695,215.81,4130.4,54.997,110.10,0.14172,48.209,1369.2,101.07,118.96,0.15966,41.781,306.42,106.29,131.91,0.19089,34.787,171.77,107.34,31,74.754,99.083,100.68,99.083,4035.8,1431.0,99.983,102.00
2016-04-01,2016,4,85.320,61.715,192.77,0,3581.5,58.033,80.602,300,0,56.770,0.35060,149.82,2976.2,56.920,108.67,0.26383,15.350,418.13,102.41,108.02,0.36716,23.438,161.25,109.21,140.65,0.21002,4.4381,25.958,139.26,30,60.7224,102.42999999999999,100.57,99.896,952.20,1796.0,99.167,100.51
2016-05-01,2016,5,78.638,55.835,206.28,22.9,2968.4,53.164,71.457,336.4,0,46.333,0.38393,130.04,2351.7,49.683,105.52,0.28577,16.445,469.77,105.80,107.27,0.30722,18.268,121.19,100.52,138.02,0.16061,4.1705,25.751,140.33,31,44.432,97.8,100.28,99.967,999.30,1063.0,86.575,102.77
2016-06-01,2016,6,93.230,62.857,181.16,50.06,5579.4,88.762,123.28,418.7,0,60.958,0.32033,230.33,4347.3,55.513,114.53,0.13931,31.641,898.87,114.55,127.68,0.099076,33.376,273.06,123.96,144.99,0.10206,6.0803,60.141,149.87,30,76.8334,101.034,100.21,99.551,738.20,1840.3,98.146,101.54
2016-07-01,2016,7,96.873,67.143,214.24,50.09,6029.0,89.794,120.69,332,0,62.175,0.30934,206.65,4403.6,57.129,119.89,0.14213,34.248,988.51,117.81,145.76,0.11941,53.378,475.16,141.30,163.90,0.11599,15.232,161.78,168.59,31,76.97,110.41,100.77,97.617,4518.0,1750.4,94.896,102.64
2016-08-01,2016,8,99.667,62.857,202.52,15.98,8844.8,140.71,189.13,582,0,55.024,0.43244,331.41,5548.5,48.110,119.85,0.11372,76.676,2358.3,119.21,170.55,0.13001,54.970,619.41,163.31,178.46,0.10645,26.210,318.50,176.11,31,72.977,116.5,101.01,96.810,6850.4,2378.2,99.092,101.71
2016-09-01,2016,9,91.618,60.831,196.78,33.9,10259,168.65,234.23,682,0,57.287,0.42348,405.64,6743.9,48.898,110.47,0.18878,92.104,2713.2,109.10,130.51,0.20000,70.692,580.04,124.32,182.90,0.058028,27.195,221.93,185.47,30,73.0591,104.44,103.55,99.759,7506.5,10875,453.14,130.99
2016-10-01,2016,10,63.413,47.655,166.47,17.99,10001,209.86,282.07,749,5.9,39.401,0.22110,444.50,6349.2,38.295,80.186,0.17412,128.43,2704.5,79.164,88.063,0.18239,106.58,565.65,84.241,133.47,0.26715,75.900,381.63,119.72,31,39.382,77.32,31.444,77.748,9695.8,10001,96.742,129.55
2016-11-01,2016,11,65.005,50.544,153.05,29.98,10057,198.97,276.35,713,38,39.438,0.19650,442.83,5855.6,38.892,81.253,0.12282,129.15,2816.2,80.762,93.382,0.13395,121.53,725.60,90.465,120.31,0.13581,125.47,659.49,119.46,30,43.8058,74.39489999999999,32.064,78.104,8860.1,10042,499.88,112.55
2016-12-01,2016,12,55.508,44.339,130,16.7,6048.5,136.42,183.36,694,0,36.745,0.28988,284.72,3705.8,36.458,69.995,0.23650,92.824,1657.1,64.449,68.342,0.25286,92.430,403.51,66.144,97.294,0.32151,67.232,282.07,95.351,31,36.585,67.835,30.578,97.731,825.00,10417,75.583,122.25
2017-01-01,2017,1,53.374,40.766,135,14.99,4102.5,100.64,135.26,406.4,0,32.336,0.11431,209.96,2482.7,32.485,73.596,0.22998,65.306,1189.5,67.463,62.792,0.25914,63.476,235.69,56.260,89.196,0.24105,54.289,194.62,81.477,31,32.505,66.745,29.684,81.254,983.20,1335.0,68.917,100.60
