month,hour,priceMean,powerMeanMW,priceDeviation,powerDeviationMW,priceCoefVar,powerCoefVar
1,0,33.933,272.51,9.3564,90.813,0.27573,0.33325
1,1,33.612,270.57,9.6014,90.692,0.28565,0.33519
1,2,33.498,268.82,9.6468,90.746,0.28798,0.33757
1,3,33.533,272.15,9.6817,91.054,0.28872,0.33457
1,4,33.638,273.78,9.6319,92.773,0.28634,0.33886
1,5,35.491,255.95,9.2069,93.898,0.25942,0.36686
1,6,53.765,143.18,24.666,83.804,0.45877,0.58531
1,7,67.615,106.39,35.942,70.834,0.53157,0.66580
1,8,70.258,86.981,27.228,71.277,0.38754,0.81945
1,9,72.950,90.886,27.309,72.111,0.37435,0.79342
1,10,68.211,101.26,27.543,67.936,0.40379,0.67091
1,11,66.543,105.36,23.492,70.582,0.35303,0.66991
1,12,62.498,120.60,23.151,81.177,0.37043,0.67311
1,13,62.339,119.79,23.313,81.884,0.37397,0.68356
1,14,62.453,120.63,23.418,78.748,0.37497,0.65281
1,15,62.307,120.55,23.524,77.223,0.37755,0.64059
1,16,65.853,130.97,28.088,70.288,0.42653,0.53667
1,17,68.070,124.99,33.083,72.372,0.48601,0.57902
1,18,90.201,80.866,36.989,60.543,0.41007,0.74868
1,19,97.003,62.567,37.087,58.161,0.38233,0.92958
1,20,74.701,117.92,34.994,88.271,0.46845,0.74857
1,21,55.735,169.08,18.329,90.455,0.32886,0.53498
1,22,34.858,282.77,9.0123,100.74,0.25854,0.35626
1,23,34.264,272.44,9.2770,98.151,0.27075,0.36027
2,0,33.950,239.62,10.974,121.19,0.32324,0.50576
2,1,33.487,236.93,11.224,121.26,0.33517,0.51180
2,2,32.977,234.74,11.464,118.81,0.34764,0.50613
2,3,32.956,239.05,11.491,118.08,0.34868,0.49396
2,4,33.322,243.64,11.290,120.61,0.33882,0.49503
2,5,35.167,245.32,10.873,115.56,0.30918,0.47106
2,6,58.949,150.48,30.982,78.392,0.52557,0.52095
2,7,71.215,115.40,40.831,78.229,0.57335,0.67789
2,8,71.926,97.100,32.433,79.712,0.45092,0.82093
2,9,74.761,92.779,31.560,77.231,0.42215,0.83242
2,10,71.626,98.481,26.938,63.953,0.37609,0.64939
2,11,70.443,102.90,25.823,61.381,0.36658,0.59651
2,12,66.180,115.13,26.329,65.908,0.39784,0.57247
2,13,65.180,115.34,26.269,67.244,0.40302,0.58301
2,14,65.493,117.82,26.302,73.135,0.40160,0.62074
2,15,65.394,118.98,26.598,71.792,0.40673,0.60340
2,16,67.652,121.21,29.444,69.408,0.43523,0.57263
2,17,71.862,113.18,36.630,77.849,0.50973,0.68783
2,18,88.591,89.384,38.231,60.198,0.43154,0.67348
2,19,100.77,61.225,36.981,50.547,0.36698,0.82559
2,20,85.479,107.56,42.475,87.636,0.49691,0.81476
2,21,61.183,154.29,20.451,93.652,0.33426,0.60699
2,22,34.928,243.76,10.325,126.98,0.29561,0.52092
2,23,34.185,241.34,10.814,126.78,0.31634,0.52532
3,0,30.306,149.01,12.650,88.607,0.41741,0.59464
3,1,29.836,147.58,12.843,88.113,0.43045,0.59705
3,2,29.579,148.07,12.943,88.709,0.43757,0.59910
3,3,29.603,151.99,12.925,87.921,0.43661,0.57847
3,4,30.222,159.96,12.629,88.894,0.41787,0.55573
3,5,32.631,154.10,12.142,87.080,0.37210,0.56509
3,6,53.524,110.07,30.976,53.784,0.57873,0.48863
3,7,67.299,102.14,38.278,60.500,0.56878,0.59232
3,8,67.952,96.833,33.867,63.606,0.49840,0.65686
3,9,68.810,94.097,33.730,63.206,0.49019,0.67171
3,10,62.894,80.167,29.205,47.951,0.46435,0.59814
3,11,62.646,81.573,28.910,46.992,0.46148,0.57607
3,12,58.962,89.469,28.424,47.234,0.48207,0.52794
3,13,58.579,89.498,28.471,45.964,0.48603,0.51358
3,14,58.918,89.252,28.596,45.245,0.48535,0.50694
