month,year,node,flow,value,side,category,key,price
1,2016,BOT,-25,-1501.4,supply,evening,2016-01-01BOTeveningsupply,60.056000000000004
1,2016,BOT,-395,-19507.9,supply,morning,2016-01-01BOTmorningsupply,49.38708860759494
1,2016,BOT,-1255,-57774.94,supply,off,2016-01-01BOToffsupply,46.03580876494024
1,2016,BOT,-1070,-54573.099999999984,supply,standard,2016-01-01BOTstandardsupply,51.002897196261664
1,2016,HCB,-57,-6204.59,supply,evening,2016-01-01HCBeveningsupply,108.85245614035088
1,2016,HCB,-144,-11287.019999999999,supply,morning,2016-01-01HCBmorningsupply,78.38208333333333
1,2016,HCB,-24076,-1337078.5799999994,supply,off,2016-01-01HCBoffsupply,55.53574430968597
1,2016,HCB,-2370,-214182.36000000007,supply,standard,2016-01-01HCBstandardsupply,90.37230379746839
1,2016,MOZ,-1278,-63892.369999999995,supply,off,2016-01-01MOZoffsupply,49.99402973395931
1,2016,NAM,349,16795.37,consume,off,2016-01-01NAMoffconsume,48.12426934097421
1,2016,RSA,-1193,-182970.10999999996,supply,evening,2016-01-01RSAeveningsupply,153.36974853310977
1,2016,RSA,-1190,-140198.18000000002,supply,morning,2016-01-01RSAmorningsupply,117.81359663865548
1,2016,RSA,-3523,-209764.29999999993,supply,off,2016-01-01RSAoffsupply,59.54138518308258
1,2016,RSA,-3929,-460553.73999999976,supply,standard,2016-01-01RSAstandardsupply,117.21907355561206
1,2016,ZAMC,1429,199183.59,consume,evening,2016-01-01ZAMCeveningconsume,139.38669699090272
1,2016,ZAMC,2000,190219.19000000003,consume,morning,2016-01-01ZAMCmorningconsume,95.10959500000001
1,2016,ZAMC,21095,1092560.1499999994,consume,off,2016-01-01ZAMCoffconsume,51.7923749703721
1,2016,ZAMC,6469,601021.3199999996,consume,standard,2016-01-01ZAMCstandardconsume,92.90791776163233
1,2016,ZAMZ,953,44255.4,consume,morning,2016-01-01ZAMZmorningconsume,46.43798530954879
1,2016,ZAMZ,21224,1138548.3099999996,consume,off,2016-01-01ZAMZoffconsume,53.64437947606481
1,2016,ZAMZ,5416,363637.9700000001,consume,standard,2016-01-01ZAMZstandardconsume,67.14142725258495
1,2016,ZIM,77,11420.36,consume,evening,2016-01-01ZIMeveningconsume,148.31636363636363
1,2016,ZIM,-231,-19927.85,supply,evening,2016-01-01ZIMeveningsupply,86.26774891774892
1,2016,ZIM,254,31332.650000000005,consume,morning,2016-01-01ZIMmorningconsume,123.35688976377955
1,2016,ZIM,-1478,-94814.13999999998,supply,morning,2016-01-01ZIMmorningsupply,64.15029769959403
1,2016,ZIM,100,5281.999999999991,consume,off,2016-01-01ZIMoffconsume,52.81999999999991
1,2016,ZIM,-12636,-584675.6400000001,supply,off,2016-01-01ZIMoffsupply,46.27062678062679
1,2016,ZIM,620,75909.24,consume,standard,2016-01-01ZIMstandardconsume,122.43425806451614
1,2016,ZIM,-5136,-311259.32999999996,supply,standard,2016-01-01ZIMstandardsupply,60.60345210280373
2,2016,BOT,1089,183818.47,consume,evening,2016-02-01BOTeveningconsume,168.79565656565657
2,2016,BOT,219,26017.2,consume,morning,2016-02-01BOTmorningconsume,118.8
2,2016,BOT,2206,128224.25,consume,off,2016-02-01BOToffconsume,58.12522665457842
2,2016,BOT,2138,258772.95000000004,consume,standard,2016-02-01BOTstandardconsume,121.03505612722172
2,2016,HCB,-435,-47114.590000000004,supply,morning,2016-02-01HCBmorningsupply,108.30940229885059
2,2016,HCB,-23093,-1472496.8800000004,supply,off,2016-02-01HCBoffsupply,63.76377603602825
2,2016,HCB,-4159,-407178.9299999999,supply,standard,2016-02-01HCBstandardsupply,97.90308487617213
2,2016,MOZ,-600,-95560.5,supply,evening,2016-02-01MOZeveningsupply,159.2675
2,2016,MOZ,-264,-31269.190000000002,supply,morning,2016-02-01MOZmorningsupply,118.44390151515152
2,2016,MOZ,-3888,-201746.04,supply,off,2016-02-01MOZoffsupply,51.88941358024692
2,2016,MOZ,-1210,-139869.49999999994,supply,standard,2016-02-01MOZstandardsupply,115.5946280991735
2,2016,NAM,1410,73447.15999999999,consume,off,2016-02-01NAMoffconsume,52.090184397163114
2,2016,NAM,75,8081.549999999999,consume,standard,2016-02-01NAMstandardconsume,107.75399999999999
2,2016,RSA,-1148,-177966.53999999998,supply,evening,2016-02-01RSAeveningsupply,155.02311846689895
2,2016,RSA,-2228,-259218.22000000003,supply,morning,2016-02-01RSAmorningsupply,116.34570017953322
2,2016,RSA,0,7.958078640513122e-13,consume,off,2016-02-01RSAoffconsume,Infinity
2,2016,RSA,-2458,-187399.52000000002,supply,off,2016-02-01RSAoffsupply,76.24065093572011
2,2016,RSA,-8661,-959863.8099999988,supply,standard,2016-02-01RSAstandardsupply,110.82597967902076
2,2016,ZAMC,322,45305.52000000001,consume,evening,2016-02-01ZAMCeveningconsume,140.7003726708075
2,2016,ZAMC,1055,129204.34999999998,consume,morning,2016-02-01ZAMCmorningconsume,122.4685781990521
2,2016,ZAMC,15975,907333.28,consume,off,2016-02-01ZAMCoffconsume,56.79707543035994
2,2016,ZAMC,4069,421921.8900000002,consume,standard,2016-02-01ZAMCstandardconsume,103.69178913738024
2,2016,ZAMZ,135,16211.89,consume,evening,2016-02-01ZAMZeveningconsume,120.08807407407407
2,2016,ZAMZ,1441,157461.47,consume,morning,2016-02-01ZAMZmorningconsume,109.27235947258848
2,2016,ZAMZ,9824,755099.0299999998,consume,off,2016-02-01ZAMZoffconsume,76.86268627850161
2,2016,ZAMZ,6770,707614.1599999998,consume,standard,2016-02-01ZAMZstandardconsume,104.5220324963072
2,2016,ZIM,202,28191.160000000003,consume,evening,2016-02-01ZIMeveningconsume,139.560198019802
2,2016,ZIM,212,24918.979999999996,consume,morning,2016-02-01ZIMmorningconsume,117.54235849056602
2,2016,ZIM,125,6689.990000000017,consume,off,2016-02-01ZIMoffconsume,53.519920000000134
2,2016,ZIM,-101,-9151.269999999999,supply,off,2016-02-01ZIMoffsupply,90.60663366336632
2,2016,ZIM,979,110641.69999999998,consume,standard,2016-02-01ZIMstandardconsume,113.01501532175688
2,2016,ZIM,-1,-120.0099999999984,supply,standard,2016-02-01ZIMstandardsupply,120.0099999999984
3,2016,BOT,5,350.20000000000005,consume,evening,2016-03-01BOTeveningconsume,70.04
3,2016,HCB,-312,-30005.379999999997,supply,evening,2016-03-01HCBeveningsupply,96.17108974358973
3,2016,HCB,-454,-46200.55,supply,morning,2016-03-01HCBmorningsupply,101.76332599118943
3,2016,HCB,-14934,-888485.6599999999,supply,off,2016-03-01HCBoffsupply,59.49415160037498
3,2016,HCB,-3371,-302381.9500000001,supply,standard,2016-03-01HCBstandardsupply,89.70096410560669
3,2016,MOZ,-207,-24681.3,supply,evening,2016-03-01MOZeveningsupply,119.23333333333333
3,2016,MOZ,-154,-17159.02,supply,morning,2016-03-01MOZmorningsupply,111.4222077922078
3,2016,MOZ,-4313,-237958.81000000008,supply,off,2016-03-01MOZoffsupply,55.17245768606541
3,2016,MOZ,-784,-87417.26,supply,standard,2016-03-01MOZstandardsupply,111.50160714285714
3,2016,RSA,-828,-96856.54000000001,supply,evening,2016-03-01RSAeveningsupply,116.97649758454108
