duration_years,stDev,p50,p75,p90,p99
5,1495.284364072097,150447.05926500005,149426.62172923345,148518.8916887176,146956.6241049829
10,1057.3257136375942,150447.05926500005,149722.0203499612,149080.15828282572,147975.468280339
15,863.3028301120636,150447.05926500005,149852.88679620269,149328.80861295934,148426.8330029439
18,788.0840566840458,150447.05926500005,149903.6210879022,149425.20534980437,148601.81803659612
20,747.6421820360486,150447.05926500005,149930.89871783098,149477.03369757306,148695.8999057057
25,668.7114967515506,150447.05926500005,149984.13665603133,149578.1874408689,148879.5201376139
