year_month,year,month,water_year,water_month,flow,volume
1927_11,1927,11,1927,2,223.9781316,580.5513172
1927_12,1927,12,1927,3,320.9840446,859.7236651
1928_1,1928,1,1927,4,589.79929,1579.718418
1928_2,1928,2,1927,5,815.3821782,2043.021586
1928_3,1928,3,1927,6,1455.72421,3899.011723
1928_4,1928,4,1927,7,2164.992549,5611.660687
1928_5,1928,5,1927,8,2150.5423,5760.012497
1928_6,1928,6,1927,9,1407.976591,3649.475325
1928_7,1928,7,1927,10,613.9082365,1644.291821
1928_8,1928,8,1927,11,348.2147113,932.6582828
1928_9,1928,9,1927,12,254.0137076,658.4035302
1928_10,1928,10,1928,1,271.3255662,726.7183965
1928_11,1928,11,1928,2,246.6123215,639.2191374
1928_12,1928,12,1928,3,341.7465795,915.3340385
1929_1,1929,1,1928,4,484.9009615,1298.758735
1929_2,1929,2,1928,5,748.8553548,1811.630874
1929_3,1929,3,1928,6,904.1007903,2421.543557
1929_4,1929,4,1928,7,1281.974033,3322.876695
1929_5,1929,5,1928,8,1466.471645,3927.797653
1929_6,1929,6,1928,9,678.7463492,1759.310537
1929_7,1929,7,1928,10,400.3937466,1072.414611
1929_8,1929,8,1928,11,305.0838077,817.1364706
1929_9,1929,9,1928,12,242.8509776,629.4697339
1929_10,1929,10,1929,1,191.7907825,513.6924319
1929_11,1929,11,1929,2,213.3547256,553.0154488
1929_12,1929,12,1929,3,411.6432905,1102.545389
1930_1,1930,1,1929,4,596.8937679,1598.720268
1930_2,1930,2,1929,5,748.8276306,1811.563804
1930_3,1930,3,1929,6,926.829861,2482.4211
1930_4,1930,4,1929,7,1091.801498,2829.949484
1930_5,1930,5,1929,8,1552.362985,4157.849018
1930_6,1930,6,1929,9,1760.661417,4563.634393
1930_7,1930,7,1929,10,895.7807708,2399.259217
1930_8,1930,8,1929,11,493.7885934,1322.563368
1930_9,1930,9,1929,12,351.9828071,912.339436
1930_10,1930,10,1930,1,267.975766,717.7462917
1930_11,1930,11,1930,2,222.7792018,577.4436912
1930_12,1930,12,1930,3,320.6691209,858.8801735
1931_1,1931,1,1930,4,503.9630426,1349.814613
1931_2,1931,2,1930,5,681.610116,1648.951193
1931_3,1931,3,1930,6,930.193562,2491.430437
1931_4,1931,4,1930,7,2241.953438,5811.14331
1931_5,1931,5,1930,8,2968.727101,7951.438667
1931_6,1931,6,1930,9,1793.429621,4648.569578
1931_7,1931,7,1930,10,903.3836165,2419.622678
1931_8,1931,8,1930,11,505.368862,1353.57996
1931_9,1931,9,1930,12,346.5350437,898.2188333
1931_10,1931,10,1931,1,265.9542072,712.3317487
1931_11,1931,11,1931,2,290.7902889,753.7284289
1931_12,1931,12,1931,3,531.8497757,1424.506439
1932_1,1932,1,1931,4,791.0158903,2118.65696
1932_2,1932,2,1931,5,1068.76968,2677.909311
1932_3,1932,3,1931,6,2066.195737,5534.098661
1932_4,1932,4,1931,7,3339.068811,8654.866359
1932_5,1932,5,1931,8,2081.368718,5574.737975
1932_6,1932,6,1931,9,1299.368741,3367.963778
