start_date,year,month,year_month,water_month,water_year,water_year_name,water_year_month,level_mean,level_min,level_max,outflow,vicfalls_flow,capacity_mw,outflow_generation_max,is_spill,outflow_generation,outflow_spill,power_mw,level_start,level_end
01/03/1964,1964,3,1964_3,6,1963,1963/64,1963_6,480.56,480.3,480.93,806,1965,666,450,TRUE,450,356,423,480.38,480.93
01/04/1964,1964,4,1964_4,7,1963,1963/64,1963_7,481.37,480.97,481.74,475,2280,666,450,TRUE,450,25,423,480.97,481.74
01/05/1964,1964,5,1964_5,8,1963,1963/64,1963_8,482.15,481.78,482.45,467,2005,666,500,FALSE,467,0,439,481.78,482.45
01/06/1964,1964,6,1964_6,9,1963,1963/64,1963_9,482.65,482.47,482.74,482,1182,666,500,FALSE,482,0,453,482.47,482.71
01/07/1964,1964,7,1964_7,10,1963,1963/64,1963_10,482.7,482.67,482.74,497,644,666,500,FALSE,497,0,467,482.73,482.67
01/08/1964,1964,8,1964_8,11,1963,1963/64,1963_11,482.6,482.53,482.67,489,486,666,500,FALSE,489,0,459,482.65,482.54
01/09/1964,1964,9,1964_9,12,1963,1963/64,1963_12,482.45,482.38,482.54,478,385,666,500,FALSE,478,0,449,482.53,482.38
01/10/1964,1964,10,1964_10,1,1964,1964/65,1964_1,482.27,482.16,482.39,456,304,666,500,FALSE,456,0,428,482.39,482.16
01/11/1964,1964,11,1964_11,2,1964,1964/65,1964_2,482.06,481.97,482.16,475,318,666,500,FALSE,475,0,446,482.16,481.97
01/12/1964,1964,12,1964_12,3,1964,1964/65,1964_3,482.07,481.92,482.25,467,462,666,500,FALSE,467,0,439,481.97,482.25
01/01/1965,1965,1,1965_1,4,1964,1964/65,1964_4,482.6,482.3,482.93,470,672,666,500,FALSE,470,0,441,482.3,482.93
01/02/1965,1965,2,1965_2,5,1964,1964/65,1964_5,482.88,482.76,483.05,1327,970,666,500,TRUE,500,827,470,482.93,482.86
01/03/1965,1965,3,1965_3,6,1964,1964/65,1964_6,483.08,482.86,483.43,493,1835,666,500,FALSE,493,0,463,482.86,483.43
