month,weatherFreeCapFactor
1,0.4745026666666667
2,0.46497683333333334
3,0.4520815
4,0.4286712333333333
5,0.40599243333333335
6,0.38056350000000005
7,0.39904500000000004
8,0.42043534
9,0.4428651666666667
10,0.45682601666666667
11,0.4735445
12,0.4751773333333333
