duration_years,stDev,p50,p75,p90,p99
5,729.018263338648,77077.9478649,76624.20851566162,76181.64936529704,75419.97377493448
10,515.4937576155983,77077.9478649,76768.2286061875,76455.29202988854,75916.70605487892
15,420.89889058272195,77077.9478649,76832.03187442233,76576.52022982702,76136.76662269603
18,384.2263613350926,77077.9478649,76856.76711951364,76623.51796709679,76222.07968314695
20,364.509131669324,77077.9478649,76870.06618882545,76648.78661364315,76267.94881846188
25,326.02687873281195,77077.9478649,76896.02207399558,76698.10360513964,76357.47192576904
