month,hour,meanHourlyCapFactor,medianHourlyCapFactor,p90HourlyCapFactor,p10HourlyCapFactor,meanHourlyEnergyMWh,medianHourlyEnergyMWh,p90HourlyEnergyMWh,p10HourlyEnergyMWh
1,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0,0
1,3,0,0,0,0,0,0,0,0
1,4,0,0,0,0,0,0,0,0
1,5,0,0,0,0,0,0,0,0
1,6,0.09517293104608297,0.080386,0.2023724,0.01477948,2.3793232761520713,2.0096499999999997,5.05931,0.369487
1,7,0.44345162995391657,0.41224,0.828144,0.09300320000000001,11.086290748847915,10.306000000000001,20.7036,2.32508
1,8,0.638462575576036,0.68886,1,0.18839000000000003,15.961564389400927,17.2215,25,4.7097500000000005
1,9,0.7713154562211967,0.9240999999999999,1,0.3253392,19.282886405529943,23.1025,25,8.13348
1,10,0.8471573133640555,1,1,0.483944,21.178932834101392,25,25,12.0986
1,11,0.8847451658986176,1,1,0.571808,22.118629147465445,25,25,14.295200000000001
1,12,0.8739841382488476,1,1,0.531732,21.849603456221185,25,25,13.293300000000002
1,13,0.8511748433179729,1,1,0.42886,21.2793710829493,25,25,10.7215
1,14,0.7926376635944702,0.94476,1,0.2840224,19.815941589861772,23.619,25,7.100560000000001
1,15,0.7109945806451615,0.80394,1,0.1819768,17.774864516129036,20.0985,25,4.54942
1,16,0.581412659907834,0.6169800000000001,0.9990200000000001,0.1075064,14.535316497695838,15.424499999999998,24.975500000000004,2.68766
1,17,0.43247302626728074,0.42004,0.8194640000000001,0.0744644,10.811825656682013,10.501000000000001,20.486600000000003,1.86161
1,18,0.11154109652073736,0.102074,0.21775840000000002,0.02376824,2.7885274130184357,2.55185,5.44396,0.594206
1,19,0,0,0,0,0,0,0,0
1,20,0,0,0,0,0,0,0,0
1,21,0,0,0,0,0,0,0,0
1,22,0,0,0,0,0,0,0,0
1,23,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0
2,4,0,0,0,0,0,0,0,0
2,5,0,0,0,0,0,0,0,0
2,6,0.04110201709734519,0.0356456,0.08779200000000001,0.0024962,1.0275504274336276,0.8911400000000002,2.1948000000000003,0.062405
2,7,0.4025246053097342,0.39946,0.73736,0.074388,10.063115132743352,9.9865,18.434,1.8597000000000001
2,8,0.648142255878634,0.70476,1,0.17054,16.20355639696585,17.619,25,4.2635
2,9,0.7740273683944369,0.9454,1,0.298424,19.350684209860948,23.635,25,7.460600000000001
2,10,0.8459553173198476,1,1,0.4454,21.1488829329962,25,25,11.135
2,11,0.8748944525916564,1,1,0.52516,21.872361314791398,25,25,13.129
2,12,0.8722565208596711,1,1,0.5194,21.806413021491775,25,25,12.985
2,13,0.8502824424778761,1,1,0.46632,21.257061061946924,25,25,11.658
2,14,0.810725532237673,0.97616,1,0.321428,20.268138305941843,24.404,25,8.0357
2,15,0.7209133147914036,0.892,1,0.14172,18.022832869785088,22.3,25,3.543
2,16,0.6019920652338807,0.67,1,0.087576,15.049801630847051,16.75,25,2.1894
2,17,0.46232070543615655,0.46744,0.86712,0.063484,11.55801763590391,11.686,21.678,1.5871
2,18,0.10126773852338809,0.093928,0.20199599999999998,0.0167716,2.5316934630847046,2.3482,5.0499,0.41928999999999994
2,19,0,0,0,0,0,0,0,0
2,20,0,0,0,0,0,0,0,0
2,21,0,0,0,0,0,0,0,0
2,22,0,0,0,0,0,0,0,0
2,23,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0
3,4,0,0,0,0,0,0,0,0
3,5,0,0,0,0,0,0,0,0
3,6,0.023684897156682014,0.022598399999999998,0.0520112,0,0.5921224289170506,0.5649599999999999,1.30028,0
3,7,0.4224748911059907,0.49484,0.655536,0.0858772,10.561872277649773,12.370999999999999,16.388400000000004,2.14693
3,8,0.7377608714285712,0.8835200000000001,1,0.21686360000000005,18.44402178571428,22.088,25,5.421590000000001
3,9,0.8436328387096765,1,1,0.38506280000000004,21.090820967741923,25,25,9.626570000000001
3,10,0.8879164470046088,1,1,0.549048,22.197911175115202,25,25,13.7262
3,11,0.8979374101382497,1,1,0.608348,22.44843525345623,25,25,15.2087
3,12,0.8835577741935482,1,1,0.580648,22.088944354838713,25,25,14.5162
3,13,0.862144972350231,0.9960199999999999,1,0.51664,21.553624308755744,24.9005,25,12.916
3,14,0.8449833963133636,0.98298,1,0.45645600000000003,21.12458490783409,24.5745,25,11.4114
