year,specificYield,energyMWh,meanDailyWeatherImpact,normalisedSpecificYield
1994,3217.666736884,80441.6684221,-0.1596437357572605,1.0436405048444704
1995,3133.9683473040004,78349.20868259999,-0.1833608203573113,1.0164931845348069
1996,3130.9303507080003,78273.25876770001,-0.18455970194661586,1.0155078194984526
1997,3066.650123064,76666.25307660001,-0.19864560328489375,0.9946587214669804
1998,3135.7554058200003,78393.8851455,-0.17792653264388045,1.0170728115764907
1999,3128.1143091200006,78202.85772800002,-0.18349924252635108,1.014594444899749
2000,3006.798476556,75169.96191389998,-0.21850483186084324,0.9752460203747995
2001,2950.4195128440006,73760.4878211,-0.23127463774378562,0.9569596734773643
2002,3012.7279683799998,75318.1992095,-0.21467076935411514,0.9771692331704985
2003,3126.2664087760004,78156.6602194,-0.18488178539405267,1.0139950839945913
2004,3074.211662108001,76855.2915527,-0.19959878001045228,0.997111283857865
2005,3091.5851419199994,77289.62854800002,-0.19252695779092432,1.0027463196538524
2006,3011.5371538239992,75288.42884559999,-0.2117954168450006,0.9767829960595651
2007,3077.984841936,76949.6210484,-0.19476998940182844,0.9983351033589409
2008,3048.9521032039997,76223.80258010002,-0.20428837551304446,0.9889184220849117
2009,3122.855599912,78071.3899978,-0.18466888339196996,1.01288879842314
2010,2977.4720991200006,74436.80247800001,-0.22437549495297496,0.9657340982724487
2011,3069.622227,76740.555675,-0.19738214696231246,0.9956227144177298
2012,3090.1030886040003,77252.5772151,-0.19460374367634434,1.0022656201291982
2013,3144.3950049239997,78609.87512309999,-0.1787223012675668,1.0198750394974851
2014,3033.2546806279997,75831.3670157,-0.208336367863586,0.9838270104001086
2015,3193.464586256,79836.6146564,-0.16774529817675224,1.0357906102577525
2016,3106.1310096400002,77653.275241,-0.1911755321923123,1.0074642279930497
2017,3009.9210233279996,75248.0255832,-0.21410781503296739,0.9762588090058204
2018,3086.730548092,77168.26370229998,-0.19747604849067416,1.0011717467823391
2019,3191.6454807079995,79791.1370177,-0.16851037423711326,1.035200588857861
2020,3051.165553668001,76279.1388417,-0.2048426299884071,0.9896363480693582
2021,3079.5052811,76987.6320275,-0.1955284316366307,0.9988282532176609
