hour,meanCapFactor,meanEnergyMWh,p90EnergyMWh,p10EneryMWh,p75EnergyMWh,p25EneryMWh,meanSpecificYield
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0.00001804254620123203,0.000451063655030801,0,0,0,0,0.00043302110882956874
6,0.06715526593996256,1.6788816484990685,5.725159999999999,0,2.1414999999999997,0,1.6117263825591013
7,0.43607465468661366,10.901866367165358,19.8894,3.41062,14.9615,6.53225,10.465791712478728
8,0.7664110672142361,19.160276680355942,25,7.80678,23.9665,16.997999999999998,18.393865613141667
9,0.8718501228512784,21.796253071281914,25,13.0602,25,21.847,20.924402948430682
10,0.9124029005573436,22.81007251393367,25,17.36,25,23.075499999999998,21.897669613376248
11,0.9224210798865747,23.060526997164317,25,19.0642,25,23.1675,22.138105917277795
12,0.9107091346435895,22.767728366089845,25,18.017599999999998,25,22.7325,21.85701923144615
13,0.8924593210130017,22.311483025325135,25,15.875000000000002,25,22.32,21.419023704312043
14,0.8573016693067376,21.4325417326685,25,12.840200000000001,25,20.866999999999997,20.5752400633617
15,0.7898663249437755,19.74665812359454,25,8.57828,24.4815,17.616500000000002,18.956791798650613
16,0.6695288774029495,16.73822193507379,23.6268,4.673080000000001,21.512,12.915,16.06869305767079
17,0.3195804894878259,7.989512237195678,15.807199999999996,2.30376,10.4635,4.3619,7.669931747707822
18,0.029496763358560656,0.7374190839640158,2.8162799999999977,0,0.8494700000000001,0,0.7079223206054557
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
