date,hour,zamg,price,volume,dt,datetime,dayOfWeek,month,value,category
2024-07-01,0,119.44,119.44,157.3,1719784800000,2024-07-01T00:00:00.000+02:00,1,7,18.787912,off
2024-07-01,1,119.41,119.41,155.5,1719788400000,2024-07-01T01:00:00.000+02:00,1,7,18.568255,off
2024-07-01,2,119.4,119.4,155.7,1719792000000,2024-07-01T02:00:00.000+02:00,1,7,18.59058,off
2024-07-01,3,119.49,119.49,155.7,1719795600000,2024-07-01T03:00:00.000+02:00,1,7,18.604592999999998,off
2024-07-01,4,119.8,119.8,155.7,1719799200000,2024-07-01T04:00:00.000+02:00,1,7,18.652859999999997,off
2024-07-01,5,240.02,240.02,162.4,1719802800000,2024-07-01T05:00:00.000+02:00,1,7,38.979248,off
2024-07-01,6,264.95,264.95,164,1719806400000,2024-07-01T06:00:00.000+02:00,1,7,43.4518,morning
2024-07-01,7,271.88,271.88,161,1719810000000,2024-07-01T07:00:00.000+02:00,1,7,43.77268,morning
2024-07-01,8,297.1,297.1,158,1719813600000,2024-07-01T08:00:00.000+02:00,1,7,46.9418,morning
2024-07-01,9,255.06,255.06,154,1719817200000,2024-07-01T09:00:00.000+02:00,1,7,39.27924,standard
2024-07-01,10,164.93,164.93,157,1719820800000,2024-07-01T10:00:00.000+02:00,1,7,25.89401,standard
2024-07-01,11,164.93,164.93,163,1719824400000,2024-07-01T11:00:00.000+02:00,1,7,26.88359,standard
2024-07-01,12,164.92,164.92,173,1719828000000,2024-07-01T12:00:00.000+02:00,1,7,28.531159999999996,standard
2024-07-01,13,164.93,164.93,170,1719831600000,2024-07-01T13:00:00.000+02:00,1,7,28.038100000000004,standard
2024-07-01,14,164.95,164.95,169,1719835200000,2024-07-01T14:00:00.000+02:00,1,7,27.876549999999998,standard
2024-07-01,15,164.95,164.95,170,1719838800000,2024-07-01T15:00:00.000+02:00,1,7,28.041499999999996,standard
2024-07-01,16,175,175,140,1719842400000,2024-07-01T16:00:00.000+02:00,1,7,24.5,standard
2024-07-01,17,301.38,301.38,74,1719846000000,2024-07-01T17:00:00.000+02:00,1,7,22.30212,evening
2024-07-01,18,300.55,300.55,25,1719849600000,2024-07-01T18:00:00.000+02:00,1,7,7.51375,evening
2024-07-01,19,255.09,255.09,15,1719853200000,2024-07-01T19:00:00.000+02:00,1,7,3.8263499999999997,evening
2024-07-01,20,255.06,255.06,14,1719856800000,2024-07-01T20:00:00.000+02:00,1,7,3.57084,standard
2024-07-01,21,164.99,164.99,14,1719860400000,2024-07-01T21:00:00.000+02:00,1,7,2.30986,standard
2024-07-01,22,119.25,119.25,44,1719864000000,2024-07-01T22:00:00.000+02:00,1,7,5.247,off
2024-07-01,23,119.13,119.13,84,1719867600000,2024-07-01T23:00:00.000+02:00,1,7,10.006920000000001,off
2024-07-02,0,128.86,128.86,158.4,1719871200000,2024-07-02T00:00:00.000+02:00,2,7,20.411424000000004,off
2024-07-02,1,128.86,128.86,160,1719874800000,2024-07-02T01:00:00.000+02:00,2,7,20.617600000000003,off
2024-07-02,2,131.06,131.06,160,1719878400000,2024-07-02T02:00:00.000+02:00,2,7,20.9696,off
2024-07-02,3,131.06,131.06,160,1719882000000,2024-07-02T03:00:00.000+02:00,2,7,20.9696,off
2024-07-02,4,131.06,131.06,160,1719885600000,2024-07-02T04:00:00.000+02:00,2,7,20.9696,off
2024-07-02,5,240.09,240.09,159.2,1719889200000,2024-07-02T05:00:00.000+02:00,2,7,38.222328000000005,off
2024-07-02,6,272.41,272.41,155,1719892800000,2024-07-02T06:00:00.000+02:00,2,7,42.22355,morning
