date,hour,price,volume,dt,datetime,dayOfWeek,month,value,category
2023-11-01,0,111.62,39,1698789600000,2023-11-01T00:00:00.000+02:00,3,11,4.35318,off
2023-11-01,1,111.38,45,1698793200000,2023-11-01T01:00:00.000+02:00,3,11,5.012099999999999,off
2023-11-01,2,111.12,52,1698796800000,2023-11-01T02:00:00.000+02:00,3,11,5.778239999999999,off
2023-11-01,3,110.32,62,1698800400000,2023-11-01T03:00:00.000+02:00,3,11,6.839839999999999,off
2023-11-01,4,110.68,54,1698804000000,2023-11-01T04:00:00.000+02:00,3,11,5.97672,off
2023-11-01,5,151.14,51,1698807600000,2023-11-01T05:00:00.000+02:00,3,11,7.708139999999999,off
2023-11-01,6,150.08,100,1698811200000,2023-11-01T06:00:00.000+02:00,3,11,15.008000000000003,morning
2023-11-01,7,150,114,1698814800000,2023-11-01T07:00:00.000+02:00,3,11,17.1,morning
2023-11-01,8,150.05,85,1698818400000,2023-11-01T08:00:00.000+02:00,3,11,12.754250000000003,morning
2023-11-01,9,216,44,1698822000000,2023-11-01T09:00:00.000+02:00,3,11,9.504,standard
2023-11-01,10,151.54,36,1698825600000,2023-11-01T10:00:00.000+02:00,3,11,5.455439999999999,standard
2023-11-01,11,151.67,36,1698829200000,2023-11-01T11:00:00.000+02:00,3,11,5.46012,standard
2023-11-01,12,150.09,53,1698832800000,2023-11-01T12:00:00.000+02:00,3,11,7.954770000000001,standard
2023-11-01,13,150.07,70,1698836400000,2023-11-01T13:00:00.000+02:00,3,11,10.5049,standard
2023-11-01,14,150.08,66,1698840000000,2023-11-01T14:00:00.000+02:00,3,11,9.905280000000001,standard
2023-11-01,15,150.09,67,1698843600000,2023-11-01T15:00:00.000+02:00,3,11,10.05603,standard
2023-11-01,16,150.08,85,1698847200000,2023-11-01T16:00:00.000+02:00,3,11,12.756800000000002,standard
2023-11-01,17,150.05,107,1698850800000,2023-11-01T17:00:00.000+02:00,3,11,16.05535,standard
