date,hour,price,volume,dt,datetime,dayOfWeek,month,value,category
2016-09-01,0,50.06,422.7,1472680800000,2016-09-01T00:00:00.000+02:00,4,9,21.160362,off
2016-09-01,1,50.04,431.4,1472684400000,2016-09-01T01:00:00.000+02:00,4,9,21.587255999999996,off
2016-09-01,2,50.04,431.4,1472688000000,2016-09-01T02:00:00.000+02:00,4,9,21.587255999999996,off
2016-09-01,3,50.05,432.2,1472691600000,2016-09-01T03:00:00.000+02:00,4,9,21.63161,off
2016-09-01,4,50.07,423.1,1472695200000,2016-09-01T04:00:00.000+02:00,4,9,21.184617000000003,off
2016-09-01,5,61.47,300,1472698800000,2016-09-01T05:00:00.000+02:00,4,9,18.441,off
2016-09-01,6,130.06,71,1472702400000,2016-09-01T06:00:00.000+02:00,4,9,9.23426,morning
2016-09-01,7,130.04,74,1472706000000,2016-09-01T07:00:00.000+02:00,4,9,9.622959999999999,morning
2016-09-01,8,127.36,63,1472709600000,2016-09-01T08:00:00.000+02:00,4,9,8.02368,morning
2016-09-01,9,113,98.8,1472713200000,2016-09-01T09:00:00.000+02:00,4,9,11.164399999999999,standard
2016-09-01,10,112.29,104,1472716800000,2016-09-01T10:00:00.000+02:00,4,9,11.67816,standard
2016-09-01,11,112.22,104,1472720400000,2016-09-01T11:00:00.000+02:00,4,9,11.670879999999999,standard
2016-09-01,12,111.45,104,1472724000000,2016-09-01T12:00:00.000+02:00,4,9,11.590800000000002,standard
2016-09-01,13,111.39,107,1472727600000,2016-09-01T13:00:00.000+02:00,4,9,11.91873,standard
2016-09-01,14,111.66,110,1472731200000,2016-09-01T14:00:00.000+02:00,4,9,12.2826,standard
2016-09-01,15,111.87,110,1472734800000,2016-09-01T15:00:00.000+02:00,4,9,12.3057,standard
2016-09-01,16,121.43,86,1472738400000,2016-09-01T16:00:00.000+02:00,4,9,10.442980000000002,standard
2016-09-01,17,184.64,46.1,1472742000000,2016-09-01T17:00:00.000+02:00,4,9,8.511904000000001,standard
2016-09-01,18,192.6,55,1472745600000,2016-09-01T18:00:00.000+02:00,4,9,10.593,evening
2016-09-01,19,192.6,55,1472749200000,2016-09-01T19:00:00.000+02:00,4,9,10.593,evening
2016-09-01,20,145.74,64,1472752800000,2016-09-01T20:00:00.000+02:00,4,9,9.32736,standard
2016-09-01,21,105.26,64,1472756400000,2016-09-01T21:00:00.000+02:00,4,9,6.73664,standard
2016-09-01,22,50.55,404,1472760000000,2016-09-01T22:00:00.000+02:00,4,9,20.422199999999997,off
2016-09-01,23,50.05,427.2,1472763600000,2016-09-01T23:00:00.000+02:00,4,9,21.381359999999997,off
2016-09-02,0,50.07,437.9,1472767200000,2016-09-02T00:00:00.000+02:00,5,9,21.925652999999997,off
2016-09-02,1,50.04,447.5,1472770800000,2016-09-02T01:00:00.000+02:00,5,9,22.392899999999997,off
2016-09-02,2,50.04,451.1,1472774400000,2016-09-02T02:00:00.000+02:00,5,9,22.573044000000003,off
2016-09-02,3,50.06,447.4,1472778000000,2016-09-02T03:00:00.000+02:00,5,9,22.396844,off
2016-09-02,4,50.09,433.8,1472781600000,2016-09-02T04:00:00.000+02:00,5,9,21.729042,off
2016-09-02,5,71.95,223.5,1472785200000,2016-09-02T05:00:00.000+02:00,5,9,16.080825,off
2016-09-02,6,189.52,59,1472788800000,2016-09-02T06:00:00.000+02:00,5,9,11.18168,morning
2016-09-02,7,187.91,55,1472792400000,2016-09-02T07:00:00.000+02:00,5,9,10.335049999999999,morning
2016-09-02,8,128.35,60,1472796000000,2016-09-02T08:00:00.000+02:00,5,9,7.701,morning
2016-09-02,9,113.05,95.3,1472799600000,2016-09-02T09:00:00.000+02:00,5,9,10.773665,standard
2016-09-02,10,112.78,110,1472803200000,2016-09-02T10:00:00.000+02:00,5,9,12.4058,standard
2016-09-02,11,112.78,110,1472806800000,2016-09-02T11:00:00.000+02:00,5,9,12.4058,standard
2016-09-02,12,113.02,113.8,1472810400000,2016-09-02T12:00:00.000+02:00,5,9,12.861676,standard
2016-09-02,13,113.02,113.8,1472814000000,2016-09-02T13:00:00.000+02:00,5,9,12.861676,standard
2016-09-02,14,113.02,113.8,1472817600000,2016-09-02T14:00:00.000+02:00,5,9,12.861676,standard
2016-09-02,15,113.02,113.8,1472821200000,2016-09-02T15:00:00.000+02:00,5,9,12.861676,standard
2016-09-02,16,127.69,75,1472824800000,2016-09-02T16:00:00.000+02:00,5,9,9.57675,standard
2016-09-02,17,191.22,29.4,1472828400000,2016-09-02T17:00:00.000+02:00,5,9,5.621867999999999,standard
2016-09-02,18,196.78,62,1472832000000,2016-09-02T18:00:00.000+02:00,5,9,12.20036,evening
2016-09-02,19,195.42,54,1472835600000,2016-09-02T19:00:00.000+02:00,5,9,10.552679999999999,evening
2016-09-02,20,135.07,100,1472839200000,2016-09-02T20:00:00.000+02:00,5,9,13.507,standard
2016-09-02,21,91.28,63,1472842800000,2016-09-02T21:00:00.000+02:00,5,9,5.750640000000001,standard
