date,hour,zamg,price,volume,dt,datetime,dayOfWeek,month,value,category
2024-08-01,0,105.01,105.01,155,1722463200000,2024-08-01T00:00:00.000+02:00,4,8,16.27655,off
2024-08-01,1,105.01,105.01,170,1722466800000,2024-08-01T01:00:00.000+02:00,4,8,17.8517,off
2024-08-01,2,105.01,105.01,195,1722470400000,2024-08-01T02:00:00.000+02:00,4,8,20.476950000000002,off
2024-08-01,3,105.02,105.02,200,1722474000000,2024-08-01T03:00:00.000+02:00,4,8,21.004,off
2024-08-01,4,105.05,105.05,175,1722477600000,2024-08-01T04:00:00.000+02:00,4,8,18.38375,off
2024-08-01,5,117.5,117.5,100,1722481200000,2024-08-01T05:00:00.000+02:00,4,8,11.75,off
2024-08-01,6,239.93,239.93,90,1722484800000,2024-08-01T06:00:00.000+02:00,4,8,21.593700000000002,morning
2024-08-01,7,239.95,239.95,150,1722488400000,2024-08-01T07:00:00.000+02:00,4,8,35.9925,morning
2024-08-01,8,239.94,239.94,131,1722492000000,2024-08-01T08:00:00.000+02:00,4,8,31.43214,morning
2024-08-01,9,281.62,281.62,145,1722495600000,2024-08-01T09:00:00.000+02:00,4,8,40.834900000000005,standard
2024-08-01,10,97.5,97.5,150,1722499200000,2024-08-01T10:00:00.000+02:00,4,8,14.625,standard
2024-08-01,11,95.82,95.82,150,1722502800000,2024-08-01T11:00:00.000+02:00,4,8,14.372999999999998,standard
2024-08-01,12,96.89,96.89,85,1722506400000,2024-08-01T12:00:00.000+02:00,4,8,8.23565,standard
2024-08-01,13,95.33,95.33,85,1722510000000,2024-08-01T13:00:00.000+02:00,4,8,8.10305,standard
2024-08-01,14,97.64,97.64,75,1722513600000,2024-08-01T14:00:00.000+02:00,4,8,7.323,standard
2024-08-01,15,116.82,116.82,53,1722517200000,2024-08-01T15:00:00.000+02:00,4,8,6.19146,standard
2024-08-01,16,260.7,239.96,20,1722520800000,2024-08-01T16:00:00.000+02:00,4,8,4.7992,standard
2024-08-01,17,308.59,308.59,40,1722524400000,2024-08-01T17:00:00.000+02:00,4,8,12.343599999999999,evening
2024-08-01,18,312.03,312.03,25,1722528000000,2024-08-01T18:00:00.000+02:00,4,8,7.800749999999999,evening
2024-08-01,19,312.03,312.03,10,1722531600000,2024-08-01T19:00:00.000+02:00,4,8,3.1203,evening
2024-08-01,20,283.32,283.32,30,1722535200000,2024-08-01T20:00:00.000+02:00,4,8,8.499600000000001,standard
2024-08-01,21,225.26,225.26,60,1722538800000,2024-08-01T21:00:00.000+02:00,4,8,13.5156,standard
2024-08-01,22,105.08,105.08,88.7,1722542400000,2024-08-01T22:00:00.000+02:00,4,8,9.320596,off
2024-08-01,23,105.06,105.06,106,1722546000000,2024-08-01T23:00:00.000+02:00,4,8,11.13636,off
2024-08-02,0,95.01,95.01,246.8,1722549600000,2024-08-02T00:00:00.000+02:00,5,8,23.448468000000002,off
2024-08-02,1,95.01,95.01,245,1722553200000,2024-08-02T01:00:00.000+02:00,5,8,23.27745,off
2024-08-02,2,95.01,95.01,245,1722556800000,2024-08-02T02:00:00.000+02:00,5,8,23.27745,off
2024-08-02,3,95.01,95.01,245,1722560400000,2024-08-02T03:00:00.000+02:00,5,8,23.27745,off
2024-08-02,4,95.07,95.07,242,1722564000000,2024-08-02T04:00:00.000+02:00,5,8,23.00694,off
2024-08-02,5,155.39,155.39,125,1722567600000,2024-08-02T05:00:00.000+02:00,5,8,19.42375,off
2024-08-02,6,300.04,300.04,104,1722571200000,2024-08-02T06:00:00.000+02:00,5,8,31.204160000000005,morning
