date,hour,price,volume,dt,datetime,dayOfWeek,month,value,category
2019-11-01,0,32.38,398,1572559200000,2019-11-01T00:00:00.000+02:00,5,11,12.887240000000002,off
2019-11-01,1,32.34,421,1572562800000,2019-11-01T01:00:00.000+02:00,5,11,13.615140000000002,off
2019-11-01,2,32.32,433,1572566400000,2019-11-01T02:00:00.000+02:00,5,11,13.99456,off
2019-11-01,3,32.33,428,1572570000000,2019-11-01T03:00:00.000+02:00,5,11,13.83724,off
2019-11-01,4,32.41,361,1572573600000,2019-11-01T04:00:00.000+02:00,5,11,11.700009999999999,off
2019-11-01,5,32.97,350,1572577200000,2019-11-01T05:00:00.000+02:00,5,11,11.5395,off
2019-11-01,6,35.04,405,1572580800000,2019-11-01T06:00:00.000+02:00,5,11,14.191199999999998,morning
2019-11-01,7,84.13,387,1572584400000,2019-11-01T07:00:00.000+02:00,5,11,32.55831,morning
2019-11-01,8,84.14,356,1572588000000,2019-11-01T08:00:00.000+02:00,5,11,29.95384,morning
2019-11-01,9,84.14,339,1572591600000,2019-11-01T09:00:00.000+02:00,5,11,28.52346,standard
2019-11-01,10,84.11,341,1572595200000,2019-11-01T10:00:00.000+02:00,5,11,28.68151,standard
2019-11-01,11,83.51,334,1572598800000,2019-11-01T11:00:00.000+02:00,5,11,27.89234,standard
2019-11-01,12,79.99,354,1572602400000,2019-11-01T12:00:00.000+02:00,5,11,28.31646,standard
2019-11-01,13,79.97,354,1572606000000,2019-11-01T13:00:00.000+02:00,5,11,28.30938,standard
2019-11-01,14,79.96,355,1572609600000,2019-11-01T14:00:00.000+02:00,5,11,28.3858,standard
2019-11-01,15,79.97,355,1572613200000,2019-11-01T15:00:00.000+02:00,5,11,28.38935,standard
2019-11-01,16,79.97,355,1572616800000,2019-11-01T16:00:00.000+02:00,5,11,28.38935,standard
2019-11-01,17,83.51,327,1572620400000,2019-11-01T17:00:00.000+02:00,5,11,27.30777,standard
2019-11-01,18,132.96,115,1572624000000,2019-11-01T18:00:00.000+02:00,5,11,15.290400000000002,evening
2019-11-01,19,138.83,169,1572627600000,2019-11-01T19:00:00.000+02:00,5,11,23.46227,evening
2019-11-01,20,83.52,231,1572631200000,2019-11-01T20:00:00.000+02:00,5,11,19.29312,standard
2019-11-01,21,75.94,357,1572634800000,2019-11-01T21:00:00.000+02:00,5,11,27.11058,standard
