date,hour,zamg,price,volume,dt,datetime,dayOfWeek,month,value,category
2024-09-01,0,133,77.08,80,1725141600000,2024-09-01T00:00:00.000+02:00,7,9,6.166399999999999,off
2024-09-01,1,133,77.08,110,1725145200000,2024-09-01T01:00:00.000+02:00,7,9,8.4788,off
2024-09-01,2,138.4,83.55,140,1725148800000,2024-09-01T02:00:00.000+02:00,7,9,11.697,off
2024-09-01,3,138.4,83.55,155,1725152400000,2024-09-01T03:00:00.000+02:00,7,9,12.95025,off
2024-09-01,4,140,77.08,95,1725156000000,2024-09-01T04:00:00.000+02:00,7,9,7.3225999999999996,off
2024-09-01,5,235,100.07,45,1725159600000,2024-09-01T05:00:00.000+02:00,7,9,4.50315,off
2024-09-01,6,310,100.04,69.6,1725163200000,2024-09-01T06:00:00.000+02:00,7,9,6.962784,off
2024-09-01,7,310,100.06,90,1725166800000,2024-09-01T07:00:00.000+02:00,7,9,9.0054,off
2024-09-01,8,310,100.07,85,1725170400000,2024-09-01T08:00:00.000+02:00,7,9,8.505949999999999,off
2024-09-01,9,129.95,100.05,90,1725174000000,2024-09-01T09:00:00.000+02:00,7,9,9.0045,off
2024-09-01,10,228.33,226.33,85,1725177600000,2024-09-01T10:00:00.000+02:00,7,9,19.238049999999998,off
2024-09-01,11,225,222,90,1725181200000,2024-09-01T11:00:00.000+02:00,7,9,19.98,off
2024-09-01,12,225.25,225.25,95,1725184800000,2024-09-01T12:00:00.000+02:00,7,9,21.39875,off
2024-09-01,13,225.25,225.25,100,1725188400000,2024-09-01T13:00:00.000+02:00,7,9,22.525,off
2024-09-01,14,222,222,70,1725192000000,2024-09-01T14:00:00.000+02:00,7,9,15.54,off
2024-09-01,15,144.99,144.99,45,1725195600000,2024-09-01T15:00:00.000+02:00,7,9,6.5245500000000005,off
2024-09-01,16,129.99,129.99,40,1725199200000,2024-09-01T16:00:00.000+02:00,7,9,5.1996,off
2024-09-01,17,314.5,314.5,25,1725202800000,2024-09-01T17:00:00.000+02:00,7,9,7.8625,off
2024-09-01,18,314.95,314.95,40,1725206400000,2024-09-01T18:00:00.000+02:00,7,9,12.598,off
2024-09-01,19,314.95,314.95,10,1725210000000,2024-09-01T19:00:00.000+02:00,7,9,3.1495,off
2024-09-01,20,314.95,314.95,40,1725213600000,2024-09-01T20:00:00.000+02:00,7,9,12.598,off
2024-09-01,21,314.33,314.33,45,1725217200000,2024-09-01T21:00:00.000+02:00,7,9,14.144849999999998,off
2024-09-01,22,266,264.8,50,1725220800000,2024-09-01T22:00:00.000+02:00,7,9,13.24,off
2024-09-01,23,163.8,163.14,70,1725224400000,2024-09-01T23:00:00.000+02:00,7,9,11.419799999999999,off
2024-09-02,0,140,139.2,80,1725228000000,2024-09-02T00:00:00.000+02:00,1,9,11.136,off
2024-09-02,1,140,138.8,110,1725231600000,2024-09-02T01:00:00.000+02:00,1,9,15.268000000000002,off
2024-09-02,2,140,139.04,115,1725235200000,2024-09-02T02:00:00.000+02:00,1,9,15.9896,off
2024-09-02,3,140,139.04,140,1725238800000,2024-09-02T03:00:00.000+02:00,1,9,19.4656,off
2024-09-02,4,140,90.09,130,1725242400000,2024-09-02T04:00:00.000+02:00,1,9,11.7117,off
2024-09-02,5,100.07,100.07,110,1725246000000,2024-09-02T05:00:00.000+02:00,1,9,11.007699999999998,off
