date,hour,price,volume
2019-10-01,0,30.95,209.0
2019-10-01,1,30.94,204.3
2019-10-01,2,30.94,200.1
2019-10-01,3,30.94,198.2
2019-10-01,4,30.95,203.9
2019-10-01,5,30.97,253.0
2019-10-01,6,76.98,306.0
2019-10-01,7,96.95,183.0
2019-10-01,8,96.95,178.0
2019-10-01,9,96.96,198.0
2019-10-01,10,76.93,119.0
2019-10-01,11,76.93,124.0
2019-10-01,12,76.92,120.0
2019-10-01,13,76.92,111.0
2019-10-01,14,76.93,125.0
2019-10-01,15,76.93,138.0
2019-10-01,16,76.94,164.0
2019-10-01,17,76.99,274.0
2019-10-01,18,149.99,185.3
2019-10-01,19,149.99,182.0
2019-10-01,20,76.95,110.0
2019-10-01,21,76.94,155.0
2019-10-01,22,30.99,277.0
2019-10-01,23,30.96,224.1
2019-10-02,0,34.99,165.0
2019-10-02,1,30.99,163.4
2019-10-02,2,30.98,159.6
2019-10-02,3,30.99,161.9
2019-10-02,4,35.03,158.0
2019-10-02,5,35.61,178.0
2019-10-02,6,77.57,145.7
2019-10-02,7,97.89,164.0
2019-10-02,8,100.17,163.0
2019-10-02,9,101.03,158.0
2019-10-02,10,76.93,81.0
2019-10-02,11,76.94,81.0
2019-10-02,12,76.93,81.0
2019-10-02,13,76.93,81.0
2019-10-02,14,76.94,80.0
2019-10-02,15,76.95,81.0
2019-10-02,16,76.96,81.0
2019-10-02,17,78.92,126.4
2019-10-02,18,169.09,60.0
2019-10-02,19,184.08,60.0
2019-10-02,20,78.36,40.0
2019-10-02,21,77.26,119.8
2019-10-02,22,35.26,247.0
2019-10-02,23,35.12,196.0
2019-10-03,0,35.02,169.0
2019-10-03,1,34.97,160.0
2019-10-03,2,32.98,158.0
2019-10-03,3,32.98,163.0
2019-10-03,4,35.03,172.0
2019-10-03,5,35.6,169.8
2019-10-03,6,77.69,135.6
2019-10-03,7,96.99,183.0
2019-10-03,8,96.98,170.0
2019-10-03,9,96.98,165.0
2019-10-03,10,76.94,73.0
2019-10-03,11,76.96,93.0
2019-10-03,12,76.96,108.0
2019-10-03,13,76.96,106.0
2019-10-03,14,76.98,122.0
2019-10-03,15,77.09,130.8
2019-10-03,16,77.41,115.8
2019-10-03,17,79.87,85.0
2019-10-03,18,163.96,70.6
2019-10-03,19,182.26,75.2
2019-10-03,20,89.83,40.0
2019-10-03,21,77.41,125.9
2019-10-03,22,35.2,233.0
2019-10-03,23,35.04,168.0
2019-10-04,0,34.62,322.0
2019-10-04,1,34.52,312.0
2019-10-04,2,34.5,309.0
2019-10-04,3,34.5,317.0
2019-10-04,4,34.58,322.0
2019-10-04,5,34.98,204.3
2019-10-04,6,76.97,137.0
2019-10-04,7,96.96,180.0
2019-10-04,8,96.97,169.0
2019-10-04,9,96.95,164.0
2019-10-04,10,77.25,182.0
2019-10-04,11,76.99,182.0
2019-10-04,12,76.99,182.0
2019-10-04,13,76.97,182.0
2019-10-04,14,76.97,183.0
2019-10-04,15,76.98,184.0
2019-10-04,16,76.99,184.0
2019-10-04,17,78.96,207.0
2019-10-04,18,151.97,82.2
2019-10-04,19,173.07,111.4
2019-10-04,20,80.01,129.6
2019-10-04,21,76.99,177.0
2019-10-04,22,34.72,355.0
2019-10-04,23,34.6,315.0
2019-10-05,0,35.28,202.0
2019-10-05,1,35.14,188.0
2019-10-05,2,35.09,195.0
2019-10-05,3,35.09,188.0
2019-10-05,4,35.16,183.0
2019-10-05,5,35.39,190.0
2019-10-05,6,35.08,148.0
2019-10-05,7,59.99,148.6
2019-10-05,8,69.91,133.0
2019-10-05,9,69.92,119.0
2019-10-05,10,69.91,121.0
2019-10-05,11,69.9,126.0
2019-10-05,12,36.05,158.0
2019-10-05,13,35.66,151.0
2019-10-05,14,35.39,138.0
2019-10-05,15,35.38,134.0
2019-10-05,16,35.54,145.0
2019-10-05,17,36.3,195.0
2019-10-05,18,69.99,55.0
2019-10-05,19,69.99,50.0
2019-10-05,20,40.06,155.0
2019-10-05,21,36.37,244.0
2019-10-05,22,35.74,289.0
2019-10-05,23,35.55,219.0
2019-10-06,0,35.25,191.0
2019-10-06,1,35.16,186.0
2019-10-06,2,35.11,169.0
2019-10-06,3,35.09,174.0
2019-10-06,4,35.1,162.0
2019-10-06,5,35.36,182.0
2019-10-06,6,35.6,200.7
2019-10-06,7,35.5,159.9
2019-10-06,8,35.76,146.8
2019-10-06,9,35.83,135.2
2019-10-06,10,35.61,123.9
2019-10-06,11,35.39,110.0
2019-10-06,12,35.33,106.0
2019-10-06,13,35.73,188.0
2019-10-06,14,35.63,185.0
2019-10-06,15,35.65,186.0
2019-10-06,16,35.7,195.0
2019-10-06,17,35.47,168.0
2019-10-06,18,57.27,35.0
2019-10-06,19,66.09,132.0
2019-10-06,20,45.24,99.0
2019-10-06,21,36.87,246.0
2019-10-06,22,35.45,241.0
2019-10-06,23,35.29,206.0
2019-10-07,0,35.22,182.0
2019-10-07,1,35.13,179.0
2019-10-07,2,31.0,174.0
2019-10-07,3,31.0,176.4
2019-10-07,4,35.26,175.0
2019-10-07,5,35.91,203.6
2019-10-07,6,76.99,133.0
2019-10-07,7,99.94,143.0
2019-10-07,8,99.96,122.0
2019-10-07,9,99.98,113.0
2019-10-07,10,76.97,136.0
2019-10-07,11,76.97,136.0
2019-10-07,12,76.94,131.0
2019-10-07,13,76.93,131.0
2019-10-07,14,76.94,131.0
2019-10-07,15,76.97,150.0
2019-10-07,16,77.43,158.4
2019-10-07,17,82.51,103.0
2019-10-07,18,186.65,60.0
2019-10-07,19,183.27,60.3
2019-10-07,20,92.43,50.1
2019-10-07,21,77.25,195.7
2019-10-07,22,35.58,260.2
2019-10-07,23,35.47,215.8
2019-10-08,0,34.84,399.0
2019-10-08,1,34.79,391.0
2019-10-08,2,33.38,382.0
2019-10-08,3,31.99,384.0
2019-10-08,4,34.86,427.0
2019-10-08,5,36.05,461.2
2019-10-08,6,76.93,230.0
2019-10-08,7,95.92,357.0
2019-10-08,8,95.91,311.0
2019-10-08,9,93.98,306.0
2019-10-08,10,76.99,253.0
2019-10-08,11,76.99,253.0
2019-10-08,12,76.99,252.0
2019-10-08,13,76.98,252.0
2019-10-08,14,76.99,252.0
2019-10-08,15,77.0,263.0
2019-10-08,16,77.77,262.4
2019-10-08,17,80.06,244.0
2019-10-08,18,149.94,93.0
2019-10-08,19,149.98,164.0
2019-10-08,20,88.4,199.0
2019-10-08,21,77.82,288.1
2019-10-08,22,35.14,525.0
2019-10-08,23,34.94,439.0
2019-10-09,0,35.04,406.0
2019-10-09,1,34.97,393.0
2019-10-09,2,34.94,389.0
2019-10-09,3,34.94,386.0
2019-10-09,4,35.03,429.0
2019-10-09,5,36.05,475.3
2019-10-09,6,75.93,226.0
2019-10-09,7,94.3,335.0
2019-10-09,8,93.88,308.0
2019-10-09,9,92.98,308.0
2019-10-09,10,76.0,252.0
2019-10-09,11,76.0,248.0
2019-10-09,12,75.99,248.0
2019-10-09,13,75.99,240.0
2019-10-09,14,76.0,248.0
2019-10-09,15,76.12,258.0
2019-10-09,16,77.65,278.0
2019-10-09,17,80.01,297.0
2019-10-09,18,148.92,93.0
2019-10-09,19,148.97,164.0
2019-10-09,20,81.15,259.0
2019-10-09,21,77.92,350.0
2019-10-09,22,35.28,517.0
2019-10-09,23,35.08,441.0
2019-10-10,0,35.06,407.0
2019-10-10,1,34.99,392.0
2019-10-10,2,34.95,380.0
