date,hour,zamg,price,volume
2024-07-01,0,119.44,119.44,157.3
2024-07-01,1,119.41,119.41,155.5
2024-07-01,2,119.4,119.4,155.7
2024-07-01,3,119.49,119.49,155.7
2024-07-01,4,119.8,119.8,155.7
2024-07-01,5,240.02,240.02,162.4
2024-07-01,6,264.95,264.95,164
2024-07-01,7,271.88,271.88,161
2024-07-01,8,297.1,297.1,158
2024-07-01,9,255.06,255.06,154
2024-07-01,10,164.93,164.93,157
2024-07-01,11,164.93,164.93,163
2024-07-01,12,164.92,164.92,173
2024-07-01,13,164.93,164.93,170
2024-07-01,14,164.95,164.95,169
2024-07-01,15,164.95,164.95,170
2024-07-01,16,175,175,140
2024-07-01,17,301.38,301.38,74
2024-07-01,18,300.55,300.55,25
2024-07-01,19,255.09,255.09,15
2024-07-01,20,255.06,255.06,14
2024-07-01,21,164.99,164.99,14
2024-07-01,22,119.25,119.25,44
2024-07-01,23,119.13,119.13,84
2024-07-02,0,128.86,128.86,158.4
2024-07-02,1,128.86,128.86,160
2024-07-02,2,131.06,131.06,160
2024-07-02,3,131.06,131.06,160
2024-07-02,4,131.06,131.06,160
2024-07-02,5,240.09,240.09,159.2
2024-07-02,6,272.41,272.41,155
2024-07-02,7,305.28,305.28,161
2024-07-02,8,307.16,307.16,158
2024-07-02,9,240.09,240.09,155
2024-07-02,10,140.01,140.01,158
2024-07-02,11,140.01,140.01,160
2024-07-02,12,140.01,140.01,164
2024-07-02,13,135,135,162
2024-07-02,14,140.02,140.02,162
2024-07-02,15,140.05,140.05,165
2024-07-02,16,205.43,205.43,130
2024-07-02,17,271.65,271.65,63
2024-07-02,18,310.2,310.2,13
2024-07-02,19,308.7,308.7,13
2024-07-02,20,255.09,255.09,13
2024-07-02,21,150.02,150.02,13
2024-07-02,22,127.92,127.92,48
2024-07-02,23,127.13,127.13,98
2024-07-03,0,115.92,115.92,155
2024-07-03,1,115.91,115.91,191
2024-07-03,2,115.92,115.92,206
2024-07-03,3,115.92,115.92,239
2024-07-03,4,115.92,115.92,242
2024-07-03,5,140.06,140.06,233
2024-07-03,6,240.04,240.04,278
2024-07-03,7,240.03,240.03,304
2024-07-03,8,278.11,278.11,256
2024-07-03,9,240.02,240.02,255
2024-07-03,10,140.09,140.09,245
2024-07-03,11,140.09,140.09,224
2024-07-03,12,140.08,140.08,224
2024-07-03,13,140.1,140.1,224
2024-07-03,14,140.08,140.08,221
2024-07-03,15,146,146,222
2024-07-03,16,164.93,164.93,201
2024-07-03,17,279.92,279.92,227
2024-07-03,18,297.09,297.09,185
2024-07-03,19,255.09,255.09,95
2024-07-03,20,255.06,255.06,77
2024-07-03,21,150.08,150.08,132
2024-07-03,22,125.78,125.78,125
2024-07-03,23,120.65,120.65,134
2024-07-04,0,100.04,100.04,198.6
2024-07-04,1,100.03,100.03,240
2024-07-04,2,100.05,100.05,242
2024-07-04,3,100.07,100.07,239
2024-07-04,4,114.91,114.91,239
2024-07-04,5,150.05,150.05,205
2024-07-04,6,240.03,240.03,125
2024-07-04,7,240.03,240.03,126
2024-07-04,8,274.46,274.46,121
2024-07-04,9,164.91,164.91,122
2024-07-04,10,150.02,150.02,124
2024-07-04,11,150.01,150.01,128
2024-07-04,12,150.09,150.09,134
2024-07-04,13,163.14,163.14,135
2024-07-04,14,164.9,164.9,137
2024-07-04,15,164.93,164.93,138
2024-07-04,16,164.96,164.96,145
2024-07-04,17,279.94,279.94,147
2024-07-04,18,297.09,297.09,82.3
2024-07-04,19,255.1,255.1,53
2024-07-04,20,255.06,255.06,50
2024-07-04,21,150.03,150.03,95
2024-07-04,22,114.93,114.93,90
2024-07-04,23,100.09,100.09,122
2024-07-05,0,99.91,99.91,164
2024-07-05,1,99.91,99.91,164
2024-07-05,2,99.91,99.91,164
2024-07-05,3,99.91,99.91,164
2024-07-05,4,99.95,99.95,164
2024-07-05,5,103.8,103.8,164
2024-07-05,6,240.04,240.04,140
2024-07-05,7,240.03,240.03,244
2024-07-05,8,275.01,275.01,260
2024-07-05,9,149.94,149.94,267
2024-07-05,10,140.1,140.1,267
2024-07-05,11,140.1,140.1,237
2024-07-05,12,145.89,145.89,247
2024-07-05,13,146.41,146.41,248
2024-07-05,14,149.92,149.92,251
2024-07-05,15,149.94,149.94,255
2024-07-05,16,149.95,149.95,259
2024-07-05,17,275.09,275.09,353
2024-07-05,18,297.09,297.09,244.1
2024-07-05,19,283.2,283.2,80
2024-07-05,20,255.06,255.06,165
2024-07-05,21,149.91,149.91,228.8
2024-07-05,22,99.88,99.88,128
2024-07-05,23,99.88,99.88,128
2024-07-06,0,75.06,75.06,203.6
2024-07-06,1,75.06,75.06,235
2024-07-06,2,75.05,75.05,240
2024-07-06,3,75.05,75.05,239
2024-07-06,4,75.07,75.07,239
2024-07-06,5,75.1,75.1,235
2024-07-06,6,98.99,98.99,129
2024-07-06,7,98.98,98.98,128
2024-07-06,8,99.98,99.98,129
2024-07-06,9,103.6,103.6,132
2024-07-06,10,125,125,137
2024-07-06,11,125,125,142
2024-07-06,12,98.99,98.99,141
2024-07-06,13,98.99,98.99,136
2024-07-06,14,98.99,98.99,136
2024-07-06,15,99,99,140
2024-07-06,16,103.6,99.01,142
2024-07-06,17,311.14,311.14,84
2024-07-06,18,311.4,311.4,82.3
2024-07-06,19,311.4,311.4,54
2024-07-06,20,194.56,194.56,54
2024-07-06,21,150.02,150.02,64
2024-07-06,22,75.09,75.09,74
2024-07-06,23,75.04,75.04,115
2024-07-07,0,75.06,75.06,130
2024-07-07,1,75.05,75.05,150
2024-07-07,2,75.04,75.04,165
2024-07-07,3,75.05,75.05,165
2024-07-07,4,75.05,75.05,230
2024-07-07,5,75.06,75.06,201
2024-07-07,6,100.9,100.9,131
2024-07-07,7,105.25,105.25,137
2024-07-07,8,104.46,104.46,185
2024-07-07,9,110.22,110.22,181
2024-07-07,10,108.04,108.04,183
2024-07-07,11,110.53,110.53,181
2024-07-07,12,107.11,107.11,189
2024-07-07,13,107.42,107.42,179
2024-07-07,14,107.11,107.11,163
2024-07-07,15,110.84,110.84,155
2024-07-07,16,120.02,120.02,145
2024-07-07,17,144.61,144.61,158
2024-07-07,18,311.41,311.41,140
2024-07-07,19,311.41,311.41,112
2024-07-07,20,187.39,187.39,77
2024-07-07,21,110.84,110.84,97
2024-07-07,22,100.08,100.08,45
2024-07-07,23,75.04,75.04,110
2024-07-08,0,99.07,99.07,159
2024-07-08,1,99.06,99.06,159
2024-07-08,2,99.05,99.05,159
2024-07-08,3,99.07,99.07,159
2024-07-08,4,99.99,99.99,159
2024-07-08,5,100.02,100.02,159
2024-07-08,6,240.06,240.06,137.3
2024-07-08,7,240.04,240.04,150
2024-07-08,8,275,275,147
2024-07-08,9,149.94,149.94,143
2024-07-08,10,200.94,147.5,139
2024-07-08,11,147,147,137
2024-07-08,12,150.03,150.03,135
2024-07-08,13,149.92,149.92,134
2024-07-08,14,149.93,149.93,138
2024-07-08,15,149.97,149.97,140
2024-07-08,16,225.09,225.09,133
2024-07-08,17,275.08,275.08,125
2024-07-08,18,297.09,297.09,92
2024-07-08,19,281.4,281.4,47
2024-07-08,20,255.07,255.07,15
2024-07-08,21,200.96,200.96,25
2024-07-08,22,106.18,106.18,75
2024-07-08,23,99.07,99.07,120
2024-07-09,0,105.02,100.74,139
2024-07-09,1,105.02,99.42,144
2024-07-09,2,105.03,99.34,144
2024-07-09,3,105.02,99.58,144
2024-07-09,4,104.75,101.05,144
2024-07-09,5,105.05,104.95,139
2024-07-09,6,239.98,239.98,121
2024-07-09,7,239.95,239.95,132
2024-07-09,8,239.92,239.92,136
2024-07-09,9,150.09,150.09,134
2024-07-09,10,150.09,150.04,128
2024-07-09,11,150.07,150.01,125
2024-07-09,12,150.07,150.03,134
2024-07-09,13,150.08,150,131
2024-07-09,14,150.06,149.91,132
2024-07-09,15,160.05,149.95,133
2024-07-09,16,170.05,170.05,143
2024-07-09,17,249.95,249.95,160
2024-07-09,18,310.45,310.45,102
2024-07-09,19,284.5,284.5,102
2024-07-09,20,181,181,90
2024-07-09,21,102.25,102.25,75
2024-07-09,22,105.04,105.04,110
2024-07-09,23,102.25,99.96,115
2024-07-10,0,104,100.69,242
2024-07-10,1,104,100.37,242
2024-07-10,2,103.4,99.1,184
2024-07-10,3,100.53,100.53,184
2024-07-10,4,102.32,102.32,242
2024-07-10,5,129.98,129.98,242
2024-07-10,6,276.22,276.22,120
2024-07-10,7,273.37,273.37,117
2024-07-10,8,271.22,271.22,115
2024-07-10,9,170.07,170.07,115
2024-07-10,10,150.07,150.07,105
2024-07-10,11,149.98,149.98,101
2024-07-10,12,150.01,150.01,111
2024-07-10,13,149.96,149.96,112
2024-07-10,14,150.05,150.03,115
2024-07-10,15,150.04,150.04,119
2024-07-10,16,170.05,170.05,124
2024-07-10,17,310.82,310.82,128
2024-07-10,18,304.25,304.25,101
2024-07-10,19,304.25,304.25,79
2024-07-10,20,216.34,216.34,79
2024-07-10,21,108,108,101
2024-07-10,22,105.07,105.07,109
2024-07-10,23,101.51,101.51,109
2024-07-11,0,100.59,100.59,234
2024-07-11,1,100.59,100.59,234
2024-07-11,2,102.6,100.59,234
2024-07-11,3,100.59,100.59,234
2024-07-11,4,100.61,100.61,295
2024-07-11,5,100.6,100.6,213
2024-07-11,6,240.06,240.06,223
2024-07-11,7,274.91,274.91,200
2024-07-11,8,274.31,274.31,170
2024-07-11,9,183,183,140
2024-07-11,10,150.33,150.33,188
2024-07-11,11,150.06,150.06,203
2024-07-11,12,150.08,150.08,193
2024-07-11,13,150.07,150.07,193
2024-07-11,14,150.05,150.05,183
2024-07-11,15,150.04,150.04,163
2024-07-11,16,170.04,170.04,143
2024-07-11,17,310.82,310.82,85
2024-07-11,18,304.75,304.75,95
2024-07-11,19,304.75,304.75,90
2024-07-11,20,240.08,240.08,70
2024-07-11,21,150.02,150.02,76
2024-07-11,22,100.61,100.61,114
2024-07-11,23,100.6,100.6,103
2024-07-12,0,99.04,99.04,241
2024-07-12,1,99.04,99.04,251
2024-07-12,2,99.03,99.03,261
2024-07-12,3,99.03,99.03,256
2024-07-12,4,99.05,99.05,241
2024-07-12,5,108.56,108.56,160
2024-07-12,6,310.08,310.08,184
2024-07-12,7,310.2,310.2,245
2024-07-12,8,310.2,310.2,200
2024-07-12,9,259.96,259.96,120
2024-07-12,10,121,121,169
2024-07-12,11,120.09,120.09,174
2024-07-12,12,120.07,120.07,154
2024-07-12,13,120.07,120.07,154
2024-07-12,14,120.07,120.07,154
2024-07-12,15,120.07,120.07,119
2024-07-12,16,121,121,65
2024-07-12,17,311.3,311.3,90
2024-07-12,18,311.44,311.44,45
2024-07-12,19,311.44,311.44,50
2024-07-12,20,240.07,240.07,50
2024-07-12,21,99.09,99.09,40
2024-07-12,22,99.03,99.03,90
2024-07-12,23,99.02,99.02,166
