date,hour,price,volume
2019-11-01,0,32.38,398.0
2019-11-01,1,32.34,421.0
2019-11-01,2,32.32,433.0
2019-11-01,3,32.33,428.0
2019-11-01,4,32.41,361.0
2019-11-01,5,32.97,350.0
2019-11-01,6,35.04,405.0
2019-11-01,7,84.13,387.0
2019-11-01,8,84.14,356.0
2019-11-01,9,84.14,339.0
2019-11-01,10,84.11,341.0
2019-11-01,11,83.51,334.0
2019-11-01,12,79.99,354.0
2019-11-01,13,79.97,354.0
2019-11-01,14,79.96,355.0
2019-11-01,15,79.97,355.0
2019-11-01,16,79.97,355.0
2019-11-01,17,83.51,327.0
2019-11-01,18,132.96,115.0
2019-11-01,19,138.83,169.0
2019-11-01,20,83.52,231.0
2019-11-01,21,75.94,357.0
2019-11-01,22,32.58,287.0
2019-11-01,23,32.49,289.0
2019-11-02,0,32.48,400.8
2019-11-02,1,32.37,413.7
2019-11-02,2,32.28,413.9
2019-11-02,3,32.22,416.5
2019-11-02,4,32.21,417.3
2019-11-02,5,32.78,466.0
2019-11-02,6,34.81,315.0
2019-11-02,7,64.97,296.1
2019-11-02,8,65.02,244.1
2019-11-02,9,65.03,215.2
2019-11-02,10,65.04,263.3
2019-11-02,11,65.04,262.9
2019-11-02,12,38.03,248.0
2019-11-02,13,37.12,255.0
2019-11-02,14,37.12,247.0
2019-11-02,15,37.12,251.0
2019-11-02,16,37.12,247.0
2019-11-02,17,38.05,221.0
2019-11-02,18,75.09,107.0
2019-11-02,19,75.82,58.0
2019-11-02,20,75.01,213.0
2019-11-02,21,40.04,112.0
2019-11-02,22,32.67,403.6
2019-11-02,23,32.48,416.9
2019-11-03,0,32.4,416.0
2019-11-03,1,32.3,418.5
2019-11-03,2,32.22,413.3
2019-11-03,3,32.16,414.4
2019-11-03,4,32.12,417.2
2019-11-03,5,33.5,318.0
2019-11-03,6,33.29,317.0
2019-11-03,7,33.48,300.0
2019-11-03,8,33.74,288.0
2019-11-03,9,37.01,268.0
2019-11-03,10,32.98,314.0
2019-11-03,11,37.0,291.0
2019-11-03,12,33.63,299.0
2019-11-03,13,37.0,287.0
2019-11-03,14,37.01,271.0
2019-11-03,15,37.02,257.0
2019-11-03,16,37.05,234.0
2019-11-03,17,37.06,271.0
2019-11-03,18,72.03,186.0
2019-11-03,19,72.09,63.0
2019-11-03,20,43.71,103.6
2019-11-03,21,39.94,111.0
2019-11-03,22,32.67,421.9
2019-11-03,23,32.57,413.9
2019-11-04,0,31.92,286.0
2019-11-04,1,31.83,286.0
2019-11-04,2,31.77,286.0
2019-11-04,3,31.75,286.0
2019-11-04,4,31.87,286.0
2019-11-04,5,35.0,277.0
2019-11-04,6,35.96,305.0
2019-11-04,7,88.56,258.0
2019-11-04,8,88.59,210.0
2019-11-04,9,88.6,190.0
2019-11-04,10,80.0,343.0
2019-11-04,11,83.51,329.0
2019-11-04,12,79.94,343.0
2019-11-04,13,79.92,343.0
2019-11-04,14,79.92,343.0
2019-11-04,15,79.95,343.0
2019-11-04,16,79.97,343.0
2019-11-04,17,83.5,333.0
2019-11-04,18,132.95,60.0
2019-11-04,19,211.58,41.0
2019-11-04,20,83.52,234.0
2019-11-04,21,71.26,336.0
2019-11-04,22,32.06,286.0
2019-11-04,23,32.0,286.0
2019-11-05,0,31.87,405.4
2019-11-05,1,31.85,406.9
2019-11-05,2,31.83,402.2
2019-11-05,3,31.84,401.1
2019-11-05,4,31.9,401.4
2019-11-05,5,35.18,130.0
2019-11-05,6,67.93,121.0
2019-11-05,7,88.98,131.0
2019-11-05,8,89.19,109.0
2019-11-05,9,129.55,91.0
2019-11-05,10,97.41,75.0
2019-11-05,11,97.28,79.0
2019-11-05,12,81.2,88.0
2019-11-05,13,81.2,91.0
2019-11-05,14,97.07,86.0
2019-11-05,15,97.07,86.0
2019-11-05,16,110.81,69.0
2019-11-05,17,112.78,55.0
2019-11-05,18,213.8,24.0
2019-11-05,19,214.25,15.0
2019-11-05,20,113.2,24.0
2019-11-05,21,96.16,81.0
2019-11-05,22,32.08,419.4
2019-11-05,23,32.01,387.3
2019-11-06,0,32.46,422.4
2019-11-06,1,32.44,423.3
2019-11-06,2,32.42,419.4
2019-11-06,3,32.41,418.8
2019-11-06,4,32.46,430.5
2019-11-06,5,35.18,138.0
2019-11-06,6,67.97,117.0
2019-11-06,7,90.33,124.0
2019-11-06,8,155.14,105.0
2019-11-06,9,155.51,97.0
2019-11-06,10,101.06,84.0
2019-11-06,11,101.09,81.0
2019-11-06,12,101.08,82.2
2019-11-06,13,101.09,81.1
2019-11-06,14,101.12,79.0
2019-11-06,15,101.17,75.0
2019-11-06,16,127.89,70.0
2019-11-06,17,129.92,61.0
2019-11-06,18,220.67,52.0
2019-11-06,19,220.67,52.0
2019-11-06,20,145.0,0.0
2019-11-06,21,110.74,82.0
2019-11-06,22,32.59,479.6
2019-11-06,23,32.49,423.5
2019-11-07,0,33.46,312.3
2019-11-07,1,33.46,312.2
2019-11-07,2,33.46,311.8
2019-11-07,3,33.46,311.8
2019-11-07,4,33.48,319.2
2019-11-07,5,35.18,141.0
2019-11-07,6,67.96,131.0
2019-11-07,7,90.62,137.9
2019-11-07,8,154.97,119.0
2019-11-07,9,154.95,119.0
2019-11-07,10,102.94,99.0
2019-11-07,11,101.0,99.0
2019-11-07,12,100.98,99.0
2019-11-07,13,100.98,99.0
2019-11-07,14,100.99,100.0
2019-11-07,15,103.3,90.0
2019-11-07,16,132.34,87.0
2019-11-07,17,134.68,74.0
2019-11-07,18,219.93,60.0
2019-11-07,19,223.17,55.0
2019-11-07,20,224.7,6.0
2019-11-07,21,97.31,93.0
2019-11-07,22,33.6,358.0
2019-11-07,23,33.47,313.4
2019-11-08,0,35.38,103.0
2019-11-08,1,35.2,106.0
2019-11-08,2,35.2,109.0
2019-11-08,3,35.2,105.0
2019-11-08,4,35.41,103.0
2019-11-08,5,35.2,106.0
2019-11-08,6,188.46,86.0
2019-11-08,7,159.56,88.0
2019-11-08,8,160.85,62.0
2019-11-08,9,161.46,50.0
2019-11-08,10,105.2,26.0
2019-11-08,11,105.36,21.0
2019-11-08,12,105.14,28.0
2019-11-08,13,105.05,31.0
2019-11-08,14,104.85,38.0
2019-11-08,15,105.27,24.0
2019-11-08,16,145.47,25.0
2019-11-08,17,145.68,23.0
2019-11-08,18,228.8,52.0
2019-11-08,19,228.8,52.0
2019-11-08,20,234.0,0.0
2019-11-08,21,118.17,92.0
2019-11-08,22,35.67,102.0
2019-11-08,23,35.64,102.0
2019-11-09,0,36.23,313.0
2019-11-09,1,36.16,308.0
2019-11-09,2,36.09,303.0
2019-11-09,3,36.07,303.0
2019-11-09,4,36.05,303.0
2019-11-09,5,36.79,313.0
2019-11-09,6,38.59,160.0
2019-11-09,7,70.5,99.0
2019-11-09,8,74.99,98.0
2019-11-09,9,166.02,88.0
2019-11-09,10,74.99,108.4
2019-11-09,11,74.95,98.0
2019-11-09,12,46.53,98.0
2019-11-09,13,45.54,98.0
2019-11-09,14,40.09,101.0
2019-11-09,15,45.21,99.0
2019-11-09,16,45.21,99.0
2019-11-09,17,45.26,99.0
2019-11-09,18,78.32,40.0
2019-11-09,19,94.53,40.0
2019-11-09,20,77.01,226.0
2019-11-09,21,46.34,92.0
2019-11-09,22,36.28,317.0
2019-11-09,23,36.11,302.0
2019-11-10,0,36.0,303.0
2019-11-10,1,35.93,303.0
2019-11-10,2,35.89,303.0
2019-11-10,3,35.86,303.0
2019-11-10,4,35.86,303.0
2019-11-10,5,36.35,303.0
2019-11-10,6,38.58,135.0
2019-11-10,7,39.94,112.0
2019-11-10,8,39.99,101.0
2019-11-10,9,45.35,98.0
2019-11-10,10,40.0,99.0
2019-11-10,11,45.37,98.0
2019-11-10,12,45.3,98.0
2019-11-10,13,45.41,98.0
2019-11-10,14,45.29,99.0
2019-11-10,15,45.3,99.0
2019-11-10,16,45.44,99.0
2019-11-10,17,40.62,140.0
2019-11-10,18,75.0,234.0
2019-11-10,19,110.0,40.0
2019-11-10,20,45.72,40.0
2019-11-10,21,46.89,102.0
2019-11-10,22,36.27,312.0
2019-11-10,23,36.27,302.0
2019-11-11,0,36.01,283.0
2019-11-11,1,35.95,283.0
2019-11-11,2,35.9,283.0
2019-11-11,3,35.9,283.0
2019-11-11,4,35.99,283.0
2019-11-11,5,38.57,137.0
2019-11-11,6,75.68,72.0
2019-11-11,7,97.79,119.0
2019-11-11,8,99.46,118.0
2019-11-11,9,100.38,118.0
2019-11-11,10,88.58,131.0
2019-11-11,11,81.19,109.0
2019-11-11,12,81.19,110.7
2019-11-11,13,81.18,124.9
2019-11-11,14,81.17,143.2
2019-11-11,15,81.19,105.7
2019-11-11,16,91.85,80.0
2019-11-11,17,99.94,79.0
2019-11-11,18,224.96,60.0
2019-11-11,19,224.99,60.0
2019-11-11,20,81.19,37.7
2019-11-11,21,81.14,223.1
2019-11-11,22,36.0,282.0
2019-11-11,23,35.99,282.0
2019-11-12,0,33.96,314.4
2019-11-12,1,33.94,314.4
2019-11-12,2,33.94,313.3
2019-11-12,3,33.94,311.9
2019-11-12,4,33.96,313.8
2019-11-12,5,34.98,428.0
2019-11-12,6,73.26,213.0
2019-11-12,7,94.94,171.7
2019-11-12,8,94.94,186.0
2019-11-12,9,94.94,187.0
2019-11-12,10,77.99,384.0
2019-11-12,11,77.99,386.0
2019-11-12,12,77.99,404.0
2019-11-12,13,77.99,386.0
2019-11-12,14,78.0,396.0
2019-11-12,15,80.67,360.0
2019-11-12,16,81.13,350.0
2019-11-12,17,81.15,334.0
2019-11-12,18,223.92,60.0
2019-11-12,19,223.93,60.0
2019-11-12,20,81.19,111.0
2019-11-12,21,77.99,317.0
2019-11-12,22,35.38,350.0
2019-11-12,23,33.96,320.2
2019-11-13,0,32.68,400.0
2019-11-13,1,32.44,418.0
2019-11-13,2,32.29,428.0
2019-11-13,3,32.46,408.0
2019-11-13,4,33.09,356.0
2019-11-13,5,34.93,391.0
2019-11-13,6,69.99,205.0
2019-11-13,7,92.95,189.7
2019-11-13,8,92.94,163.4
2019-11-13,9,92.94,163.4
2019-11-13,10,75.98,384.0
2019-11-13,11,75.98,386.0
2019-11-13,12,75.98,391.0
2019-11-13,13,75.97,381.0
2019-11-13,14,76.0,385.0
2019-11-13,15,78.0,389.0
2019-11-13,16,78.35,394.0
2019-11-13,17,83.12,388.0
2019-11-13,18,222.92,60.0
2019-11-13,19,222.93,60.0
2019-11-13,20,83.11,255.0
2019-11-13,21,75.51,336.0
2019-11-13,22,35.09,321.2
2019-11-13,23,33.06,367.0
2019-11-14,0,33.97,330.0
2019-11-14,1,33.6,351.0
2019-11-14,2,33.38,363.0
2019-11-14,3,33.23,368.0
2019-11-14,4,33.56,358.0
2019-11-14,5,34.97,410.0
2019-11-14,6,67.93,368.0
2019-11-14,7,90.94,211.0
2019-11-14,8,90.94,178.0
2019-11-14,9,90.94,176.0
2019-11-14,10,77.91,381.7
2019-11-14,11,77.92,383.4
2019-11-14,12,77.92,386.3
2019-11-14,13,77.92,383.4
2019-11-14,14,77.96,390.4
2019-11-14,15,77.99,407.5
2019-11-14,16,78.55,412.0
2019-11-14,17,83.14,389.0
2019-11-14,18,220.92,60.0
2019-11-14,19,220.93,60.0
2019-11-14,20,81.95,275.0
2019-11-14,21,75.92,339.0
2019-11-14,22,35.08,367.0
2019-11-14,23,33.84,358.0
2019-11-15,0,35.47,265.0
2019-11-15,1,35.4,265.0
2019-11-15,2,35.38,265.0
2019-11-15,3,35.41,265.0
2019-11-15,4,35.5,265.0
2019-11-15,5,39.57,135.0
2019-11-15,6,70.99,160.0
2019-11-15,7,96.56,142.8
2019-11-15,8,98.37,116.0
2019-11-15,9,168.56,104.0
2019-11-15,10,89.59,100.0
2019-11-15,11,83.19,95.0
2019-11-15,12,83.19,102.0
2019-11-15,13,83.18,115.7
2019-11-15,14,83.18,126.1
2019-11-15,15,83.19,109.3
2019-11-15,16,83.19,106.9
2019-11-15,17,97.44,102.3
2019-11-15,18,220.93,60.0
2019-11-15,19,220.99,60.0
2019-11-15,20,83.2,27.0
2019-11-15,21,83.19,103.9
2019-11-15,22,35.75,267.0
2019-11-15,23,35.74,267.0
2019-11-16,0,36.04,473.0
2019-11-16,1,35.81,458.0
2019-11-16,2,35.68,448.0
2019-11-16,3,35.62,453.0
2019-11-16,4,35.52,450.0
2019-11-16,5,35.59,454.0
2019-11-16,6,29.99,406.0
2019-11-16,7,54.99,400.0
2019-11-16,8,55.0,409.0
2019-11-16,9,64.92,379.0
2019-11-16,10,54.99,399.0
2019-11-16,11,54.99,369.0
2019-11-16,12,30.0,369.0
2019-11-16,13,29.99,354.0
2019-11-16,14,29.99,345.0
2019-11-16,15,29.99,340.0
2019-11-16,16,30.0,360.0
2019-11-16,17,45.01,357.2
2019-11-16,18,78.03,277.0
2019-11-16,19,83.56,238.7
2019-11-16,20,50.4,310.0
2019-11-16,21,40.07,247.0
2019-11-16,22,36.14,481.0
2019-11-16,23,35.79,451.0
2019-11-17,0,35.31,392.2
2019-11-17,1,35.18,396.8
2019-11-17,2,35.07,392.7
2019-11-17,3,34.9,400.0
2019-11-17,4,34.82,405.0
2019-11-17,5,32.35,438.0
2019-11-17,6,29.98,363.0
2019-11-17,7,29.97,310.0
2019-11-17,8,29.98,319.0
2019-11-17,9,29.98,334.0
2019-11-17,10,29.97,319.0
2019-11-17,11,29.97,314.0
2019-11-17,12,29.97,314.0
2019-11-17,13,29.97,309.0
2019-11-17,14,29.98,305.0
2019-11-17,15,29.98,300.0
2019-11-17,16,29.99,335.0
2019-11-17,17,34.98,401.0
2019-11-17,18,55.21,322.8
2019-11-17,19,82.98,201.0
2019-11-17,20,44.7,214.0
2019-11-17,21,44.01,241.0
2019-11-17,22,35.65,389.2
2019-11-17,23,35.35,342.4
2019-11-18,0,33.14,345.0
2019-11-18,1,32.69,382.0
2019-11-18,2,32.36,403.0
2019-11-18,3,32.18,418.0
2019-11-18,4,32.72,380.0
2019-11-18,5,35.95,443.0
2019-11-18,6,69.96,258.7
2019-11-18,7,94.67,196.6
2019-11-18,8,94.75,201.7
2019-11-18,9,94.68,153.6
2019-11-18,10,80.05,343.9
2019-11-18,11,80.16,340.3
2019-11-18,12,80.0,346.6
2019-11-18,13,80.0,371.8
2019-11-18,14,80.21,365.4
2019-11-18,15,80.54,352.9
2019-11-18,16,80.96,331.6
2019-11-18,17,83.16,348.7
2019-11-18,18,219.93,60.0
2019-11-18,19,219.93,60.0
2019-11-18,20,83.11,238.6
2019-11-18,21,80.0,313.0
2019-11-18,22,34.97,347.0
2019-11-18,23,33.2,352.0
2019-11-19,0,30.97,252.0
2019-11-19,1,30.97,247.0
2019-11-19,2,30.96,247.0
2019-11-19,3,30.97,251.0
2019-11-19,4,30.97,265.0
2019-11-19,5,31.0,412.0
2019-11-19,6,69.97,315.0
2019-11-19,7,92.95,196.8
2019-11-19,8,92.94,162.1
2019-11-19,9,92.94,171.2
2019-11-19,10,79.99,353.6
2019-11-19,11,79.99,349.9
2019-11-19,12,79.99,356.9
2019-11-19,13,79.99,355.2
2019-11-19,14,80.0,363.2
2019-11-19,15,81.36,336.0
2019-11-19,16,81.7,328.0
2019-11-19,17,83.16,316.0
2019-11-19,18,214.94,98.1
2019-11-19,19,214.95,114.3
2019-11-19,20,83.11,250.0
2019-11-19,21,80.0,307.0
2019-11-19,22,34.52,357.0
2019-11-19,23,30.98,289.0
2019-11-20,0,30.0,231.0
2019-11-20,1,30.0,228.0
2019-11-20,2,30.0,228.0
2019-11-20,3,30.9,232.0
2019-11-20,4,30.0,226.0
2019-11-20,5,30.95,343.0
2019-11-20,6,69.91,286.0
