date,hour,zamg,price,volume
2024-08-01,0,105.01,105.01,155
2024-08-01,1,105.01,105.01,170
2024-08-01,2,105.01,105.01,195
2024-08-01,3,105.02,105.02,200
2024-08-01,4,105.05,105.05,175
2024-08-01,5,117.5,117.5,100
2024-08-01,6,239.93,239.93,90
2024-08-01,7,239.95,239.95,150
2024-08-01,8,239.94,239.94,131
2024-08-01,9,281.62,281.62,145
2024-08-01,10,97.5,97.5,150
2024-08-01,11,95.82,95.82,150
2024-08-01,12,96.89,96.89,85
2024-08-01,13,95.33,95.33,85
2024-08-01,14,97.64,97.64,75
2024-08-01,15,116.82,116.82,53
2024-08-01,16,260.7,239.96,20
2024-08-01,17,308.59,308.59,40
2024-08-01,18,312.03,312.03,25
2024-08-01,19,312.03,312.03,10
2024-08-01,20,283.32,283.32,30
2024-08-01,21,225.26,225.26,60
2024-08-01,22,105.08,105.08,88.7
2024-08-01,23,105.06,105.06,106
2024-08-02,0,95.01,95.01,246.8
2024-08-02,1,95.01,95.01,245
2024-08-02,2,95.01,95.01,245
2024-08-02,3,95.01,95.01,245
2024-08-02,4,95.07,95.07,242
2024-08-02,5,155.39,155.39,125
2024-08-02,6,300.04,300.04,104
2024-08-02,7,299.9,299.9,125
2024-08-02,8,258,258,150
2024-08-02,9,292,292,150
2024-08-02,10,95.04,95.04,130
2024-08-02,11,90.86,90.86,130
2024-08-02,12,90.67,90.67,140
2024-08-02,13,91.33,91.33,125
2024-08-02,14,95,95,130
2024-08-02,15,95.03,95.03,120
2024-08-02,16,130.4,130.4,70
2024-08-02,17,312.03,312.03,110
2024-08-02,18,312.39,312.39,55
2024-08-02,19,312.39,312.39,67.5
2024-08-02,20,283.98,283.98,80
2024-08-02,21,95.09,95.09,99.8
2024-08-02,22,95.04,95.04,101
2024-08-02,23,95.02,95.02,161
2024-08-03,0,70.1,70.1,320
2024-08-03,1,70.08,70.08,335
2024-08-03,2,70.08,70.08,345
2024-08-03,3,70.08,70.08,299
2024-08-03,4,81.07,81.07,355
2024-08-03,5,70.09,70.09,115
2024-08-03,6,70.09,70.09,95
2024-08-03,7,70.09,70.09,105
2024-08-03,8,79.92,79.92,145
2024-08-03,9,84.99,79.96,145
2024-08-03,10,79.94,79.94,130
2024-08-03,11,79.95,79.95,130
2024-08-03,12,92.35,92.35,130
2024-08-03,13,70.1,70.1,130
2024-08-03,14,70.09,70.09,130
2024-08-03,15,79.96,79.96,122
2024-08-03,16,102.6,95.68,127
2024-08-03,17,119.98,100.88,115
2024-08-03,18,305.2,305.2,67.5
2024-08-03,19,305.2,305.2,50
2024-08-03,20,93.29,93.29,60
2024-08-03,21,60,60,85
2024-08-03,22,81.07,81.07,101
2024-08-03,23,92.67,92.67,300
2024-08-04,0,70.07,70.07,324
2024-08-04,1,70.06,70.06,324
2024-08-04,2,70.05,70.05,324
2024-08-04,3,70.05,70.05,324
2024-08-04,4,70.06,70.06,324
2024-08-04,5,70.06,70.06,115
2024-08-04,6,70.06,70.06,105
2024-08-04,7,70.09,70.09,130
2024-08-04,8,92.67,92.67,165
2024-08-04,9,94.54,94.54,165
2024-08-04,10,93.6,93.6,150
2024-08-04,11,92.67,92.67,150
2024-08-04,12,93.6,93.6,150
2024-08-04,13,94.33,94.33,150
2024-08-04,14,93.7,93.7,135
2024-08-04,15,95.16,95.16,125
2024-08-04,16,102.45,95.58,103
2024-08-04,17,119.98,100.36,91
2024-08-04,18,314.17,314.17,60
2024-08-04,19,314.17,314.17,30
2024-08-04,20,97.65,97.65,80
2024-08-04,21,81.07,81.07,101
2024-08-04,22,95.37,95.37,101
2024-08-04,23,92.15,92.15,235
2024-08-05,0,85.06,85.06,265
2024-08-05,1,85.05,85.05,289
2024-08-05,2,85.05,85.05,355
2024-08-05,3,85.06,85.06,368
2024-08-05,4,93.39,93.39,352
2024-08-05,5,98.49,98.49,274
2024-08-05,6,185.9,185.9,219
2024-08-05,7,244.09,244.09,144
2024-08-05,8,239.99,239.99,157
2024-08-05,9,239.92,239.92,160
2024-08-05,10,100,100,145
2024-08-05,11,90.33,90.33,141
2024-08-05,12,85.1,85.1,164
2024-08-05,13,85.09,85.09,184
2024-08-05,14,85.09,85.09,182
2024-08-05,15,102.9,92.5,157
