date,hour,price,volume
2024-02-01,0,55.39,320
2024-02-01,1,55.34,335
2024-02-01,2,55.31,345
2024-02-01,3,55.03,299
2024-02-01,4,55.26,355
2024-02-01,5,120.04,115
2024-02-01,6,186.45,95
2024-02-01,7,110.2,105
2024-02-01,8,105.04,145
2024-02-01,9,105.04,145
2024-02-01,10,96.07,130
2024-02-01,11,96.07,130
2024-02-01,12,96.08,130
2024-02-01,13,96.09,130
2024-02-01,14,96.09,130
2024-02-01,15,105.44,122
2024-02-01,16,106.36,127
2024-02-01,17,167.24,115
2024-02-01,18,199.94,68
2024-02-01,19,201.25,50
2024-02-01,20,201.44,60
2024-02-01,21,199.95,85
2024-02-01,22,158.07,101
2024-02-01,23,55.33,300
2024-02-02,0,55.09,324
2024-02-02,1,55.08,324
2024-02-02,2,55.07,324
2024-02-02,3,55.06,324
2024-02-02,4,55.1,324
2024-02-02,5,120.04,115
2024-02-02,6,185.13,105
2024-02-02,7,104.03,130
2024-02-02,8,102.8,165
2024-02-02,9,102.67,165
2024-02-02,10,115.05,150
2024-02-02,11,115.05,150
2024-02-02,12,115.07,150
2024-02-02,13,115.07,150
2024-02-02,14,115.08,135
2024-02-02,15,115.1,125
2024-02-02,16,127.83,103
2024-02-02,17,170.83,91
2024-02-02,18,200.5,60
2024-02-02,19,202.75,30
2024-02-02,20,200.25,80
2024-02-02,21,198.05,101
2024-02-02,22,155.07,101
2024-02-02,23,65.02,235
2024-02-03,0,60.04,265
2024-02-03,1,60.02,289
2024-02-03,2,54.05,355
2024-02-03,3,53.62,368
2024-02-03,4,54.15,352
2024-02-03,5,60.03,274
2024-02-03,6,60.06,219
2024-02-03,7,100.09,144
2024-02-03,8,100.08,157
2024-02-03,9,100.08,160
2024-02-03,10,100.09,145
2024-02-03,11,100.09,141
2024-02-03,12,100.08,164
2024-02-03,13,100.07,184
2024-02-03,14,100.07,182
2024-02-03,15,100.08,157
2024-02-03,16,100.09,145
2024-02-03,17,168.49,106
2024-02-03,18,169.93,80
2024-02-03,19,169.93,80
2024-02-03,20,202.33,45
2024-02-03,21,201.14,65
2024-02-03,22,60.09,125
2024-02-03,23,60.03,225
2024-02-04,0,60.03,277
2024-02-04,1,60.01,307
2024-02-04,2,54.34,342
2024-02-04,3,60.01,304
2024-02-04,4,60.02,292
2024-02-04,5,60.04,261
2024-02-04,6,54.07,294
2024-02-04,7,54.55,319
2024-02-04,8,53.29,331
2024-02-04,9,53.05,330
2024-02-04,10,52.91,319
2024-02-04,11,51.44,382
2024-02-04,12,51.62,379
2024-02-04,13,53.44,231
2024-02-04,14,77.07,332
2024-02-04,15,99.96,330
2024-02-04,16,100.03,269
2024-02-04,17,100.06,214
2024-02-04,18,100.07,144
2024-02-04,19,200.88,55
2024-02-04,20,202.38,45
2024-02-04,21,202.38,45
2024-02-04,22,176.7,45
2024-02-04,23,60.06,178
2024-02-05,0,55.09,325
2024-02-05,1,55.07,326
2024-02-05,2,55.04,326
2024-02-05,3,55.04,323
2024-02-05,4,65.04,239
2024-02-05,5,71.17,139
2024-02-05,6,105.05,165
2024-02-05,7,104.77,215
2024-02-05,8,103.57,237
2024-02-05,9,103.22,240
2024-02-05,10,105.03,247
2024-02-05,11,105.06,233
2024-02-05,12,115.01,217
2024-02-05,13,115.03,203
2024-02-05,14,115.06,176
2024-02-05,15,115.08,158
2024-02-05,16,115.09,147
2024-02-05,17,149.94,126
2024-02-05,18,199.96,67
2024-02-05,19,200.13,65
2024-02-05,20,201.73,55
2024-02-05,21,200.84,70
2024-02-05,22,170.7,76
2024-02-05,23,65.07,151
2024-02-06,0,65.04,221
2024-02-06,1,65.04,225
2024-02-06,2,65.02,253
2024-02-06,3,65.02,248
2024-02-06,4,65.07,163
2024-02-06,5,121.22,73
2024-02-06,6,191.84,45
2024-02-06,7,105.94,90
2024-02-06,8,105.81,100
2024-02-06,9,105.76,100
2024-02-06,10,115.07,120
2024-02-06,11,119.58,125
2024-02-06,12,115.09,110
2024-02-06,13,119.13,90
2024-02-06,14,120.39,73
2024-02-06,15,120.8,70
2024-02-06,16,133.45,45
2024-02-06,17,167.73,90
2024-02-06,18,202,40
2024-02-06,19,201.92,40
2024-02-06,20,201.92,40
2024-02-06,21,201.54,45
2024-02-06,22,174.04,45
2024-02-06,23,65.1,86
2024-02-07,0,70.02,235
2024-02-07,1,70,260
2024-02-07,2,60.09,301
2024-02-07,3,67.12,295
2024-02-07,4,70.01,255
2024-02-07,5,72.58,126
2024-02-07,6,105.03,170
2024-02-07,7,103.58,220
2024-02-07,8,101.65,275
2024-02-07,9,102.22,253
2024-02-07,10,105.02,233
2024-02-07,11,105.03,225
2024-02-07,12,105.07,222
2024-02-07,13,112.05,208
2024-02-07,14,120.64,180
2024-02-07,15,115.04,177
2024-02-07,16,115.06,155
2024-02-07,17,115.08,130
2024-02-07,18,199.98,67
2024-02-07,19,199.96,67
2024-02-07,20,199.92,75
2024-02-07,21,198.07,88
2024-02-07,22,167.73,80
2024-02-07,23,70.05,135
2024-02-08,0,70.04,215
2024-02-08,1,70.03,230
2024-02-08,2,70.02,245
2024-02-08,3,70.02,240
2024-02-08,4,70.05,200
2024-02-08,5,106.98,124
2024-02-08,6,105.06,125
2024-02-08,7,105.04,145
2024-02-08,8,103.96,180
2024-02-08,9,105.03,145
2024-02-08,10,123.82,140
2024-02-08,11,123.77,140
2024-02-08,12,123.99,140
2024-02-08,13,124,140
2024-02-08,14,125,120
2024-02-08,15,115.1,100
2024-02-08,16,130.53,65
2024-02-08,17,176.45,45
2024-02-08,18,202,40
2024-02-08,19,201.76,40
2024-02-08,20,201.76,40
2024-02-08,21,201.35,45
2024-02-08,22,173.45,45
2024-02-08,23,70.07,125
2024-02-09,0,70.06,190
2024-02-09,1,70.05,205
2024-02-09,2,70.04,215
2024-02-09,3,70.04,215
2024-02-09,4,70.07,175
2024-02-09,5,119.69,115
2024-02-09,6,105.07,122
2024-02-09,7,105.06,132
2024-02-09,8,105.04,135
2024-02-09,9,105.03,140
2024-02-09,10,124.71,130
2024-02-09,11,124.7,130
2024-02-09,12,124.75,130
2024-02-09,13,124.75,130
2024-02-09,14,125.02,105
2024-02-09,15,115.1,85
2024-02-09,16,128.18,67
2024-02-09,17,175.6,45
2024-02-09,18,201.92,40
2024-02-09,19,202,40
2024-02-09,20,202.04,40
2024-02-09,21,201.67,45
2024-02-09,22,174.44,45
2024-02-09,23,75.92,95
2024-02-10,0,70.06,212
2024-02-10,1,70.04,237
2024-02-10,2,70.02,272
2024-02-10,3,70.01,292
2024-02-10,4,70.02,282
2024-02-10,5,70.04,227
2024-02-10,6,70.09,197
2024-02-10,7,125.02,207
2024-02-10,8,125.02,196
2024-02-10,9,125.01,197
2024-02-10,10,118.95,225
2024-02-10,11,79.5,232
2024-02-10,12,125,225
2024-02-10,13,125,225
2024-02-10,14,109.94,235
2024-02-10,15,125.02,212
2024-02-10,16,125.03,200
2024-02-10,17,125.05,173
2024-02-10,18,125.08,111
2024-02-10,19,188.15,62
2024-02-10,20,191.5,45
2024-02-10,21,189,60
2024-02-10,22,70.07,145
2024-02-10,23,70.03,215
2024-02-11,0,70.03,270
2024-02-11,1,70.01,295
2024-02-11,2,59.07,311
2024-02-11,3,70,309
2024-02-11,4,70.01,297
2024-02-11,5,70.01,281
2024-02-11,6,55.09,270
2024-02-11,7,77.04,293
2024-02-11,8,55.02,333
2024-02-11,9,27.04,360
2024-02-11,10,26.55,385
2024-02-11,11,26.06,405
2024-02-11,12,26.07,405
2024-02-11,13,26.09,400
2024-02-11,14,44.96,395
2024-02-11,15,45.95,390
2024-02-11,16,77.02,335
2024-02-11,17,95.02,300
2024-02-11,18,125,225
2024-02-11,19,185.96,75
2024-02-11,20,191.58,45
2024-02-11,21,187.42,70
2024-02-11,22,70.07,145
2024-02-11,23,70,270
2024-02-12,0,55.96,338
2024-02-12,1,55.05,349
2024-02-12,2,55.02,350
2024-02-12,3,55.02,350
2024-02-12,4,58.96,305
2024-02-12,5,70.03,225
2024-02-12,6,103.09,232
2024-02-12,7,101.89,265
2024-02-12,8,101.59,265
2024-02-12,9,101.1,275
2024-02-12,10,102.79,280
2024-02-12,11,102.89,275
2024-02-12,12,103.75,260
2024-02-12,13,106.97,240
2024-02-12,14,113.53,225
2024-02-12,15,125.01,205
2024-02-12,16,125.03,195
2024-02-12,17,125.03,190
2024-02-12,18,104.21,90
2024-02-12,19,192.96,35
2024-02-12,20,194.92,25
2024-02-12,21,149.95,84
2024-02-12,22,96.9,84
2024-02-12,23,67.22,260
2024-02-13,0,67.24,289
2024-02-13,1,55.07,305
2024-02-13,2,55.04,301
2024-02-13,3,55.07,305
2024-02-13,4,70.03,235
2024-02-13,5,70.04,215
2024-02-13,6,99.1,197
2024-02-13,7,102.32,237
2024-02-13,8,100.44,290
2024-02-13,9,100.74,275
2024-02-13,10,103.16,255
2024-02-13,11,102.92,260
2024-02-13,12,103.43,255
2024-02-13,13,103.63,250
2024-02-13,14,103.69,250
2024-02-13,15,104.39,250
2024-02-13,16,123.5,220
2024-02-13,17,125.02,195
2024-02-13,18,107.15,80
2024-02-13,19,190.25,50
2024-02-13,20,189.38,55
2024-02-13,21,104.34,105
2024-02-13,22,70.08,127
2024-02-13,23,67.34,259
2024-02-14,0,67.02,300
2024-02-14,1,50.09,303
2024-02-14,2,50.08,303
2024-02-14,3,50.08,303
2024-02-14,4,50.09,307
2024-02-14,5,70.02,255
2024-02-14,6,99.92,275
2024-02-14,7,99.2,315
2024-02-14,8,96.09,335
2024-02-14,9,99.26,295
2024-02-14,10,103.2,260
2024-02-14,11,103.23,255
2024-02-14,12,103.66,240
