date,hour,price,volume
2022-12-01,0,226.1,27.0
2022-12-01,1,167.34,56.0
2022-12-01,2,160.37,75.0
2022-12-01,3,159.91,75.0
2022-12-01,4,160.92,67.0
2022-12-01,5,220.29,54.0
2022-12-01,6,209.41,66.0
2022-12-01,7,226.8,51.0
2022-12-01,8,213.6,66.0
2022-12-01,9,239.0,44.0
2022-12-01,10,154.21,34.0
2022-12-01,11,162.19,45.0
2022-12-01,12,160.11,51.0
2022-12-01,13,147.97,76.0
2022-12-01,14,146.93,79.0
2022-12-01,15,140.35,74.0
2022-12-01,16,195.98,50.0
2022-12-01,17,285.94,61.0
2022-12-01,18,316.41,18.0
2022-12-01,19,325.22,0.0
2022-12-01,20,325.22,0.0
2022-12-01,21,313.63,11.0
2022-12-01,22,330.74,53.0
2022-12-01,23,206.76,20.0
2022-12-02,0,95.29,248.0
2022-12-02,1,70.09,261.0
2022-12-02,2,70.05,248.0
2022-12-02,3,70.04,246.0
2022-12-02,4,70.01,238.0
2022-12-02,5,200.82,241.0
2022-12-02,6,229.6,244.0
2022-12-02,7,229.88,191.0
2022-12-02,8,230.84,147.0
2022-12-02,9,230.95,142.0
2022-12-02,10,138.55,105.0
2022-12-02,11,139.36,99.0
2022-12-02,12,138.66,103.0
2022-12-02,13,140.69,99.0
2022-12-02,14,138.63,100.0
2022-12-02,15,138.63,112.0
2022-12-02,16,202.92,176.0
2022-12-02,17,284.13,172.0
2022-12-02,18,287.93,78.0
2022-12-02,19,332.92,38.0
2022-12-02,20,332.92,53.0
2022-12-02,21,310.13,99.0
2022-12-02,22,332.92,127.0
2022-12-02,23,234.12,177.0
2022-12-03,0,125.8,86.0
2022-12-03,1,124.36,107.0
2022-12-03,2,122.7,123.0
2022-12-03,3,121.94,128.0
2022-12-03,4,121.94,128.0
2022-12-03,5,54.82,106.0
2022-12-03,6,87.07,141.0
2022-12-03,7,114.36,107.0
2022-12-03,8,214.5,65.0
2022-12-03,9,243.0,43.0
2022-12-03,10,159.07,20.0
2022-12-03,11,162.88,9.0
2022-12-03,12,156.99,26.0
2022-12-03,13,154.21,34.0
2022-12-03,14,156.29,52.0
2022-12-03,15,152.83,62.0
2022-12-03,16,174.22,65.0
2022-12-03,17,256.0,64.0
2022-12-03,18,314.3,7.0
2022-12-03,19,329.24,0.0
2022-12-03,20,329.24,0.0
2022-12-03,21,329.24,2.0
2022-12-03,22,329.24,78.0
2022-12-03,23,236.99,93.0
2022-12-04,0,99.39,160.0
2022-12-04,1,97.27,186.0
2022-12-04,2,95.65,206.0
2022-12-04,3,82.28,223.0
2022-12-04,4,82.21,221.0
2022-12-04,5,81.55,215.0
2022-12-04,6,82.21,101.0
2022-12-04,7,173.6,71.0
2022-12-04,8,82.0,97.0
2022-12-04,9,80.47,190.0
2022-12-04,10,80.8,174.0
2022-12-04,11,80.91,167.0
