date,hour,price,volume
2021-09-01,0,42.07,196.0
2021-09-01,1,42.06,192.0
2021-09-01,2,42.06,188.0
2021-09-01,3,42.06,190.0
2021-09-01,4,42.07,196.0
2021-09-01,5,45.96,237.0
2021-09-01,6,195.02,136.0
2021-09-01,7,195.05,155.3
2021-09-01,8,195.04,123.3
2021-09-01,9,109.2,127.0
2021-09-01,10,100.1,143.2
2021-09-01,11,90.08,148.0
2021-09-01,12,90.05,148.0
2021-09-01,13,90.02,138.0
2021-09-01,14,90.03,138.0
2021-09-01,15,90.05,138.0
2021-09-01,16,90.07,138.0
2021-09-01,17,220.07,158.0
2021-09-01,18,268.54,110.0
2021-09-01,19,260.15,126.0
2021-09-01,20,185.07,126.0
2021-09-01,21,100.19,215.0
2021-09-01,22,53.67,215.0
2021-09-01,23,42.06,196.0
2021-09-02,0,40.07,186.0
2021-09-02,1,40.06,182.0
2021-09-02,2,40.06,180.0
2021-09-02,3,40.06,180.0
2021-09-02,4,40.07,186.0
2021-09-02,5,40.09,213.0
2021-09-02,6,190.03,160.0
2021-09-02,7,190.04,160.6
2021-09-02,8,190.01,116.7
2021-09-02,9,100.09,121.0
2021-09-02,10,100.03,138.0
2021-09-02,11,89.04,138.0
2021-09-02,12,89.02,138.0
2021-09-02,13,89.0,138.0
2021-09-02,14,89.0,138.0
2021-09-02,15,89.03,138.0
2021-09-02,16,89.07,138.0
2021-09-02,17,210.06,138.0
2021-09-02,18,257.94,94.0
2021-09-02,19,270.46,100.0
2021-09-02,20,185.13,60.0
2021-09-02,21,95.07,201.9
2021-09-02,22,53.83,206.0
2021-09-02,23,40.06,196.0
2021-09-03,0,41.98,222.0
2021-09-03,1,41.96,238.0
2021-09-03,2,41.95,246.0
2021-09-03,3,41.93,269.0
2021-09-03,4,41.96,255.0
2021-09-03,5,45.96,249.0
2021-09-03,6,190.01,135.2
2021-09-03,7,190.04,157.7
2021-09-03,8,190.03,128.6
2021-09-03,9,184.68,128.1
2021-09-03,10,94.21,138.0
2021-09-03,11,89.07,138.0
2021-09-03,12,89.03,138.0
2021-09-03,13,87.42,138.0
2021-09-03,14,88.0,138.0
2021-09-03,15,89.0,138.0
2021-09-03,16,88.16,138.0
2021-09-03,17,210.07,194.0
2021-09-03,18,263.46,134.0
2021-09-03,19,258.34,147.0
2021-09-03,20,185.06,106.0
2021-09-03,21,95.02,218.4
2021-09-03,22,53.68,195.0
2021-09-03,23,41.94,256.0
2021-09-04,0,39.97,182.0
2021-09-04,1,39.95,208.0
2021-09-04,2,39.93,221.0
2021-09-04,3,39.93,222.0
2021-09-04,4,39.94,213.0
2021-09-04,5,39.92,207.0
2021-09-04,6,39.92,227.0
2021-09-04,7,59.97,170.0
2021-09-04,8,60.0,141.0
2021-09-04,9,91.67,138.0
2021-09-04,10,88.84,138.0
2021-09-04,11,85.66,138.0
2021-09-04,12,40.0,99.0
2021-09-04,13,39.99,125.0
2021-09-04,14,39.99,120.0
2021-09-04,15,39.99,115.0
2021-09-04,16,39.97,149.0
2021-09-04,17,40.0,123.0
2021-09-04,18,60.0,87.0
2021-09-04,19,65.0,93.0
2021-09-04,20,39.98,122.0
2021-09-04,21,39.97,182.0
2021-09-04,22,39.98,196.0
2021-09-04,23,39.92,257.0
2021-09-05,0,39.95,217.0
2021-09-05,1,39.92,248.0
2021-09-05,2,39.91,249.0
2021-09-05,3,39.9,257.0
2021-09-05,4,39.9,267.0
2021-09-05,5,39.91,276.0
2021-09-05,6,32.08,299.0
2021-09-05,7,39.92,325.0
2021-09-05,8,39.94,289.0
2021-09-05,9,39.96,250.0
2021-09-05,10,39.98,202.0
2021-09-05,11,39.97,209.0
2021-09-05,12,39.96,226.0
2021-09-05,13,39.95,229.0
2021-09-05,14,39.95,224.0
2021-09-05,15,39.95,228.0
2021-09-05,16,39.97,248.0
2021-09-05,17,39.98,172.0
2021-09-05,18,40.0,70.0
2021-09-05,19,67.71,102.0
2021-09-05,20,39.98,169.0
