date,hour,price,volume
2024-05-01,0,25.03,58
2024-05-01,1,25.03,67
2024-05-01,2,25.03,67
2024-05-01,3,25.03,68
2024-05-01,4,25.03,68
2024-05-01,5,25.03,60
2024-05-01,6,23,15
2024-05-01,7,22.5,10
2024-05-01,8,30.08,100
2024-05-01,9,27.08,125
2024-05-01,10,27.02,150
2024-05-01,11,25.09,160
2024-05-01,12,27,175
2024-05-01,13,25.09,181
2024-05-01,14,25.09,189
2024-05-01,15,25.09,185
2024-05-01,16,27.09,160
2024-05-01,17,100,110
2024-05-01,18,27.09,25
2024-05-01,19,154.65,14
2024-05-01,20,20.86,6
2024-05-01,21,20.78,7
2024-05-01,22,25.03,50
2024-05-01,23,25.03,50
2024-05-02,0,25.03,58
2024-05-02,1,25.03,67
2024-05-02,2,25.03,67
2024-05-02,3,25.03,68
2024-05-02,4,25.03,68
2024-05-02,5,25.03,60
2024-05-02,6,23,15
2024-05-02,7,22.5,10
2024-05-02,8,30.08,100
2024-05-02,9,27.08,125
2024-05-02,10,27.02,150
2024-05-02,11,25.09,160
2024-05-02,12,27,175
2024-05-02,13,25.09,181
2024-05-02,14,25.09,189
2024-05-02,15,25.09,185
2024-05-02,16,27.09,160
2024-05-02,17,100,110
2024-05-02,18,27.09,25
2024-05-02,19,154.65,14
2024-05-02,20,20.86,6
2024-05-02,21,20.78,7
2024-05-02,22,25.03,50
2024-05-02,23,25.03,50
2024-05-03,0,15.1,129
2024-05-03,1,15.09,136
2024-05-03,2,15.09,134
2024-05-03,3,15.09,135
2024-05-03,4,30.19,140
2024-05-03,5,30.23,90
2024-05-03,6,34.96,96
2024-05-03,7,34.91,86
2024-05-03,8,60.02,170
2024-05-03,9,60.06,180
2024-05-03,10,44.03,180
2024-05-03,11,44.04,190
2024-05-03,12,44.05,185
2024-05-03,13,44.05,195
2024-05-03,14,44.06,170
2024-05-03,15,44.06,160
2024-05-03,16,100.01,110
2024-05-03,17,44.07,115
2024-05-03,18,70.43,55
2024-05-03,19,102.14,6
2024-05-03,20,50.06,15
2024-05-03,21,44.05,55
2024-05-03,22,30.21,100
2024-05-03,23,15.09,125
2024-05-04,0,15.06,108
2024-05-04,1,15.05,108
2024-05-04,2,15.04,108
2024-05-04,3,15.04,108
2024-05-04,4,15.04,108
2024-05-04,5,15.05,94
2024-05-04,6,15.06,55
2024-05-04,7,16,67
2024-05-04,8,39.92,136
2024-05-04,9,37.94,140
2024-05-04,10,30.06,160
2024-05-04,11,30.01,175
2024-05-04,12,27.05,180
2024-05-04,13,27.05,190
2024-05-04,14,27.06,200
2024-05-04,15,27.03,210
2024-05-04,16,27.09,180
2024-05-04,17,30.39,125
2024-05-04,18,39.93,61
2024-05-04,19,44.33,45
2024-05-04,20,15.06,42
2024-05-04,21,15.05,43
2024-05-04,22,15.05,74
2024-05-04,23,15.06,88
2024-05-05,0,15.04,100
2024-05-05,1,15.03,100
2024-05-05,2,15.02,100
2024-05-05,3,15.02,100
2024-05-05,4,15.03,100
2024-05-05,5,15.03,100
2024-05-05,6,15.02,58
2024-05-05,7,15.01,43
2024-05-05,8,27.05,170
2024-05-05,9,27,200
2024-05-05,10,15.07,204
2024-05-05,11,15.07,209
2024-05-05,12,15.07,211
2024-05-05,13,15.07,218
2024-05-05,14,15.06,232
2024-05-05,15,15.07,227
2024-05-05,16,27.05,205
2024-05-05,17,70.77,113
2024-05-05,18,80.1,16
2024-05-05,19,80.1,16
2024-05-05,20,27.68,40
2024-05-05,21,15.03,43
2024-05-05,22,15.06,83
2024-05-05,23,15.03,83
2024-05-06,0,15.03,102
2024-05-06,1,15.03,102
2024-05-06,2,15.03,102
2024-05-06,3,15.03,102
2024-05-06,4,15.04,117
2024-05-06,5,30.37,120
2024-05-06,6,29.91,72
2024-05-06,7,44.98,77
2024-05-06,8,39.96,163
2024-05-06,9,39.95,168
2024-05-06,10,39.91,157
2024-05-06,11,30.09,160
2024-05-06,12,30.08,165
2024-05-06,13,30.07,175
2024-05-06,14,39.91,179
2024-05-06,15,39.97,171
2024-05-06,16,100.03,128
2024-05-06,17,100.03,108
2024-05-06,18,70.95,55
2024-05-06,19,100.99,30
2024-05-06,20,44.35,45
2024-05-06,21,25.08,71
2024-05-06,22,15.07,92
2024-05-06,23,15.05,92
2024-05-07,0,14.99,157
2024-05-07,1,14.98,157
2024-05-07,2,14.98,163
2024-05-07,3,14.98,164
2024-05-07,4,16.95,165
2024-05-07,5,30.31,145
2024-05-07,6,29.93,108
2024-05-07,7,29.95,107
2024-05-07,8,30.42,184
2024-05-07,9,31.01,191
2024-05-07,10,31.34,204
2024-05-07,11,29.98,242
2024-05-07,12,29.96,245
2024-05-07,13,29.98,255
2024-05-07,14,44.21,255
2024-05-07,15,44.22,245
2024-05-07,16,59.36,150
2024-05-07,17,100.04,105
2024-05-07,18,100.04,65
2024-05-07,19,120.04,37
2024-05-07,20,44.26,45
2024-05-07,21,38.45,120
2024-05-07,22,30.31,120
2024-05-07,23,14.99,138
2024-05-08,0,20.94,165
2024-05-08,1,15.59,180
2024-05-08,2,15.58,185
2024-05-08,3,15.59,185
2024-05-08,4,30.5,155
2024-05-08,5,30.52,120
2024-05-08,6,36.2,137
2024-05-08,7,29.99,122
2024-05-08,8,71.23,165
2024-05-08,9,71.22,160
2024-05-08,10,44.51,175
2024-05-08,11,44.51,185
2024-05-08,12,44.51,195
2024-05-08,13,44.51,205
2024-05-08,14,44.51,200
2024-05-08,15,44.52,180
2024-05-08,16,75.5,150
2024-05-08,17,100.06,85
2024-05-08,18,100.02,75
2024-05-08,19,100.08,55
2024-05-08,20,100.04,26
2024-05-08,21,44.54,50
2024-05-08,22,30.52,95
2024-05-08,23,30.5,120
2024-05-09,0,22.04,175
2024-05-09,1,22.01,185
2024-05-09,2,15,189
2024-05-09,3,22,190
2024-05-09,4,31.03,180
2024-05-09,5,25.06,134
2024-05-09,6,25.08,92
2024-05-09,7,27.9,86
2024-05-09,8,34.99,169
2024-05-09,9,71.11,165
2024-05-09,10,44.43,195
2024-05-09,11,44.43,205
2024-05-09,12,44.42,210
2024-05-09,13,35,228
2024-05-09,14,44.43,215
2024-05-09,15,44.42,225
2024-05-09,16,44.46,185
2024-05-09,17,100.06,95
2024-05-09,18,100.04,65
2024-05-09,19,110.07,47
2024-05-09,20,44.46,70
2024-05-09,21,38.45,125
2024-05-09,22,31.05,125
2024-05-09,23,22.07,155
2024-05-10,0,30.39,110
2024-05-10,1,30.38,120
2024-05-10,2,30.38,125
2024-05-10,3,30.38,125
2024-05-10,4,30.41,105
2024-05-10,5,122.54,53
2024-05-10,6,34.97,85
2024-05-10,7,27.97,82
2024-05-10,8,75.04,110
2024-05-10,9,75.1,105
2024-05-10,10,60.04,105
2024-05-10,11,46.94,120
2024-05-10,12,60.08,125
2024-05-10,13,60.05,135
2024-05-10,14,60.08,140
2024-05-10,15,60.1,130
2024-05-10,16,100.06,122
2024-05-10,17,100.04,102
2024-05-10,18,100.04,72
2024-05-10,19,122,43
2024-05-10,20,90,40
2024-05-10,21,44.32,60
2024-05-10,22,50.04,55
2024-05-10,23,22.05,185
2024-05-11,0,40.1,110
2024-05-11,1,40.07,128
2024-05-11,2,40.07,133
2024-05-11,3,40.07,135
2024-05-11,4,40.08,120
2024-05-11,5,40.05,130
2024-05-11,6,40.04,89
2024-05-11,7,35.01,165
2024-05-11,8,62,110
2024-05-11,9,62.01,108
2024-05-11,10,62.02,80
2024-05-11,11,60.07,105
2024-05-11,12,62.06,75
2024-05-11,13,30.4,76
2024-05-11,14,30.38,90
2024-05-11,15,30.38,86
2024-05-11,16,30.41,94
2024-05-11,17,27.98,80
2024-05-11,18,44.31,70
2024-05-11,19,50.96,40
2024-05-11,20,31.38,38
2024-05-11,21,31,39
2024-05-11,22,40.09,77
2024-05-11,23,40.08,105
2024-05-12,0,40.07,140
2024-05-12,1,40.05,153
2024-05-12,2,40.05,157
2024-05-12,3,40.05,157
2024-05-12,4,40.07,143
2024-05-12,5,40.06,130
2024-05-12,6,40.03,95
2024-05-12,7,40.06,60
2024-05-12,8,40.08,49
2024-05-12,9,40.03,89
2024-05-12,10,40.06,67
2024-05-12,11,40.03,90
2024-05-12,12,40.04,112
2024-05-12,13,40.03,130
2024-05-12,14,40.03,140
2024-05-12,15,40.04,131
2024-05-12,16,40.07,119
2024-05-12,17,185.29,28
2024-05-12,18,122.02,28
2024-05-12,19,122.02,28
2024-05-12,20,100.03,33
2024-05-12,21,60.01,31
2024-05-12,22,40.09,85
2024-05-12,23,40.07,117
2024-05-13,0,40.08,145
2024-05-13,1,40.07,155
2024-05-13,2,40.04,160
2024-05-13,3,40.04,160
2024-05-13,4,60.02,106
2024-05-13,5,123.2,44
2024-05-13,6,44.29,120
2024-05-13,7,40.08,110
2024-05-13,8,62.05,120
2024-05-13,9,70.82,55
2024-05-13,10,62.09,30
2024-05-13,11,62.09,30
2024-05-13,12,136.29,33
2024-05-13,13,136.43,38
2024-05-13,14,137.1,38
2024-05-13,15,137.37,43
2024-05-13,16,137.91,43
2024-05-13,17,100.08,70
2024-05-13,18,100.08,69
2024-05-13,19,122.09,38
2024-05-13,20,119.99,38
2024-05-13,21,70.98,15
2024-05-13,22,119.99,54
2024-05-13,23,40.08,106
2024-05-14,0,60.62,205
2024-05-14,1,57.38,205
2024-05-14,2,55.85,185
2024-05-14,3,56.28,185
2024-05-14,4,65,181
2024-05-14,5,119.93,84
2024-05-14,6,44.71,215
2024-05-14,7,39.96,140
2024-05-14,8,65.03,105
2024-05-14,9,65.03,105
2024-05-14,10,71.01,154
2024-05-14,11,71.01,120
2024-05-14,12,71.03,120
2024-05-14,13,44.72,120
2024-05-14,14,44.73,120
2024-05-14,15,65,120
2024-05-14,16,120,103
2024-05-14,17,89.96,85
2024-05-14,18,100.06,69
2024-05-14,19,122.05,48
2024-05-14,20,44.74,50
2024-05-14,21,44.73,75
2024-05-14,22,61.13,170
2024-05-14,23,55.59,170
2024-05-15,0,39.99,205
2024-05-15,1,39.97,205
2024-05-15,2,39.96,185
2024-05-15,3,39.97,185
2024-05-15,4,65,174
2024-05-15,5,79.86,69
2024-05-15,6,65.04,123
2024-05-15,7,65.05,130
2024-05-15,8,65.03,48
2024-05-15,9,65.01,48
2024-05-15,10,44.8,57
2024-05-15,11,44.81,64
2024-05-15,12,44.83,60
2024-05-15,13,39.93,69
2024-05-15,14,39.95,70
2024-05-15,15,44.8,73
2024-05-15,16,81.14,67
2024-05-15,17,89.98,89
2024-05-15,18,121.31,113
2024-05-15,19,122.08,91
2024-05-15,20,89.96,55
2024-05-15,21,39.95,99
2024-05-15,22,65.01,153
2024-05-15,23,55.28,165
2024-05-16,0,52.53,197
2024-05-16,1,39.99,202
2024-05-16,2,39.97,182
2024-05-16,3,39.98,182
2024-05-16,4,55.01,175
2024-05-16,5,65.05,100
2024-05-16,6,65.03,155
2024-05-16,7,65.04,145
2024-05-16,8,65.01,33
2024-05-16,9,39.94,33
2024-05-16,10,44.67,38
2024-05-16,11,65.06,39
2024-05-16,12,65.04,38
2024-05-16,13,40.77,40
2024-05-16,14,40.65,45
2024-05-16,15,41.5,51
2024-05-16,16,44.65,59
2024-05-16,17,89.77,107
2024-05-16,18,125.09,58
2024-05-16,19,186.58,48
2024-05-16,20,110,60
2024-05-16,21,44.65,95
2024-05-16,22,64.94,139
2024-05-16,23,56.61,144
2024-05-17,0,39.95,192
2024-05-17,1,39.94,192
2024-05-17,2,39.93,172
2024-05-17,3,39.94,172
2024-05-17,4,39.98,172
2024-05-17,5,55.05,153
2024-05-17,6,65.03,140
2024-05-17,7,65.04,145
2024-05-17,8,65.05,24
2024-05-17,9,65.01,23
2024-05-17,10,44.82,49
2024-05-17,11,44.83,61
2024-05-17,12,44.83,59
2024-05-17,13,41.17,64
2024-05-17,14,41.38,68
2024-05-17,15,41.53,69
2024-05-17,16,44.81,60
2024-05-17,17,138.67,75
2024-05-17,18,185.09,44
2024-05-17,19,186.4,40
2024-05-17,20,129.92,38
2024-05-17,21,44.81,91
2024-05-17,22,60.4,142
2024-05-17,23,55,161
2024-05-18,0,58,170
2024-05-18,1,55.03,184
2024-05-18,2,31.02,175
2024-05-18,3,31.02,177
2024-05-18,4,53.01,170
2024-05-18,5,56.96,150
2024-05-18,6,65.01,157
2024-05-18,7,65.01,160
2024-05-18,8,65.04,120
2024-05-18,9,65.06,87
2024-05-18,10,65.04,116
2024-05-18,11,45.22,125
2024-05-18,12,57.14,106
2024-05-18,13,40.74,81
2024-05-18,14,40.67,95
2024-05-18,15,40.86,101
2024-05-18,16,41.31,101
2024-05-18,17,52.66,81
2024-05-18,18,79.3,87
2024-05-18,19,82.4,87
2024-05-18,20,52.49,60
2024-05-18,21,40.41,130
2024-05-18,22,61.27,142
2024-05-18,23,56.1,145
2024-05-19,0,55.04,184
2024-05-19,1,34.94,200
2024-05-19,2,30.98,211
2024-05-19,3,30.04,225
2024-05-19,4,30.1,213
2024-05-19,5,54.21,172
2024-05-19,6,65.02,150
2024-05-19,7,65.07,87
2024-05-19,8,71.09,77
2024-05-19,9,71.03,102
2024-05-19,10,57.31,140
