date,year,month,meanDailyCapFactor,meanDailyEnergyMWh,p90DailyEnergyMWh,p10DailyEnergyMWh,monthlyEnergyMWh,wind_meanDailyCapFactor,wind_monthlyEnergyMWh,wind_meanDailyEnergyMWh,wind_p90DailyEnergyMWh,wind_p10DailyEnergyMWh,solar_meanDailyCapFactor,solar_monthlyEnergyMWh,solar_meanDailyEnergyMWh,solar_p90DailyEnergyMWh,solar_p10DailyEnergyMWh
978300000000,2001,1,0.12805469125360608,630.0290809677418,1425.9951999999998,275.8198,19530.901509999996,0.0913009259259259,12227.020000000002,394.4200000000001,1171.92,29.91,0.39268180161290317,7303.881509999997,235.60908096774185,271.66690000000006,182.16129999999998
980978400000,2001,2,0.11422047383130081,561.96473125,944.2149045000001,323.17019,15735.012475,0.09508655753968254,11501.67,410.7739285714286,774.2950000000002,156.877,0.25198467113095235,4233.342475,151.19080267857143,201.00911000000002,93.4058445
983397600000,2001,3,0.2734124437713087,1345.189223354839,2558.6647000000003,378.88257,41700.865924000005,0.2652877090800478,35527.33000000001,1146.0429032258066,2338.88,178.25999999999996,0.331910533548387,6173.535924000001,199.1463201290323,243.47797,139.15568
986076000000,2001,4,0.4917586517825203,2419.4525667700004,3666.2791204000005,1297.487101,72583.57700310001,0.5111233796296297,66241.59,2208.053,3464.135,1099.864,0.3523326112833333,6341.987003100001,211.39956677000004,247.18290290000002,153.08908500000004
988668000000,2001,5,0.5800771292551797,2853.979475935484,4117.3958,1482.9951999999998,88473.363754,0.6129174133811229,82081.89999999998,2647.803225806451,3904.0400000000004,1288.33,0.343627083548387,6391.463754000001,206.1762501290323,238.32048999999998,166.4711
991346400000,2001,6,0.6095792864498646,2999.130089333334,3772.1517600000006,2073.75224,89973.90268000003,0.6498486882716049,84220.39,2807.3463333333334,3572.7980000000002,1855.245,0.31963959333333336,5753.51268,191.78375599999998,218.32769,146.204675
993938400000,2001,7,0.5944402072161028,2924.645819503226,4161.3758,1158.6016,90664.0204046,0.6281948178016725,84127.84999999998,2713.801612903225,3964.0599999999995,937.47,0.351407011,6536.1704046,210.8442066,233.36497,197.3158
996616800000,2001,8,0.4734910210346183,2329.5758234903224,4257.977099999999,1249.5685006,72216.8505282,0.4909260752688173,65744.81999999999,2120.80064516129,4127.86,1039.91,0.34795863054838716,6472.0305282,208.77517832903226,232.44343659999998,170.0134738
999295200000,2001,9,0.4491432908245257,2209.7849908566664,3817.7305569699997,1098.33467595,66293.5497257,0.4649213734567902,60253.81,2008.4603333333332,3580.798,882.9689999999999,0.3355410958722222,6039.739725699999,201.32465752333331,238.46337390000002,146.75188699999998
1001887200000,2001,10,0.500936839339103,2464.609249548387,3435.080999999999,1384.2669899999996,76402.886736,0.521513216845878,69841.04999999999,2252.9370967741934,3207.5800000000004,1125.0699999999997,0.3527869212903226,6561.836736000001,211.6721527741936,263.94768,129.72063
