year,yearlySpecificYield,normalisedYearlySpecificYield,exceedance
2001,2950.4195128440006,0.9569596734773643,1
2010,2977.4720991200006,0.9657340982724487,0.9642857142857143
2000,3006.798476556,0.9752460203747995,0.9285714285714286
2017,3009.9210233279996,0.9762588090058204,0.8928571428571429
2006,3011.5371538239992,0.9767829960595651,0.8571428571428572
2002,3012.7279683799993,0.9771692331704983,0.8214285714285714
2014,3033.2546806279997,0.9838270104001086,0.7857142857142857
2008,3048.9521032039997,0.9889184220849117,0.75
2020,3051.165553668001,0.9896363480693582,0.7142857142857143
1997,3066.650123064,0.9946587214669804,0.6785714285714286
2011,3069.6222270000007,0.9956227144177301,0.6428571428571428
2004,3074.211662108,0.9971112838578646,0.6071428571428572
2007,3077.984841936,0.9983351033589409,0.5714285714285714
2021,3079.5052811,0.9988282532176609,0.5357142857142857
2018,3086.730548092,1.0011717467823391,0.5
2012,3090.1030886040003,1.0022656201291982,0.4642857142857143
2005,3091.5851419199994,1.0027463196538524,0.4285714285714286
2016,3106.1310096400002,1.0074642279930497,0.3928571428571429
2009,3122.855599912,1.01288879842314,0.3571428571428571
2003,3126.266408776,1.0139950839945913,0.3214285714285714
1999,3128.1143091199997,1.0145944448997488,0.2857142857142857
1996,3130.9303507080003,1.0155078194984526,0.25
1995,3133.9683473040004,1.0164931845348069,0.2142857142857143
1998,3135.7554058200003,1.0170728115764907,0.1785714285714286
2013,3144.3950049239997,1.0198750394974851,0.1428571428571429
2019,3191.6454807079995,1.035200588857861,0.1071428571428571
2015,3193.464586256,1.0357906102577525,0.0714285714285714
1994,3217.666736884,1.0436405048444704,0.0357142857142857
