date,year,month,day,hour,wind_capFactor,solar_capFactor
2019-02-09T01:00:00.000+02:00,2019,2,9,1,0.25294444444444447,0
2019-02-09T02:00:00.000+02:00,2019,2,9,2,0.3176111111111111,0
2019-02-09T03:00:00.000+02:00,2019,2,9,3,0.4315555555555556,0
2019-02-09T04:00:00.000+02:00,2019,2,9,4,0.3980555555555556,0
2019-02-09T05:00:00.000+02:00,2019,2,9,5,0.3983333333333334,0
2019-02-09T06:00:00.000+02:00,2019,2,9,6,0.2688333333333333,0.072
2019-02-09T07:00:00.000+02:00,2019,2,9,7,0.14372222222222222,0.64664
2019-02-09T08:00:00.000+02:00,2019,2,9,8,0.1223888888888889,0.9632
2019-02-09T09:00:00.000+02:00,2019,2,9,9,0.09344444444444444,1
2019-02-09T10:00:00.000+02:00,2019,2,9,10,0.0745,1
2019-02-09T11:00:00.000+02:00,2019,2,9,11,0.06494444444444444,1
2019-02-09T12:00:00.000+02:00,2019,2,9,12,0.05077777777777778,1
2019-02-09T13:00:00.000+02:00,2019,2,9,13,0.06933333333333333,1
2019-02-09T14:00:00.000+02:00,2019,2,9,14,0.12505555555555556,1
2019-02-09T15:00:00.000+02:00,2019,2,9,15,0.3063888888888889,1
2019-02-09T16:00:00.000+02:00,2019,2,9,16,0.4291111111111111,1
2019-02-09T17:00:00.000+02:00,2019,2,9,17,0.6102777777777777,0.81956
2019-02-09T18:00:00.000+02:00,2019,2,9,18,0.7345,0.19946
2019-02-09T19:00:00.000+02:00,2019,2,9,19,0.7733888888888889,0
2019-02-09T20:00:00.000+02:00,2019,2,9,20,0.7363333333333333,0
2019-02-09T21:00:00.000+02:00,2019,2,9,21,0.6780555555555555,0
2019-02-09T22:00:00.000+02:00,2019,2,9,22,0.479,0
2019-02-09T23:00:00.000+02:00,2019,2,9,23,0.46272222222222226,0
2019-02-10T00:00:00.000+02:00,2019,2,10,0,0.3457222222222222,0
2019-02-10T01:00:00.000+02:00,2019,2,10,1,0.2781666666666667,0
2019-02-10T02:00:00.000+02:00,2019,2,10,2,0.27844444444444444,0
2019-02-10T03:00:00.000+02:00,2019,2,10,3,0.36350000000000005,0
2019-02-10T04:00:00.000+02:00,2019,2,10,4,0.33011111111111113,0
2019-02-10T05:00:00.000+02:00,2019,2,10,5,0.34255555555555556,0
2019-02-10T06:00:00.000+02:00,2019,2,10,6,0.19872222222222224,0.0595
2019-02-10T07:00:00.000+02:00,2019,2,10,7,0.09405555555555556,0.6078
2019-02-10T08:00:00.000+02:00,2019,2,10,8,0.04888888888888889,0.93
2019-02-10T09:00:00.000+02:00,2019,2,10,9,0.02488888888888889,1
2019-02-10T10:00:00.000+02:00,2019,2,10,10,0.01338888888888889,1
2019-02-10T11:00:00.000+02:00,2019,2,10,11,0.004833333333333334,1
2019-02-10T12:00:00.000+02:00,2019,2,10,12,0,1
2019-02-10T13:00:00.000+02:00,2019,2,10,13,0.0005555555555555556,1
2019-02-10T14:00:00.000+02:00,2019,2,10,14,0.2467222222222222,1
2019-02-10T15:00:00.000+02:00,2019,2,10,15,0.17022222222222222,0.99712
2019-02-10T16:00:00.000+02:00,2019,2,10,16,0.21116666666666667,0.84228
2019-02-10T17:00:00.000+02:00,2019,2,10,17,0.212,0.5734
2019-02-10T18:00:00.000+02:00,2019,2,10,18,0.179,0.132256
2019-02-10T19:00:00.000+02:00,2019,2,10,19,0.15883333333333333,0
2019-02-10T20:00:00.000+02:00,2019,2,10,20,0.09383333333333334,0
2019-02-10T21:00:00.000+02:00,2019,2,10,21,0.036166666666666666,0
2019-02-10T22:00:00.000+02:00,2019,2,10,22,0.03205555555555555,0
2019-02-10T23:00:00.000+02:00,2019,2,10,23,0.021388888888888888,0
2019-02-11T00:00:00.000+02:00,2019,2,11,0,0.018000000000000002,0
2019-02-11T01:00:00.000+02:00,2019,2,11,1,0.0077777777777777776,0
2019-02-11T02:00:00.000+02:00,2019,2,11,2,0.004388888888888889,0
2019-02-11T03:00:00.000+02:00,2019,2,11,3,0.010611111111111111,0
2019-02-11T04:00:00.000+02:00,2019,2,11,4,0.014444444444444446,0
2019-02-11T05:00:00.000+02:00,2019,2,11,5,0.01622222222222222,0
2019-02-11T06:00:00.000+02:00,2019,2,11,6,0.0029444444444444444,0.0009454000000000001
2019-02-11T07:00:00.000+02:00,2019,2,11,7,0.004166666666666667,0.1154
2019-02-11T08:00:00.000+02:00,2019,2,11,8,0.005055555555555555,0.360124
2019-02-11T09:00:00.000+02:00,2019,2,11,9,0.03422222222222222,0.78072
2019-02-11T10:00:00.000+02:00,2019,2,11,10,0.03216666666666667,0.88788
2019-02-11T11:00:00.000+02:00,2019,2,11,11,0.03205555555555555,0.98576
2019-02-11T12:00:00.000+02:00,2019,2,11,12,0.02427777777777778,0.45052
2019-02-11T13:00:00.000+02:00,2019,2,11,13,0.02816666666666667,0.091164
2019-02-11T14:00:00.000+02:00,2019,2,11,14,0.056666666666666664,0.070588
2019-02-11T15:00:00.000+02:00,2019,2,11,15,0.09544444444444444,0.107348
2019-02-11T16:00:00.000+02:00,2019,2,11,16,0.12261111111111112,0.46512
2019-02-11T17:00:00.000+02:00,2019,2,11,17,0.13577777777777778,0.69308
2019-02-11T18:00:00.000+02:00,2019,2,11,18,0.13622222222222222,0.158
2019-02-11T19:00:00.000+02:00,2019,2,11,19,0.13016666666666665,0
2019-02-11T20:00:00.000+02:00,2019,2,11,20,0.1313888888888889,0
2019-02-11T21:00:00.000+02:00,2019,2,11,21,0.1257777777777778,0
2019-02-11T22:00:00.000+02:00,2019,2,11,22,0.0965,0
2019-02-11T23:00:00.000+02:00,2019,2,11,23,0.10405555555555555,0
2019-02-12T00:00:00.000+02:00,2019,2,12,0,0.10022222222222221,0
2019-02-12T01:00:00.000+02:00,2019,2,12,1,0.10877777777777776,0
2019-02-12T02:00:00.000+02:00,2019,2,12,2,0.11444444444444445,0
2019-02-12T03:00:00.000+02:00,2019,2,12,3,0.12583333333333332,0
2019-02-12T04:00:00.000+02:00,2019,2,12,4,0.11466666666666667,0
2019-02-12T05:00:00.000+02:00,2019,2,12,5,0.081,0
2019-02-12T06:00:00.000+02:00,2019,2,12,6,0.10466666666666667,0.035823600000000004
2019-02-12T07:00:00.000+02:00,2019,2,12,7,0.11594444444444445,0.34893199999999996
2019-02-12T08:00:00.000+02:00,2019,2,12,8,0.12172222222222222,0.5172
2019-02-12T09:00:00.000+02:00,2019,2,12,9,0.10877777777777776,0.83964
2019-02-12T10:00:00.000+02:00,2019,2,12,10,0.0906111111111111,0.56448
2019-02-12T11:00:00.000+02:00,2019,2,12,11,0.07327777777777778,0.0676
2019-02-12T12:00:00.000+02:00,2019,2,12,12,0.06883333333333333,0.0689
2019-02-12T13:00:00.000+02:00,2019,2,12,13,0.05177777777777778,0.078572
2019-02-12T14:00:00.000+02:00,2019,2,12,14,0.06366666666666668,0.269092
2019-02-12T15:00:00.000+02:00,2019,2,12,15,0.0905,0.5284
2019-02-12T16:00:00.000+02:00,2019,2,12,16,0.11705555555555555,0.4226
2019-02-12T17:00:00.000+02:00,2019,2,12,17,0.13411111111111113,0.47264
2019-02-12T18:00:00.000+02:00,2019,2,12,18,0.14994444444444444,0.11786799999999999
2019-02-12T19:00:00.000+02:00,2019,2,12,19,0.14544444444444443,0
2019-02-12T20:00:00.000+02:00,2019,2,12,20,0.15561111111111112,0
2019-02-12T21:00:00.000+02:00,2019,2,12,21,0.1706111111111111,0
2019-02-12T22:00:00.000+02:00,2019,2,12,22,0.17066666666666666,0
2019-02-12T23:00:00.000+02:00,2019,2,12,23,0.1953888888888889,0
2019-02-13T00:00:00.000+02:00,2019,2,13,0,0.1856111111111111,0
2019-02-13T01:00:00.000+02:00,2019,2,13,1,0.18583333333333335,0
2019-02-13T02:00:00.000+02:00,2019,2,13,2,0.1958888888888889,0
2019-02-13T03:00:00.000+02:00,2019,2,13,3,0.23527777777777778,0
2019-02-13T04:00:00.000+02:00,2019,2,13,4,0.21488888888888888,0
2019-02-13T05:00:00.000+02:00,2019,2,13,5,0.10688888888888888,0
2019-02-13T06:00:00.000+02:00,2019,2,13,6,0.07622222222222222,0.0076432
2019-02-13T07:00:00.000+02:00,2019,2,13,7,0.07583333333333334,0.10814399999999999
2019-02-13T08:00:00.000+02:00,2019,2,13,8,0.07783333333333334,0.59304
2019-02-13T09:00:00.000+02:00,2019,2,13,9,0.05205555555555555,0.322448
2019-02-13T10:00:00.000+02:00,2019,2,13,10,0.035555555555555556,0.330912
2019-02-13T11:00:00.000+02:00,2019,2,13,11,0.035444444444444445,0.45968
2019-02-13T12:00:00.000+02:00,2019,2,13,12,0.025722222222222223,0.55032
2019-02-13T13:00:00.000+02:00,2019,2,13,13,0.02816666666666667,0.12412
2019-02-13T14:00:00.000+02:00,2019,2,13,14,0.0355,0.179124
2019-02-13T15:00:00.000+02:00,2019,2,13,15,0.0753888888888889,0.306616
2019-02-13T16:00:00.000+02:00,2019,2,13,16,0.045611111111111116,0.31202
2019-02-13T17:00:00.000+02:00,2019,2,13,17,0.04055555555555555,0.270912
2019-02-13T18:00:00.000+02:00,2019,2,13,18,0.027055555555555555,0.046856
2019-02-13T19:00:00.000+02:00,2019,2,13,19,0.02061111111111111,0
2019-02-13T20:00:00.000+02:00,2019,2,13,20,0.050166666666666665,0
2019-02-13T21:00:00.000+02:00,2019,2,13,21,0.12183333333333334,0
2019-02-13T22:00:00.000+02:00,2019,2,13,22,0.21422222222222223,0
2019-02-13T23:00:00.000+02:00,2019,2,13,23,0.29605555555555557,0
2019-02-14T00:00:00.000+02:00,2019,2,14,0,0.24883333333333332,0
2019-02-14T01:00:00.000+02:00,2019,2,14,1,0.20155555555555557,0
2019-02-14T02:00:00.000+02:00,2019,2,14,2,0.17194444444444443,0
2019-02-14T03:00:00.000+02:00,2019,2,14,3,0.18194444444444444,0
2019-02-14T04:00:00.000+02:00,2019,2,14,4,0.16716666666666666,0
2019-02-14T05:00:00.000+02:00,2019,2,14,5,0.097,0
2019-02-14T06:00:00.000+02:00,2019,2,14,6,0.09188888888888888,0
2019-02-14T07:00:00.000+02:00,2019,2,14,7,0.07238888888888889,0.013456
2019-02-14T08:00:00.000+02:00,2019,2,14,8,0.06972222222222223,0.024576
2019-02-14T09:00:00.000+02:00,2019,2,14,9,0.05238888888888889,0.041348
2019-02-14T10:00:00.000+02:00,2019,2,14,10,0.07533333333333334,0.054996
2019-02-14T11:00:00.000+02:00,2019,2,14,11,0.04461111111111111,0.0698
2019-02-14T12:00:00.000+02:00,2019,2,14,12,0.020333333333333335,0.084664
2019-02-14T13:00:00.000+02:00,2019,2,14,13,0.005611111111111111,0.092836
2019-02-14T14:00:00.000+02:00,2019,2,14,14,0.004388888888888889,0.081112
2019-02-14T15:00:00.000+02:00,2019,2,14,15,0.005611111111111111,0.128044
2019-02-14T16:00:00.000+02:00,2019,2,14,16,0.0165,0.11020799999999999
2019-02-14T17:00:00.000+02:00,2019,2,14,17,0.005277777777777778,0.076336
2019-02-14T18:00:00.000+02:00,2019,2,14,18,0.004611111111111111,0.00352816
2019-02-14T19:00:00.000+02:00,2019,2,14,19,0.021500000000000002,0
2019-02-14T20:00:00.000+02:00,2019,2,14,20,0.023888888888888887,0
2019-02-14T21:00:00.000+02:00,2019,2,14,21,0.03194444444444444,0
2019-02-14T22:00:00.000+02:00,2019,2,14,22,0.03688888888888889,0
2019-02-14T23:00:00.000+02:00,2019,2,14,23,0.031222222222222224,0
2019-02-15T00:00:00.000+02:00,2019,2,15,0,0.023666666666666666,0
2019-02-15T01:00:00.000+02:00,2019,2,15,1,0.013444444444444445,0
2019-02-15T02:00:00.000+02:00,2019,2,15,2,0.01877777777777778,0
2019-02-15T03:00:00.000+02:00,2019,2,15,3,0.005611111111111111,0
2019-02-15T04:00:00.000+02:00,2019,2,15,4,0.005,0
2019-02-15T05:00:00.000+02:00,2019,2,15,5,0.0031666666666666666,0
2019-02-15T06:00:00.000+02:00,2019,2,15,6,0.002611111111111111,0.026202
2019-02-15T07:00:00.000+02:00,2019,2,15,7,0.0017222222222222222,0.08104399999999999
2019-02-15T08:00:00.000+02:00,2019,2,15,8,0.004388888888888889,0.110384
2019-02-15T09:00:00.000+02:00,2019,2,15,9,0.0031666666666666666,0.072428
2019-02-15T10:00:00.000+02:00,2019,2,15,10,0.007833333333333333,0.088644
