hour,capFactor,dailySpecificYield
0,0.5608928509343748,NaN
1,0.5488527379400261,NaN
2,0.5389465449804423,NaN
3,0.5309648993191368,NaN
4,0.5057498044328559,NaN
5,0.4287949152542358,NaN
6,0.3500957627118644,NaN
7,0.29659955816311645,NaN
8,0.2305323120382445,NaN
9,0.17499567579313374,NaN
10,0.14405263653484054,NaN
11,0.13911522526437822,NaN
12,0.15796904244531368,NaN
13,0.20643882369984,NaN
14,0.28863384760249094,NaN
15,0.40535133275387464,NaN
16,0.521744618281907,NaN
17,0.5816522164276398,NaN
18,0.6009250325945265,NaN
19,0.6033465884398115,NaN
20,0.5978035781544268,NaN
21,0.5899288425322339,NaN
22,0.5807799362595965,NaN
23,0.576702433724466,NaN
