date,month,p90DailyCapFactor,p10DailyCapFactor,maxDailyCapFactor,meanDailyCapFactor,maxDailySpecificYield,p90DailySpecificYield,p10DailySpecificYield,meanDailySpecificYield,medianDailySpecificYield,maxMonthlySpecificYield,meanMonthlySpecificYield,medianMonthlySpecificYield,p90MonthlySpecificYield,p10MonthlySpecificYield
978300000000,1,0.32191666666666674,0.018879629629629628,0.961798611111111,0.12567580502929968,23.083166666666664,7.726000000000002,0.4531111111111111,3.0162193207031915,1.5830555555555554,715.5781666666666,93.50279894179893,81.22972222222222,140.75405555555557,46.57083333333333
980978400000,2,0.37264120370370396,0.02414953703703704,0.9730671296296295,0.15933123321466472,23.353611111111107,8.943388888888895,0.5795888888888889,3.8239495971519544,2.3356666666666674,653.901111111111,107.98105291005292,93.36344444444444,161.47527777777776,63.898166666666654
983397600000,3,0.6538078703703705,0.03708796296296296,0.9710439814814814,0.3016054645275075,23.305055555555555,15.691388888888891,0.8901111111111111,7.238531148660181,5.802833333333333,722.4567222222222,224.39446560846565,202.4452222222222,326.11788888888884,145.69794444444443
986076000000,4,0.858986111111111,0.16313449074074074,0.999912037037037,0.5194669532627865,23.997888888888887,20.615666666666662,3.915227777777778,12.467206878306872,12.746694444444444,719.9366666666666,374.01620634920647,375.6772777777778,420.15216666666663,331.9951111111111
988668000000,5,0.8730810185185185,0.21806481481481477,1.0000810185185183,0.5760248371451326,24.00194444444444,20.953944444444446,5.233555555555554,13.824596091483198,14.342722222222225,744.0602777777776,428.56247883597877,448.0359444444444,501.59183333333334,358.1287222222222
991346400000,6,0.8888388888888888,0.2515219907407408,1.0002685185185185,0.5947871840094062,24.006444444444444,21.33213333333333,6.036527777777779,14.274892416225734,14.649694444444444,720.1933333333333,428.24677248677256,433.6721666666667,478.341,374.0832222222222
993938400000,7,0.9310277777777777,0.23797222222222222,1.000372685185185,0.6250599753939808,24.00894444444444,22.344666666666665,5.711333333333333,15.001439409455543,15.465499999999999,744.2772777777777,465.0446216931218,467.3769444444446,529.4262222222222,420.06183333333337
996616800000,8,0.8678587962962965,0.2634236111111111,1.000076388888889,0.5560307575240369,24.001833333333337,20.828611111111115,6.322166666666667,13.344738180576893,13.13588888888889,744.0568333333334,413.6868835978836,420.42794444444445,492.6713333333334,346.1977222222223
999295200000,9,0.8802671296296296,0.25005486111111114,1.000300925925926,0.53052986845973,24.00722222222222,21.12641111111111,6.001316666666668,12.732716843033502,11.9575,720.2166666666667,381.98150529100525,391.2965555555555,428.0375,324.65144444444456
1001887200000,10,0.8394907407407407,0.23125,1.0004444444444442,0.5088110847983166,24.010666666666662,20.147777777777776,5.550000000000001,12.211466035159575,11.660277777777777,744.3306666666665,378.5554470899471,385.4657777777778,415.8287777777778,347.8348888888889
1004565600000,11,0.7476456018518518,0.10637962962962964,1.0003148148148147,0.3782749595825986,24.00755555555555,17.943494444444443,2.5531111111111113,9.07859902998236,7.725472222222223,720.2266666666666,272.3579708994709,288.1573333333333,315.92294444444445,223.06522222222225
1007157600000,12,0.48145833333333327,0.026030092592592594,0.8797060185185185,0.1919439715252889,21.112944444444445,11.554999999999998,0.6247222222222223,4.606655316606926,2.788111111111111,654.5012777777778,142.80631481481478,139.80800000000002,201.75666666666666,94.22600000000001
