date,month,p90DailyCapFactor,p10DailyCapFactor,maxDailyCapFactor,meanDailyCapFactor,maxDailySpecificYield,p90DailySpecificYield,p10DailySpecificYield,meanDailySpecificYield,medianDailySpecificYield,maxMonthlySpecificYield,meanMonthlySpecificYield,medianMonthlySpecificYield,p90MonthlySpecificYield,p10MonthlySpecificYield
757375200000,1,0.45163285000000003,0.19946574333333333,0.4745026666666666,0.3347717950234252,11.388063999999998,10.8391884,4.78717784,8.034523080562217,8.2951932,353.02998399999996,249.0702154974285,253.05497480000002,276.969989288,217.11702075200003
760053600000,2,0.44790266666666667,0.19693343333333332,0.4649768333333333,0.3336001806729876,11.159443999999999,10.749664,4.7264024,8.006404336151704,8.24829936,312.464432,226.18092249628575,227.18170727199998,256.90436955200005,205.09886156
762472800000,3,0.4336677566666667,0.21658581249999997,0.45208149999999997,0.34503368747235025,10.849955999999999,10.40802616,5.198059499999999,8.2808084993364,8.8996362,336.34863599999994,256.7050634794286,254.57286014,286.684344828,222.41718442480004
765151200000,4,0.4143520775,0.2640714216666667,0.42867123333333335,0.36403573609146767,10.2881096,9.94444986,6.33771412,8.736857666195242,9.3786634,308.643288,262.1057299858572,265.404327974,281.15035768800004,237.25703109959997
767743200000,5,0.3933213781666666,0.30308885,0.4059924333333334,0.35443573172964654,9.743818400000002,9.439713075999999,7.2741324,8.50645756151152,8.802871999999999,302.05837040000006,263.7001844068571,266.52607611999997,272.98497764399997,250.98371997599997
770421600000,6,0.36343131666666667,0.2842489166666667,0.38056350000000005,0.333913723650793,9.133524000000001,8.7223516,6.821974000000001,8.013929367619054,8.3399,274.00572000000005,240.41788102857146,241.89352500000004,253.383114,226.66663007999998
773013600000,7,0.37922453333333334,0.3014048,0.399045,0.34781102626440064,9.577079999999999,9.1013888,7.2337152,8.347464630345616,8.651454000000001,296.88947999999993,258.77140354071435,261.398432092,270.755713014,245.39865985559996
775692000000,8,0.4045150033333333,0.33643445000000005,0.42043534000000005,0.3743392241397849,10.090448160000001,9.708360079999999,8.0744268,8.984141379354838,9.24423515,312.80389296000004,278.50838276,280.98117571800003,289.1675422452,263.30217111200005
778370400000,9,0.4247203601666667,0.31635010333333335,0.4428651666666667,0.37965322608710345,10.628764,10.193288644,7.592402480000001,9.111677426090468,9.4872792,318.86292000000003,273.3503227827143,275.73968268,288.1574865172,253.06634886520004
780962400000,10,0.44001555383333335,0.26679724666666665,0.4568260166666666,0.3727419134775347,10.963824399999998,10.560373292000001,6.403133919999999,8.945805923460831,9.5664658,339.8785563999999,277.3199836272857,276.58082328,297.38311411200004,256.233832604
783640800000,11,0.4484539483333333,0.21109039933333337,0.47354450000000003,0.34125095662361116,11.365068,10.762894759999998,5.066169584000001,8.190022958966663,8.571637500000001,340.95204,245.70068876899992,244.707289366,267.424170832,227.079512096
786232800000,12,0.44843845000000004,0.21194465333333334,0.47517733333333334,0.33979324745353323,11.404256,10.762522800000001,5.08667168,8.155037938884785,8.525468,353.53193600000003,252.80617610542862,256.99755061999997,275.07650004,230.1198920736
