year,yearlySpecificYield,normalisedYearlySpecificYield,exceedance
2001,3522.143166666667,0.9530985749744012,1
2011,3539.1987777777777,0.9577138554658814,0.9523809523809523
2012,3542.152722222222,0.9585131983964011,0.9047619047619048
2021,3608.412166666667,0.9764431288649467,0.8571428571428572
2003,3623.8193888888886,0.9806123522182979,0.8095238095238095
2018,3643.006777777777,0.9858044957917196,0.7619047619047619
2004,3644.8033333333337,0.9862906471089257,0.7142857142857143
2007,3667.7288888888893,0.9924943456233093,0.6666666666666667
2006,3673.0956666666675,0.9939466057984814,0.6190476190476191
2010,3680.7819444444444,0.9960265270425089,0.5714285714285714
2014,3695.465777777778,1,0.5238095238095238
2002,3707.0353333333333,1.0031307435249779,0.47619047619047616
2016,3707.0587222222216,1.003137072602365,0.4285714285714286
2009,3748.1602222222223,1.0142592159184143,0.38095238095238093
2015,3756.8517777777784,1.0166111672225833,0.33333333333333337
2008,3766.9621111111114,1.019347042465734,0.2857142857142857
2019,3781.5577777777776,1.02329665735716,0.23809523809523814
2013,3821.6645,1.0341496119328455,0.19047619047619047
2020,3858.4671111111106,1.0441084678184605,0.1428571428571429
2005,3905.1328888888884,1.0567363151816795,0.09523809523809523
2017,4040.367833333333,1.093331145867885,0.04761904761904767
