date,year,month,day,wind_dailyCapFactor,solar_dailyCapFactor
2019-06-09T12:00:00.000+02:00,2019,6,9,0.9947962962962962,0.335385
2019-06-10T12:00:00.000+02:00,2019,6,10,0.9063796296296296,0.3370508333333333
2019-06-11T12:00:00.000+02:00,2019,6,11,0.7825671296296296,0.3497643333333334
2019-06-12T12:00:00.000+02:00,2019,6,12,0.6185740740740742,0.35516383333333335
2019-06-13T12:00:00.000+02:00,2019,6,13,0.4944907407407407,0.34912416666666674
2019-06-14T12:00:00.000+02:00,2019,6,14,0.9828055555555556,0.34063750000000004
2019-06-15T12:00:00.000+02:00,2019,6,15,0.9651574074074075,0.2919513333333333
2019-06-16T12:00:00.000+02:00,2019,6,16,0.742539351851852,0.20980483333333333
2019-06-17T12:00:00.000+02:00,2019,6,17,0.743511574074074,0.34651116666666665
2019-06-18T12:00:00.000+02:00,2019,6,18,0.7100833333333334,0.3561343333333334
2019-06-19T12:00:00.000+02:00,2019,6,19,0.8358078703703704,0.35628000000000004
