month,hour,meanHourlyCapFactor,p90HourlyCapFactor,p10HourlyCapFactor,meanHourlyEnergyMWh,p90HourlyEnergyMWh,p10HourlyEnergyMWh,solar_meanHourlyCapFactor,solar_p90HourlyCapFactor,solar_p10HourlyCapFactor,solar_meanHourlyEnergyMWh,solar_p90HourlyEnergyMWh,solar_p10HourlyEnergyMWh,wind_meanHourlyCapFactor,wind_p90HourlyCapFactor,wind_p10HourlyCapFactor,wind_meanHourlyEnergyMWh,wind_p90HourlyEnergyMWh,wind_p10HourlyEnergyMWh
1,0,0.1349191113109289,0.40819512195121954,0.0020487804878048777,27.65841781874037,83.68,0.41999999999999993,0,0,0,0,0,0,0.1536578767707798,0.4648888888888889,0.002333333333333333,27.65841781874037,83.68,0.41999999999999993
1,1,0.13547083286501072,0.42131707317073175,0.0020975609756097562,27.771520737327176,86.37,0.43,0,0,0,0,0,0,0.15428622631848443,0.47983333333333333,0.0023888888888888887,27.771520737327176,86.37,0.43
1,2,0.13909175377468044,0.39946341463414636,0.0020487804878048777,28.51380952380955,81.89,0.41999999999999993,0,0,0,0,0,0,0.158410052910053,0.45494444444444443,0.002333333333333333,28.51380952380955,81.89,0.41999999999999993
1,3,0.14771660859465752,0.43868292682926835,0.0020975609756097562,30.281904761904755,89.93,0.43,0,0,0,0,0,0,0.16823280423280418,0.4996111111111112,0.0023888888888888887,30.281904761904755,89.93,0.43
1,4,0.12015465887377762,0.31990243902439025,0.0022439024390243905,24.631705069124433,65.58,0.46,0,0,0,0,0,0,0.13684280593958012,0.36433333333333334,0.0025555555555555557,24.631705069124433,65.58,0.46
1,5,0.09239451500505776,0.25068292682926824,0.0012195121951219512,18.94087557603688,51.38999999999999,0.25,0,0,0,0,0,0,0.10522708653353816,0.2855,0.001388888888888889,18.94087557603688,51.38999999999999,0.25
1,6,0.09457138735678701,0.22439365853658538,0.009481463414634145,19.387134408141314,46.0007,1.9437,0.09327646695545322,0.205652,0.0136416,2.331911673886328,5.1413,0.34104,0.09475123741252775,0.24188888888888888,0.0015555555555555557,17.05522273425501,43.54,0.28
1,7,0.12851083316473724,0.24775121951219514,0.028935121951219514,26.344720798771146,50.789,5.9317,0.4521341468509986,0.82976,0.090296,11.30335367127495,20.744,2.2574,0.08356315070831193,0.19922222222222222,0.0017222222222222222,15.041367127496166,35.86,0.31
1,8,0.14520662477988833,0.24478048780487804,0.05133560975609756,29.767358079877113,50.18,10.5238,0.6526095305683559,1,0.19624,16.315238264208904,25,4.906,0.07473399897593447,0.1706111111111111,0.0013333333333333333,13.452119815668198,30.709999999999997,0.24
1,9,0.15693284103255783,0.24639024390243905,0.0729219512195122,32.171232411674325,50.510000000000005,14.949,0.7858170384024575,1,0.331164,19.645425960061445,25,8.2791,0.06958781362007173,0.17227777777777778,0.00016666666666666666,12.525806451612901,31.01,0.03
1,10,0.16470037765538942,0.2627317073170732,0.09418048780487806,33.76357741935485,53.86,19.307000000000002,0.8565449400921661,1,0.48136,21.413623502304144,25,12.034,0.0686108550947261,0.17933333333333334,0.00016666666666666666,12.349953917050703,32.28,0.03
1,11,0.17105672324004353,0.26634146341463416,0.10459024390243904,35.06662826420894,54.6,21.441000000000003,0.8909895545314904,1,0.5912,22.274738863287258,25,14.780000000000001,0.07106605222734251,0.1801111111111111,0,12.79188940092167,32.42,0
1,12,0.1708157348919113,0.2726829268292683,0.09379512195121952,35.017225652841766,55.9,19.228,0.8738116067588322,1,0.51232,21.845290168970816,25,12.808000000000002,0.07317741935483864,0.1856111111111111,0.00022222222222222223,13.171935483870962,33.41,0.04
1,13,0.17327108538458674,0.27681463414634144,0.08173170731707316,35.52057250384025,56.747,16.755,0.8507565407066053,1,0.387192,21.268913517665116,25,9.679799999999998,0.07917588325652844,0.18544444444444447,0.0018333333333333335,14.251658986175126,33.38,0.33
1,14,0.1844845386085197,0.32673170731707313,0.06963756097560976,37.819330414746545,66.97999999999999,14.2757,0.7998171490015356,1,0.290776,19.99542872503843,25,7.269400000000001,0.09902167605393408,0.2594444444444445,0.0032777777777777775,17.823901689708155,46.7,0.59
1,15,0.21216416245176276,0.4683414634146342,0.06230731707317073,43.493653302611335,96.01,12.773,0.7218905253456217,1,0.198676,18.04726313364055,25,4.9669,0.1413688342720601,0.4425,0.004722222222222222,25.4463901689708,79.65,0.85
1,16,0.22299889610730203,0.516980487804878,0.05293463414634146,45.71477370199697,105.981,10.8516,0.5950259711213522,1,0.11267200000000001,14.875649278033782,25,2.8168,0.17132846902201745,0.4841111111111111,0.00938888888888889,30.839124423963128,87.14,1.6900000000000002
1,17,0.20707815825559173,0.5219858536585366,0.034571707317073166,42.451022442396265,107.0071,7.087199999999999,0.43975518341013786,0.82148,0.07528800000000001,10.993879585253445,20.537,1.8821999999999999,0.1747619047619048,0.5375,0.0044444444444444444,31.45714285714285,96.75,0.8
