duration_years,stDev,p50,p75,p90,p99
5,29.160730533545966,3084.636954479572,3064.9683406264653,3047.265974611882,3016.7989509973795
10,20.619750304623963,3084.636954479572,3070.7291442475007,3058.2116811955425,3036.6682421951573
15,16.8359556233089,3084.636954479572,3073.281274976894,3063.0608091930812,3045.4706649078416
18,15.369054453403727,3084.636954479572,3074.2706847805457,3064.940718683872,3048.883187325878
20,14.580365266772983,3084.636954479572,3074.8026475530187,3065.951464545727,3050.717952738476
25,13.0410751493125,3084.636954479572,3075.840882959824,3067.924144205586,3054.298877030762
