date,year,yearlyEnergyMWh,wind_yearlyEnergyMWh,solar_yearlyEnergyMWh
978300000000,2001,707746.2578211,633985.77,73760.4878211
1009836000000,2002,742584.5592095001,667266.3600000001,75318.1992095
1041372000000,2003,730444.1502194,652287.49,78156.6602194
1072908000000,2004,732919.8915527,656064.5999999999,76855.2915527
1104530400000,2005,780213.548548,702923.92,77289.62854800002
1136066400000,2006,736445.6488456001,661157.22,75288.42884559999
1167602400000,2007,737140.8210483998,660191.2,76949.6210484
1199138400000,2008,754276.9825801001,678053.18,76223.80258010002
1230760800000,2009,752740.2299978,674668.8400000001,78071.3899978
1262296800000,2010,736977.552478,662540.7500000001,74436.80247800001
1293832800000,2011,713796.3356750001,637055.7799999999,76740.555675
1325368800000,2012,714840.0672150999,637587.49,77252.5772151
1356991200000,2013,766509.4851231,687899.6099999999,78609.87512309999
1388527200000,2014,741015.2070157,665183.84,75831.3670157
1420063200000,2015,756069.9346563999,676233.3200000002,79836.6146564
1451599200000,2016,744923.8452410001,667270.5700000001,77653.275241
1483221600000,2017,802514.2355831999,727266.2100000001,75248.0255832
1514757600000,2018,732909.4837023,655741.2199999999,77168.26370229998
1546293600000,2019,760471.5370177,680680.4,79791.1370177
1577829600000,2020,770803.2188416999,694524.0800000001,76279.1388417
1609452000000,2021,726501.8220274999,649514.1899999998,76987.6320275
