hour,capFactor,dailySpecificYield
0,0,NaN
1,0,NaN
2,0,NaN
3,0,NaN
4,0,NaN
5,0.00001804254620123203,NaN
6,0.06715526593996256,NaN
7,0.43607465468661366,NaN
8,0.7664110672142361,NaN
9,0.8718501228512784,NaN
10,0.9124029005573436,NaN
11,0.9224210798865747,NaN
12,0.9107091346435895,NaN
13,0.8924593210130017,NaN
14,0.8573016693067376,NaN
15,0.7898663249437755,NaN
16,0.6695288774029495,NaN
17,0.3195804894878259,NaN
18,0.029496763358560656,NaN
19,0,NaN
20,0,NaN
21,0,NaN
22,0,NaN
23,0,NaN
