date,year,month,meanDailyCapFactor,monthlySpecificYield
757375200000,1994,1,0.3240696693548386,241.10783399999997
760053600000,1994,2,0.33502236285714293,225.13502784000002
762472800000,1994,3,0.3963388329569893,294.87609172
765151200000,1994,4,0.3818989532777778,274.96724636
767743200000,1994,5,0.3591416032258064,267.20135280000005
770421600000,1994,6,0.3536579833333333,254.633748
773013600000,1994,7,0.3638927335322581,270.736193748
775692000000,1994,8,0.3986459851290323,296.59261293599997
778370400000,1994,9,0.4161154352777777,299.60311340000004
780962400000,1994,10,0.36778310725806457,273.6306318
783640800000,1994,11,0.34571830700000006,248.91718104000003
786232800000,1994,12,0.36326035381720423,270.26570324
788911200000,1995,1,0.3850316294086021,286.4635322800001
791589600000,1995,2,0.3079504502380952,206.94270256
794008800000,1995,3,0.37156244209677425,276.44245692
796687200000,1995,4,0.3578778588611112,257.67205838
799279200000,1995,5,0.2948981832795699,219.40424835999997
801957600000,1995,6,0.3542366666666667,255.05040000000002
804549600000,1995,7,0.36398018544086025,270.80125796799996
807228000000,1995,8,0.37870028800537636,281.75301427600004
809906400000,1995,9,0.39810945788888874,286.63880968
812498400000,1995,10,0.36637005209677403,272.57931876000004
815176800000,1995,11,0.35553529461111105,255.98541211999995
817768800000,1995,12,0.3551547526881719,264.235136
820447200000,1996,1,0.3166094241935485,235.55741160000002
823125600000,1996,2,0.32029112192528736,222.92262085999997
825631200000,1996,3,0.3565786217741936,265.2944946
828309600000,1996,4,0.37693969736111105,271.3965821
830901600000,1996,5,0.34592471747311826,257.36798980000003
833580000000,1996,6,0.33293624666666666,239.71409760000003
836172000000,1996,7,0.3621060274193548,269.4068844
838850400000,1996,8,0.39162844853225803,291.371565708
841528800000,1996,9,0.4001070585555556,288.07708216
844120800000,1996,10,0.4009299891935484,298.29191195999994
846799200000,1996,11,0.31792576950000007,228.90655404000003
849391200000,1996,12,0.3529881127419354,262.62315588
852069600000,1997,1,0.2937407462365591,218.54311520000005
854748000000,1997,2,0.3375577833095238,226.838830384
857167200000,1997,3,0.34222612537634417,254.61623727999998
859845600000,1997,4,0.37285473217222215,268.455407164
862437600000,1997,5,0.364700838172043,271.3374235999999
865116000000,1997,6,0.3472599166666667,250.02713999999995
867708000000,1997,7,0.34108309805913983,253.76582495600005
870386400000,1997,8,0.3827477252688172,284.7643076
873064800000,1997,9,0.33842759627777774,243.66786932
875656800000,1997,10,0.36695466822580647,273.01427316
878335200000,1997,11,0.34135776944444446,245.777594
880927200000,1997,12,0.3707555112903226,275.8421004
883605600000,1998,1,0.28735143419354836,213.78946704000003
