month,hour,meanHourlyCapFactor,p90HourlyCapFactor,p10HourlyCapFactor
1,0,0.1536578767707798,0.4648888888888889,0.002333333333333333
1,1,0.15428622631848443,0.47983333333333333,0.0023888888888888887
1,2,0.158410052910053,0.45494444444444443,0.002333333333333333
1,3,0.16823280423280418,0.4996111111111112,0.0023888888888888887
1,4,0.13684280593958012,0.36433333333333334,0.0025555555555555557
1,5,0.10522708653353816,0.2855,0.001388888888888889
1,6,0.09475123741252775,0.24188888888888888,0.0015555555555555557
1,7,0.08356315070831193,0.19922222222222222,0.0017222222222222222
1,8,0.07473399897593447,0.1706111111111111,0.0013333333333333333
1,9,0.06958781362007173,0.17227777777777778,0.00016666666666666666
1,10,0.0686108550947261,0.17933333333333334,0.00016666666666666666
1,11,0.07106605222734251,0.1801111111111111,0
1,12,0.07317741935483864,0.1856111111111111,0.00022222222222222223
1,13,0.07917588325652844,0.18544444444444447,0.0018333333333333335
1,14,0.09902167605393408,0.2594444444444445,0.0032777777777777775
1,15,0.1413688342720601,0.4425,0.004722222222222222
1,16,0.17132846902201745,0.4841111111111111,0.00938888888888889
1,17,0.1747619047619048,0.5375,0.0044444444444444444
1,18,0.16903251408090117,0.494,0.0031111111111111114
1,19,0.16220088752346823,0.4646111111111111,0.0025555555555555557
1,20,0.15749615975422415,0.4881666666666667,0.0031111111111111114
1,21,0.15120361836490864,0.46399999999999997,0.0021666666666666666
1,22,0.14467972350230415,0.4458888888888889,0.0018333333333333335
1,23,0.1538022700119475,0.49766666666666665,0.002611111111111111
2,0,0.20063022297170685,0.5741444444444445,0.004388888888888889
2,1,0.20258347386171985,0.5881333333333344,0.0044
2,2,0.2030947161326586,0.6093222222222234,0.004388888888888889
2,3,0.211822934232715,0.6296555555555565,0.004666666666666666
2,4,0.18725519955030906,0.5302555555555564,0.004833333333333334
2,5,0.13415645493723063,0.410200000000001,0.0022333333333333333
2,6,0.11601639497845231,0.2829888888888889,0.002033333333333334
2,7,0.09241512085441257,0.22655555555555562,0.0012222222222222222
2,8,0.07320179876335012,0.18004444444444442,0
2,9,0.06430269814502529,0.16533333333333336,0
2,10,0.05967697208169378,0.16646666666666665,0
2,11,0.05951751920554611,0.16056666666666672,0
2,12,0.06442261570170504,0.17088888888888892,0
2,13,0.07895072137905192,0.20598888888888955,0.0008333333333333333
2,14,0.11697995128349252,0.3247111111111111,0.003
2,15,0.18531974892261557,0.4735888888888889,0.0077222222222222215
2,16,0.22776700393479501,0.5725222222222225,0.014988888888888894
2,17,0.23718512272812428,0.6284222222222222,0.007255555555555557
2,18,0.23440350384110956,0.6127,0.005622222222222222
2,19,0.2282399287989508,0.5950444444444447,0.0078111111111111116
2,20,0.22063059771407145,0.6148444444444444,0.005
2,21,0.21056248828930127,0.5770777777777778,0.0044
2,22,0.20273917931422117,0.6140777777777778,0.0037333333333333337
2,23,0.21207522952969857,0.6483666666666675,0.0047
3,0,0.4027636115378047,0.9308333333333334,0.01916666666666667
3,1,0.398200119474313,0.9311111111111111,0.01988888888888889
3,2,0.3960748421232295,0.9393888888888889,0.01972222222222222
3,3,0.4017363031233996,0.9418888888888889,0.018944444444444444
3,4,0.38996279228537306,0.9202777777777779,0.02188888888888889
3,5,0.29608858166922686,0.8537777777777779,0.004
3,6,0.26194930875576017,0.7641111111111111,0.004333333333333333
3,7,0.20047610513739564,0.6142777777777777,0.0035555555555555557
3,8,0.13902210274790927,0.41411111111111115,0.0021666666666666666
3,9,0.09605060590544455,0.26761111111111113,0.0012222222222222222
3,10,0.07795937873357221,0.20033333333333334,0.00011111111111111112
3,11,0.07804650964328382,0.19655555555555557,0
3,12,0.09784536610343071,0.27216666666666667,0
3,13,0.1402078853046595,0.39127777777777784,0.0014444444444444446
3,14,0.2170286738351253,0.5485,0.003833333333333333
3,15,0.3277513227513229,0.7087777777777777,0.017666666666666667
3,16,0.3937317801672642,0.8103333333333335,0.028111111111111108
3,17,0.41872648916197286,0.8627222222222222,0.026277777777777782
3,18,0.42347354497354517,0.8795555555555555,0.025222222222222222
3,19,0.42428110599078395,0.889888888888889,0.02466666666666667
3,20,0.41846714456391904,0.8892222222222222,0.02822222222222222
3,21,0.41100819252432136,0.8998888888888888,0.021388888888888888
3,22,0.4055109233657617,0.9085555555555556,0.016444444444444446
3,23,0.4221684587813617,0.9286111111111112,0.021611111111111112
4,0,0.6885450617283951,0.9987944444444444,0.19204444444444446
4,1,0.6731276895943566,0.9986666666666666,0.18603888888888892
4,2,0.661850176366843,0.9987444444444445,0.17952222222222222
4,3,0.6520294532627864,0.999,0.16720555555555555
4,4,0.6429449735449733,0.9991722222222222,0.15920555555555554
4,5,0.5254910934744262,0.9975055555555556,0.08869444444444445
4,6,0.45708959435626145,0.9839444444444445,0.0461
4,7,0.3894145502645508,0.9290166666666667,0.03886111111111111
4,8,0.29505723104056425,0.8093000000000001,0.019544444444444444
4,9,0.21471719576719567,0.6000111111111114,0.003944444444444444
4,10,0.17455158730158724,0.4791777777777779,0.002655555555555556
4,11,0.1669515873015872,0.47771111111111125,0.001216666666666667
4,12,0.18878915343915323,0.5140722222222223,0.0018833333333333336
4,13,0.24845396825396854,0.6333611111111112,0.004100000000000001
4,14,0.3622032627865961,0.7596388888888889,0.03548333333333335
4,15,0.5087197530864195,0.9118388888888889,0.13546666666666665
4,16,0.6248507936507932,0.980011111111111,0.20714444444444444
4,17,0.6860655202821867,0.9921777777777777,0.26108333333333333
4,18,0.7163009700176365,0.997738888888889,0.26258333333333334
4,19,0.7283690476190477,0.9981111111111111,0.2675
4,20,0.7281040564373888,0.9983388888888889,0.24023333333333335
4,21,0.7181466490299822,0.9981666666666666,0.21962777777777778
4,22,0.7075582892416223,0.9983333333333333,0.19928333333333337
4,23,0.7078752204585539,0.9986277777777778,0.1935666666666667
5,0,0.7748538146441375,0.9993333333333333,0.3058888888888889
5,1,0.7482373271889398,0.9994444444444445,0.2568888888888889
5,2,0.725232548216419,0.9992777777777778,0.23022222222222222
5,3,0.7035284178187401,0.9993333333333333,0.19983333333333334
5,4,0.6778317118962279,0.9991666666666666,0.1741111111111111
5,5,0.6061592421915,0.9975555555555555,0.16616666666666666
5,6,0.46779433350401106,0.980111111111111,0.053
5,7,0.41130022188086673,0.9253888888888888,0.03144444444444445
5,8,0.32059703020993324,0.8208888888888889,0.008777777777777778
5,9,0.23612766683734449,0.6741666666666666,0.0021666666666666666
5,10,0.18705393411845003,0.5581111111111111,0.0003333333333333333
5,11,0.17567392046424302,0.5198333333333333,0.00022222222222222223
5,12,0.19594171360300403,0.5547222222222222,0
5,13,0.25692729134664644,0.653,0.002
5,14,0.3698917904079196,0.7986666666666666,0.0047777777777777775
5,15,0.5283720771462707,0.9266666666666667,0.04455555555555556
5,16,0.6956036012971494,0.9882222222222222,0.17005555555555554
5,17,0.7851296296296296,0.9981111111111111,0.39261111111111113
5,18,0.8234015190305511,0.9991666666666666,0.4653333333333334
5,19,0.8390961768219833,0.9995555555555555,0.4703333333333333
5,20,0.8407031063321384,0.9995555555555555,0.4662222222222222
5,21,0.8320730500085343,0.9992777777777778,0.47483333333333333
5,22,0.8202081413210451,0.9992777777777778,0.4359444444444444
