exceedance,energyMWh,specificYield,normalisedSpecificYield
0,646458.8533333334,4040.3678333333323,1.093331145867885
0.09999999999999998,617354.7377777778,3858.4671111111115,1.0441084678184607
0.19999999999999996,605049.2444444444,3781.5577777777776,1.02329665735716
0.30000000000000004,601096.2844444443,3756.8517777777784,1.0166111672225833
0.4,593129.3955555556,3707.0587222222216,1.003137072602365
0.5,591274.5244444446,3695.465777777778,1
0.6,587695.3066666666,3673.095666666666,0.993946605798481
0.7,583168.5333333334,3644.8033333333337,0.9862906471089257
0.8,579811.1022222223,3623.8193888888886,0.9806123522182979
0.9,566744.4355555556,3542.152722222222,0.9585131983964011
1,563542.9066666667,3522.143166666667,0.9530985749744012
