date,year,month,meanDailyCapFactor,specificYield,energyMWh,meanDailyEnergyMWh,p90DailyEnergyMWh,p10DailyEnergyMWh,stdevDailyEnergyMWh,coefVarDailyEnergy
978300000000,2001,1,0.0913009259259259,67.92788888888889,12227.020000000002,394.4200000000001,1171.92,29.91,535.6132790425072,1.3579769764274303
980978400000,2001,2,0.09508655753968254,63.898166666666654,11501.67,410.7739285714286,774.2950000000002,156.877,309.1639963028047,0.7526378253313242
983397600000,2001,3,0.2652877090800478,197.37405555555554,35527.33000000001,1146.0429032258066,2338.88,178.25999999999996,879.0974194903678,0.7670719979295206
986076000000,2001,4,0.5111233796296297,368.0088333333333,66241.59,2208.053,3464.135,1099.864,906.0920659819934,0.41035793342913124
988668000000,2001,5,0.6129174133811229,456.0105555555557,82081.89999999998,2647.803225806451,3904.0400000000004,1288.33,997.9267903989321,0.3768885771694722
991346400000,2001,6,0.6498486882716049,467.89105555555557,84220.39,2807.3463333333334,3572.7980000000002,1855.245,705.973729634728,0.2514736857552172
993938400000,2001,7,0.6281948178016725,467.3769444444446,84127.84999999998,2713.801612903225,3964.0599999999995,937.47,1133.5388558054133,0.41769407550493476
996616800000,2001,8,0.4909260752688173,365.2489999999999,65744.81999999999,2120.80064516129,4127.86,1039.91,1022.6922933314644,0.4822199086296898
999295200000,2001,9,0.4649213734567902,334.7433888888889,60253.81,2008.4603333333332,3580.798,882.9689999999999,1122.9161961468235,0.5590930413264275
1001887200000,2001,10,0.521513216845878,388.0058333333334,69841.04999999999,2252.9370967741934,3207.5800000000004,1125.0699999999997,866.271801965925,0.3845077624254457
1004565600000,2001,11,0.31754845679012345,228.63488888888887,41154.28,1371.8093333333334,2655.331000000001,516.2270000000001,731.322618830659,0.5331080646999479
1007157600000,2001,12,0.15728838112305862,117.02255555555556,21064.06,679.4858064516129,1492.48,112.45,619.7123341076579,0.9120313157737584
1009836000000,2002,1,0.16849768518518518,125.36227777777778,22565.21,727.91,1806.34,110.67000000000002,841.6414522863441,1.1562438382304738
1012514400000,2002,2,0.21420535714285713,143.94599999999997,25910.280000000006,925.3671428571431,2071.043,91.11000000000001,967.9470052062926,1.0460140201408934
