month,hour,meanHourlyCapFactor,p90HourlyCapFactor,p10HourlyCapFactor,meanHourlyEnergyMWh,p90HourlyEnergyMWh,p10HourlyEnergyMWh
1,0,0.1536578767707798,0.4648888888888889,0.002333333333333333,27.65841781874037,83.68,0.41999999999999993
1,1,0.15428622631848443,0.47983333333333333,0.0023888888888888887,27.771520737327176,86.37,0.43
1,2,0.158410052910053,0.45494444444444443,0.002333333333333333,28.51380952380955,81.89,0.41999999999999993
1,3,0.16823280423280418,0.4996111111111112,0.0023888888888888887,30.281904761904755,89.93,0.43
1,4,0.13684280593958012,0.36433333333333334,0.0025555555555555557,24.631705069124433,65.58,0.46
1,5,0.10522708653353816,0.2855,0.001388888888888889,18.94087557603688,51.38999999999999,0.25
1,6,0.09475123741252775,0.24188888888888888,0.0015555555555555557,17.05522273425501,43.54,0.28
1,7,0.08356315070831193,0.19922222222222222,0.0017222222222222222,15.041367127496166,35.86,0.31
1,8,0.07473399897593447,0.1706111111111111,0.0013333333333333333,13.452119815668198,30.709999999999997,0.24
1,9,0.06958781362007173,0.17227777777777778,0.00016666666666666666,12.525806451612901,31.01,0.03
1,10,0.0686108550947261,0.17933333333333334,0.00016666666666666666,12.349953917050703,32.28,0.03
1,11,0.07106605222734251,0.1801111111111111,0,12.79188940092167,32.42,0
1,12,0.07317741935483864,0.1856111111111111,0.00022222222222222223,13.171935483870962,33.41,0.04
1,13,0.07917588325652844,0.18544444444444447,0.0018333333333333335,14.251658986175126,33.38,0.33
1,14,0.09902167605393408,0.2594444444444445,0.0032777777777777775,17.823901689708155,46.7,0.59
1,15,0.1413688342720601,0.4425,0.004722222222222222,25.4463901689708,79.65,0.85
1,16,0.17132846902201745,0.4841111111111111,0.00938888888888889,30.839124423963128,87.14,1.6900000000000002
1,17,0.1747619047619048,0.5375,0.0044444444444444444,31.45714285714285,96.75,0.8
1,18,0.16903251408090117,0.494,0.0031111111111111114,30.42585253456222,88.92,0.56
1,19,0.16220088752346823,0.4646111111111111,0.0025555555555555557,29.196159754224283,83.63,0.46
1,20,0.15749615975422415,0.4881666666666667,0.0031111111111111114,28.349308755760365,87.87,0.56
1,21,0.15120361836490864,0.46399999999999997,0.0021666666666666666,27.216651305683538,83.52,0.38999999999999996
1,22,0.14467972350230415,0.4458888888888889,0.0018333333333333335,26.04235023041477,80.26,0.33
1,23,0.1538022700119475,0.49766666666666665,0.002611111111111111,27.684408602150558,89.58,0.47
2,0,0.20063022297170685,0.5741444444444445,0.004388888888888889,36.11344013490726,103.346,0.79
2,1,0.20258347386171985,0.5881333333333344,0.0044,36.465025295109655,105.86400000000019,0.792
2,2,0.2030947161326586,0.6093222222222234,0.004388888888888889,36.55704890387859,109.67800000000022,0.79
2,3,0.211822934232715,0.6296555555555565,0.004666666666666666,38.12812816188873,113.33800000000019,0.8399999999999999
2,4,0.18725519955030906,0.5302555555555564,0.004833333333333334,33.70593591905559,95.44600000000014,0.87
2,5,0.13415645493723063,0.410200000000001,0.0022333333333333333,24.148161888701516,73.83600000000018,0.402
2,6,0.11601639497845231,0.2829888888888889,0.002033333333333334,20.882951096121456,50.93800000000001,0.36600000000000005
2,7,0.09241512085441257,0.22655555555555562,0.0012222222222222222,16.634721753794267,40.78000000000001,0.22
2,8,0.07320179876335012,0.18004444444444442,0,13.176323777403029,32.407999999999994,0
2,9,0.06430269814502529,0.16533333333333336,0,11.574485666104557,29.76,0
2,10,0.05967697208169378,0.16646666666666665,0,10.741854974704905,29.964,0
2,11,0.05951751920554611,0.16056666666666672,0,10.713153456998306,28.902000000000008,0
2,12,0.06442261570170504,0.17088888888888892,0,11.596070826306924,30.76000000000001,0
2,13,0.07895072137905192,0.20598888888888955,0.0008333333333333333,14.211129848229344,37.078000000000124,0.15
2,14,0.11697995128349252,0.3247111111111111,0.003,21.056391231028698,58.44800000000001,0.54
2,15,0.18531974892261557,0.4735888888888889,0.0077222222222222215,33.35755480607087,85.246,1.39
2,16,0.22776700393479501,0.5725222222222225,0.014988888888888894,40.998060708263075,103.05400000000004,2.698000000000001
2,17,0.23718512272812428,0.6284222222222222,0.007255555555555557,42.69332209106235,113.116,1.306
2,18,0.23440350384110956,0.6127,0.005622222222222222,42.19263069139965,110.286,1.012
2,19,0.2282399287989508,0.5950444444444447,0.0078111111111111116,41.0831871838111,107.10800000000005,1.4060000000000001
2,20,0.22063059771407145,0.6148444444444444,0.005,39.71350758853295,110.672,0.9
2,21,0.21056248828930127,0.5770777777777778,0.0044,37.90124789207421,103.87400000000001,0.792
2,22,0.20273917931422117,0.6140777777777778,0.0037333333333333337,36.49305227655985,110.534,0.672
2,23,0.21207522952969857,0.6483666666666675,0.0047,38.17354131534568,116.70600000000016,0.846
3,0,0.4027636115378047,0.9308333333333334,0.01916666666666667,72.49745007680494,167.55,3.45
3,1,0.398200119474313,0.9311111111111111,0.01988888888888889,71.67602150537635,167.6,3.58
3,2,0.3960748421232295,0.9393888888888889,0.01972222222222222,71.29347158218125,169.09,3.55
3,3,0.4017363031233996,0.9418888888888889,0.018944444444444444,72.31253456221198,169.54,3.41
3,4,0.38996279228537306,0.9202777777777779,0.02188888888888889,70.19330261136703,165.65,3.94
3,5,0.29608858166922686,0.8537777777777779,0.004,53.29594470046084,153.68,0.72
3,6,0.26194930875576017,0.7641111111111111,0.004333333333333333,47.15087557603686,137.54,0.7799999999999999
3,7,0.20047610513739564,0.6142777777777777,0.0035555555555555557,36.085698924731226,110.57,0.64
3,8,0.13902210274790927,0.41411111111111115,0.0021666666666666666,25.023978494623677,74.54,0.38999999999999996
3,9,0.09605060590544455,0.26761111111111113,0.0012222222222222222,17.289109062980042,48.17,0.22
3,10,0.07795937873357221,0.20033333333333334,0.00011111111111111112,14.03268817204303,36.06,0.02
3,11,0.07804650964328382,0.19655555555555557,0,14.048371735791093,35.38,0
3,12,0.09784536610343071,0.27216666666666667,0,17.612165898617516,48.99,0
3,13,0.1402078853046595,0.39127777777777784,0.0014444444444444446,25.237419354838707,70.43,0.26
3,14,0.2170286738351253,0.5485,0.003833333333333333,39.065161290322536,98.73,0.69
3,15,0.3277513227513229,0.7087777777777777,0.017666666666666667,58.995238095238186,127.57999999999998,3.18
3,16,0.3937317801672642,0.8103333333333335,0.028111111111111108,70.87172043010754,145.86,5.06
3,17,0.41872648916197286,0.8627222222222222,0.026277777777777782,75.37076804915515,155.29,4.73
3,18,0.42347354497354517,0.8795555555555555,0.025222222222222222,76.22523809523814,158.32,4.54
3,19,0.42428110599078395,0.889888888888889,0.02466666666666667,76.37059907834103,160.18,4.44
3,20,0.41846714456391904,0.8892222222222222,0.02822222222222222,75.32408602150531,160.06,5.08
3,21,0.41100819252432136,0.8998888888888888,0.021388888888888888,73.98147465437793,161.98,3.8499999999999996
3,22,0.4055109233657617,0.9085555555555556,0.016444444444444446,72.9919662058372,163.54,2.9600000000000004
3,23,0.4221684587813617,0.9286111111111112,0.021611111111111112,75.99032258064514,167.15,3.89
4,0,0.6885450617283951,0.9987944444444444,0.19204444444444446,123.93811111111113,179.78300000000002,34.568
4,1,0.6731276895943566,0.9986666666666666,0.18603888888888892,121.16298412698407,179.76,33.48700000000001
4,2,0.661850176366843,0.9987444444444445,0.17952222222222222,119.13303174603169,179.774,32.314
4,3,0.6520294532627864,0.999,0.16720555555555555,117.36530158730152,179.82,30.097
4,4,0.6429449735449733,0.9991722222222222,0.15920555555555554,115.73009523809534,179.851,28.656999999999996
4,5,0.5254910934744262,0.9975055555555556,0.08869444444444445,94.58839682539687,179.55100000000002,15.965
4,6,0.45708959435626145,0.9839444444444445,0.0461,82.27612698412705,177.11,8.298
4,7,0.3894145502645508,0.9290166666666667,0.03886111111111111,70.0946190476191,167.22299999999998,6.995
4,8,0.29505723104056425,0.8093000000000001,0.019544444444444444,53.110301587301606,145.67400000000004,3.5180000000000002
4,9,0.21471719576719567,0.6000111111111114,0.003944444444444444,38.64909523809522,108.00200000000005,0.71
4,10,0.17455158730158724,0.4791777777777779,0.002655555555555556,31.419285714285756,86.25200000000002,0.4780000000000001
4,11,0.1669515873015872,0.47771111111111125,0.001216666666666667,30.051285714285694,85.98800000000001,0.21900000000000006
4,12,0.18878915343915323,0.5140722222222223,0.0018833333333333336,33.98204761904763,92.533,0.3390000000000001
